Contig	LengthBp	Topology	Genes	PlasmidScore	FDR	Hallmarks	MarkerEnrichment	ConjugationMarkerCount	ConjugationMarkers	geNomadAMRMarkerCount	CARDPrimaryARGCount	CARDPrimaryARGs	EvidenceContext	ClaimCeiling	BestReference	ReferenceLabel	ReferenceSequenceClass	AlignmentIdentity	QueryCoverage	ReferenceSupport
k141_2643	3051	No terminal repeats	4	0.9471	NA	0	0.7895	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.982479	0.991478	Complete-cellular-reference conflict
k141_4514	4813	No terminal repeats	7	0.9439	NA	0	1.4144	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	1.000000	0.995014	Reference-plasmid supported
k141_42959	5649	No terminal repeats	7	0.9437	NA	0	1.2328	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.987373	0.995397	Complete-cellular-reference conflict
k141_54157	1784	No terminal repeats	4	0.9401	NA	3	3.0798	3	G_tfc3;G_tfc5;T_virB1	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	1.000000	0.992152	Complete-cellular-reference conflict
k141_247	3418	No terminal repeats	3	0.9397	NA	0	1.6344	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.978904	0.998537	Complete-cellular-reference conflict
k141_3345	16963	ITR	22	0.9379	NA	0	0.8546	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.997227	0.999175	Reference-plasmid supported
k141_1490	2933	No terminal repeats	4	0.9374	NA	0	0.6337	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000753.1	Other replicon	Complete cellular replicon	0.945343	0.996591	No high-coverage reference support
k141_9804	11618	No terminal repeats	15	0.9370	NA	0	1.7692	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_003019295.1|CP028101.1	Other replicon	Complete cellular replicon	0.995060	0.993200	Complete-cellular-reference conflict
k141_3183	1208	No terminal repeats	2	0.9362	NA	1	2.3161	2	C_alr7207;virb4	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009705.1|BA000019.2	Other replicon	Complete cellular replicon	0.957465	0.953642	Complete-cellular-reference conflict
k141_29776	1097	No terminal repeats	2	0.9345	NA	1	1.2491	1	F_traF	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000017325.1|CP000754.1	Plasmid	GenBank-labelled plasmid	0.944444	0.984503	No high-coverage reference support
k141_7276	3246	No terminal repeats	6	0.9343	NA	0	0.8487	0		0	0		Plasmid call only	Predicted plasmid sequence		Unresolved	Unresolved	0.000000	0.000000	No high-coverage reference support
k141_58040	3794	DTR	6	0.9328	NA	0	0.4697	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000022325.1|CP001395.1	Plasmid	GenBank-labelled plasmid	1.000000	0.610174	No high-coverage reference support
k141_56912	3556	No terminal repeats	4	0.9319	NA	0	2.0417	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000013645.1|CP000272.1	Other replicon	Complete cellular replicon	0.969953	0.964004	Complete-cellular-reference conflict
k141_17167	3974	No terminal repeats	3	0.9282	NA	0	1.7152	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000013645.1|CP000270.1	Other replicon	Complete cellular replicon	0.987867	0.995471	Complete-cellular-reference conflict
k141_37715	4305	No terminal repeats	4	0.9281	NA	0	1.2486	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.994158	0.993961	Complete-cellular-reference conflict
k141_28513	2069	No terminal repeats	3	0.9254	NA	1	2.1838	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.978305	0.957951	Complete-cellular-reference conflict
k141_53024	3469	No terminal repeats	5	0.9246	NA	0	1.1514	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AF016485.1	Plasmid	GenBank-labelled plasmid	1.000000	0.992793	Reference-plasmid supported
k141_57206	4272	No terminal repeats	4	0.9229	NA	0	1.6962	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.996700	0.993212	Complete-cellular-reference conflict
k141_14661	2653	No terminal repeats	4	0.9217	NA	0	1.7363	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.990662	0.928383	Reference-plasmid supported
k141_21703	3724	No terminal repeats	4	0.9211	NA	0	0.1951	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.993806	0.997046	Complete-cellular-reference conflict
k141_29595	5375	No terminal repeats	4	0.9197	NA	0	0.5885	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AF016485.1	Plasmid	GenBank-labelled plasmid	0.114184	0.208372	No high-coverage reference support
k141_28543	1606	No terminal repeats	4	0.9190	NA	1	1.0541	1	virb4	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.972205	0.985679	Complete-cellular-reference conflict
k141_37244	25060	No terminal repeats	22	0.9180	NA	0	5.3643	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000018565.1|CP000876.1	Plasmid	GenBank-labelled plasmid	0.994901	0.996688	Reference-plasmid supported
k141_14465	2661	No terminal repeats	5	0.9160	NA	0	2.7718	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.993231	0.999248	Complete-cellular-reference conflict
k141_48815	5834	No terminal repeats	4	0.9136	NA	0	1.6258	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.997248	0.996400	Complete-cellular-reference conflict
k141_2197	1261	No terminal repeats	2	0.9112	NA	1	2.3198	2	C_alr7209;C_alr7210	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009705.1|AP003602.1	Plasmid	GenBank-labelled plasmid	0.984702	0.984933	Reference-plasmid supported
k141_2161	2510	No terminal repeats	5	0.9106	NA	0	0.4395	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	1.000000	0.995219	Complete-cellular-reference conflict
k141_2182	10059	No terminal repeats	16	0.9056	NA	1	0.9869	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009145.1|AL954747.1	Other replicon	Complete cellular replicon	1.000000	0.999503	Complete-cellular-reference conflict
k141_21191	4525	No terminal repeats	7	0.9029	NA	0	2.4072	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.995789	0.997127	Complete-cellular-reference conflict
k141_30337	4372	No terminal repeats	4	0.9007	NA	0	0.7141	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.998624	0.997027	Reference-plasmid supported
k141_3541	3875	No terminal repeats	4	0.8988	NA	0	0.5286	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009145.1|AL954747.1	Other replicon	Complete cellular replicon	1.000000	0.994323	Complete-cellular-reference conflict
k141_51730	5897	No terminal repeats	4	0.8973	NA	0	0.4361	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000010505.1|AP009380.1	Other replicon	Complete cellular replicon	0.973371	0.991691	Complete-cellular-reference conflict
k141_55002	2901	No terminal repeats	5	0.8954	NA	1	1.4048	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|AP003605.1	Plasmid	GenBank-labelled plasmid	0.983714	0.994829	Reference-plasmid supported
k141_48812	3450	No terminal repeats	5	0.8936	NA	0	0.6784	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.994438	0.990145	Complete-cellular-reference conflict
k141_908	3130	No terminal repeats	2	0.8907	NA	0	1.1117	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.985460	0.988818	Complete-cellular-reference conflict
k141_4235	5636	No terminal repeats	7	0.8883	NA	0	0.1918	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000016545.1|CP000679.1	Other replicon	Complete cellular replicon	1.000000	0.692158	No high-coverage reference support
k141_25558	1711	No terminal repeats	2	0.8875	NA	1	1.2708	1	F_traN	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001253.1	Plasmid	GenBank-labelled plasmid	0.898165	0.987142	No high-coverage reference support
k141_26912	3158	No terminal repeats	3	0.8850	NA	0	1.1434	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.970757	0.996200	Complete-cellular-reference conflict
k141_30327	3613	No terminal repeats	5	0.8845	NA	0	1.5000	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AF016485.1	Plasmid	GenBank-labelled plasmid	1.000000	0.997232	Reference-plasmid supported
k141_38624	3668	No terminal repeats	4	0.8803	NA	0	2.7548	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.982226	0.997001	Complete-cellular-reference conflict
k141_41035	1348	No terminal repeats	2	0.8777	NA	1	1.2063	1	F_traU	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000017325.1|CP000754.1	Plasmid	GenBank-labelled plasmid	1.000000	0.992582	Reference-plasmid supported
k141_15690	2966	No terminal repeats	5	0.8770	NA	0	0.7222	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.987462	0.994943	Complete-cellular-reference conflict
k141_45253	3364	No terminal repeats	5	0.8751	NA	0	1.4028	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.978170	0.994055	Complete-cellular-reference conflict
k141_9873	3516	No terminal repeats	3	0.8723	NA	0	2.3274	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.997430	0.996018	Complete-cellular-reference conflict
k141_37999	3945	No terminal repeats	5	0.8700	NA	0	1.6121	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	1.000000	0.997972	Complete-cellular-reference conflict
k141_11077	5958	No terminal repeats	8	0.8700	NA	0	1.1216	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	0.997815	0.998657	Reference-plasmid supported
k141_49342	6418	No terminal repeats	6	0.8684	NA	0	1.5998	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	1.000000	0.991586	Complete-cellular-reference conflict
k141_53845	6089	No terminal repeats	11	0.8678	NA	0	1.4064	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009145.1|AL954747.1	Other replicon	Complete cellular replicon	1.000000	0.997044	Complete-cellular-reference conflict
k141_40645	14710	No terminal repeats	15	0.8636	NA	1	0.8346	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000010505.1|AP009380.1	Other replicon	Complete cellular replicon	0.998302	0.999796	Complete-cellular-reference conflict
k141_57918	3621	No terminal repeats	4	0.8620	NA	0	1.7183	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.979120	0.991991	Complete-cellular-reference conflict
k141_2935	2880	No terminal repeats	4	0.8613	NA	0	0.5647	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.961955	0.994792	Complete-cellular-reference conflict
k141_6649	2954	No terminal repeats	4	0.8608	NA	0	0.7783	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007985.2|AE017180.2	Other replicon	Complete cellular replicon	0.980586	0.993907	Complete-cellular-reference conflict
k141_29435	20893	No terminal repeats	24	0.8584	NA	0	0.5000	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000019085.1|CP000924.1	Other replicon	Complete cellular replicon	0.995639	0.998803	Complete-cellular-reference conflict
k141_9264	2806	No terminal repeats	3	0.8572	NA	1	0.5999	1	MOBH	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.993544	0.993585	Complete-cellular-reference conflict
k141_36686	2941	No terminal repeats	4	0.8555	NA	0	0.8486	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|AP003602.1	Plasmid	GenBank-labelled plasmid	0.989195	0.912275	Reference-plasmid supported
k141_24582	2631	No terminal repeats	4	0.8546	NA	0	0.1704	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.938846	0.988217	No high-coverage reference support
k141_48735	2700	No terminal repeats	5	0.8538	NA	0	0.2763	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	1.000000	0.993704	Complete-cellular-reference conflict
k141_48689	50296	No terminal repeats	44	0.8476	NA	1	2.0844	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009145.1|AL954747.1	Other replicon	Complete cellular replicon	0.998290	0.999662	Complete-cellular-reference conflict
k141_37114	1153	No terminal repeats	1	0.8472	NA	1	0.9921	1	virb4	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009705.1|BA000019.2	Other replicon	Complete cellular replicon	1.000000	0.992194	Complete-cellular-reference conflict
k141_11016	2800	No terminal repeats	3	0.8438	NA	0	1.7142	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	1.000000	0.996786	Reference-plasmid supported
k141_34131	4307	No terminal repeats	4	0.8429	NA	0	1.5456	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000753.1	Other replicon	Complete cellular replicon	0.978535	0.995124	Complete-cellular-reference conflict
k141_7386	4660	No terminal repeats	5	0.8422	NA	0	1.3867	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.987290	0.996137	Complete-cellular-reference conflict
k141_7662	2674	No terminal repeats	6	0.8385	NA	0	1.9137	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000015125.1|CP000492.1	Other replicon	Complete cellular replicon	0.984287	0.999626	Complete-cellular-reference conflict
k141_51544	1132	No terminal repeats	2	0.8296	NA	2	2.1023	2	G_tfc12;G_tfc13	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.962825	0.950530	Complete-cellular-reference conflict
k141_18527	3684	No terminal repeats	5	0.8274	NA	0	0.3312	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.986824	0.988871	Complete-cellular-reference conflict
k141_8727	1333	No terminal repeats	2	0.8260	NA	1	1.2063	1	F_traU	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001255.1	Plasmid	GenBank-labelled plasmid	1.000000	0.988747	Reference-plasmid supported
k141_45306	6338	No terminal repeats	5	0.8251	NA	0	0.9068	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000753.1	Other replicon	Complete cellular replicon	0.997152	0.997160	Complete-cellular-reference conflict
k141_47893	2514	No terminal repeats	2	0.8240	NA	0	1.2334	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.985944	0.990453	Complete-cellular-reference conflict
k141_45600	2522	No terminal repeats	3	0.8159	NA	0	0.1435	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000019.2	Other replicon	Complete cellular replicon	1.000000	0.989294	Complete-cellular-reference conflict
k141_53129	7520	No terminal repeats	9	0.8117	NA	0	1.6424	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000196115.1|BX119912.1	Other replicon	Complete cellular replicon	0.994941	0.998936	Complete-cellular-reference conflict
k141_35967	5270	No terminal repeats	8	0.8106	NA	0	0.3573	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000016125.1|CP000609.1	Other replicon	Complete cellular replicon	1.000000	0.997343	Complete-cellular-reference conflict
k141_13343	3006	No terminal repeats	4	0.8099	NA	0	0.7338	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000753.1	Other replicon	Complete cellular replicon	0.892559	0.997006	No high-coverage reference support
k141_10030	2767	No terminal repeats	3	0.8084	NA	0	1.3498	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.989959	0.971811	Complete-cellular-reference conflict
k141_9541	2697	No terminal repeats	4	0.8075	NA	0	0.5845	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.973024	0.975899	Complete-cellular-reference conflict
k141_43151	37803	No terminal repeats	36	0.8032	NA	0	0.7875	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000018565.1|CP000877.1	Plasmid	GenBank-labelled plasmid	0.988142	0.999471	Reference-plasmid supported
k141_29546	3859	No terminal repeats	5	0.8005	NA	0	0.5177	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000012825.1|CP000139.1	Other replicon	Complete cellular replicon	1.000000	0.996113	Complete-cellular-reference conflict
k141_43295	9315	No terminal repeats	7	0.8004	NA	0	1.5650	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000015125.1|CP000492.1	Other replicon	Complete cellular replicon	0.993125	0.999356	Complete-cellular-reference conflict
k141_14864	3526	No terminal repeats	3	0.7974	NA	0	1.3498	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.988581	0.993477	Complete-cellular-reference conflict
k141_39603	3164	No terminal repeats	7	0.7930	NA	0	0.2733	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000015125.1|CP000492.1	Other replicon	Complete cellular replicon	0.965102	0.996207	Complete-cellular-reference conflict
k141_35823	3069	No terminal repeats	3	0.7921	NA	0	0.3276	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.984595	0.994135	Complete-cellular-reference conflict
k141_24043	1935	No terminal repeats	2	0.7853	NA	1	1.2376	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|AP003602.1	Plasmid	GenBank-labelled plasmid	0.974935	0.989664	Reference-plasmid supported
k141_43882	3398	No terminal repeats	6	0.7798	NA	0	0.3077	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.977765	0.992643	Complete-cellular-reference conflict
k141_57043	2521	No terminal repeats	3	0.7795	NA	0	0.7139	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.972830	0.978183	Complete-cellular-reference conflict
k141_24236	7157	No terminal repeats	4	0.7682	NA	0	0.4578	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_003019295.1|CP028101.1	Other replicon	Complete cellular replicon	0.998177	0.996647	Complete-cellular-reference conflict
k141_46341	3250	No terminal repeats	2	0.7652	NA	0	1.6998	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000020465.1|CP001097.1	Other replicon	Complete cellular replicon	1.000000	0.975385	Complete-cellular-reference conflict
k141_35456	2540	No terminal repeats	4	0.7627	NA	0	0.8846	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.989662	0.990157	Complete-cellular-reference conflict
k141_18357	8425	No terminal repeats	8	0.7617	NA	0	0.2598	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.922565	0.999050	No high-coverage reference support
k141_20118	3262	No terminal repeats	4	0.7610	NA	0	0.3942	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.969499	0.984979	Complete-cellular-reference conflict
k141_12193	3893	No terminal repeats	4	0.7606	NA	1	1.9419	1	T_virB9	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.996649	0.996404	Complete-cellular-reference conflict
k141_1392	2537	No terminal repeats	3	0.7548	NA	0	1.3498	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.961508	0.993299	Complete-cellular-reference conflict
k141_50831	3549	No terminal repeats	4	0.7546	NA	0	0.2064	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000753.1	Other replicon	Complete cellular replicon	0.984990	0.994928	Complete-cellular-reference conflict
k141_21665	2547	No terminal repeats	5	0.7543	NA	0	0.8055	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.968663	0.989792	Complete-cellular-reference conflict
k141_5903	3097	No terminal repeats	5	0.7502	NA	0	0.8191	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.996103	0.994188	Complete-cellular-reference conflict
k141_21622	2532	No terminal repeats	3	0.7483	NA	0	0.5401	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	1.000000	0.996051	Complete-cellular-reference conflict
k141_8238	3057	No terminal repeats	7	0.7468	NA	0	0.6746	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.978682	0.997383	Complete-cellular-reference conflict
k141_37781	3017	No terminal repeats	4	0.7453	NA	0	0.8602	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	1.000000	0.993039	Complete-cellular-reference conflict
k141_5901	3139	No terminal repeats	4	0.7439	NA	0	1.0315	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000015125.1|CP000492.1	Other replicon	Complete cellular replicon	1.000000	0.994266	Complete-cellular-reference conflict
k141_56035	5628	No terminal repeats	4	0.7416	NA	0	0.2510	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000196115.1|BX119912.1	Other replicon	Complete cellular replicon	1.000000	0.997512	Complete-cellular-reference conflict
k141_36226	2589	No terminal repeats	4	0.7390	NA	0	0.7533	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.998059	0.994979	Complete-cellular-reference conflict
k141_41126	5564	No terminal repeats	5	0.7368	NA	0	0.5771	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.991539	0.998382	Complete-cellular-reference conflict
k141_55703	3276	No terminal repeats	5	0.7293	NA	0	0.2276	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009145.1|AL954747.1	Other replicon	Complete cellular replicon	1.000000	0.991148	Complete-cellular-reference conflict
k141_55392	3105	No terminal repeats	5	0.7268	NA	0	0.2933	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.993865	0.997424	Reference-plasmid supported
k141_4445	21205	No terminal repeats	14	0.7246	NA	0	0.9943	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000018565.1|CP000876.1	Plasmid	GenBank-labelled plasmid	0.995351	0.999670	Reference-plasmid supported
k141_30071	3710	No terminal repeats	4	0.7132	NA	0	0.4547	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.988111	0.997574	Complete-cellular-reference conflict
k141_3793	10866	No terminal repeats	6	0.7108	NA	1	1.4150	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000020465.1|CP001097.1	Other replicon	Complete cellular replicon	0.999077	0.997147	Complete-cellular-reference conflict
k141_20015	2859	No terminal repeats	3	0.7086	NA	0	0.3198	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	1.000000	0.986359	Complete-cellular-reference conflict
k141_1896	2588	No terminal repeats	5	0.7078	NA	0	0.9178	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006985.1|AE006470.1	Other replicon	Complete cellular replicon	1.000000	0.974884	Complete-cellular-reference conflict
