SeqName	Assembly	ReferenceLabel	ReferenceSequenceClass	OriginalHeader	LengthBp	SequenceSHA256
GCA_000025685.1|CP001953.1	GCA_000025685.1	Plasmid	GenBank-labelled plasmid	GCA_000025685.1|CP001953.1 Haloferax volcanii DS2 plasmid pHV3, complete sequence	437906	776dc687d73a5080bcd35dba33ed38d1587161ac737dbc2f1081d6bf0dad75c7
GCA_000025685.1|CP001955.1	GCA_000025685.1	Plasmid	GenBank-labelled plasmid	GCA_000025685.1|CP001955.1 Haloferax volcanii DS2 plasmid pHV4, complete sequence	635786	80ee643d852965554bbf52d19e1af89637208a62ef98660268ccaf6ac21ffc6a
GCA_000008525.1|AE000511.1	GCA_000008525.1	Other replicon	Complete cellular replicon	GCA_000008525.1|AE000511.1 Helicobacter pylori 26695, complete genome	1667867	0c161815caff83246eb3c76ef296cb7fbceb6042b0fe0b2bfcdbb6c6942fd5cf
GCA_000018565.1|CP000875.1	GCA_000018565.1	Other replicon	Complete cellular replicon	GCA_000018565.1|CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome	6346587	0fa72d7c0f93ae2092daa158d0b35a41068845183a70a7cb9454a5a83411e89a
GCA_000018565.1|CP000876.1	GCA_000018565.1	Plasmid	GenBank-labelled plasmid	GCA_000018565.1|CP000876.1 Herpetosiphon aurantiacus DSM 785 plasmid pHAU01, complete sequence	339639	3fb189e0acf3facf8eed5e47b53fdf0180815165da8fdb2cbf5c0f723d065922
GCA_000018565.1|CP000877.1	GCA_000018565.1	Plasmid	GenBank-labelled plasmid	GCA_000018565.1|CP000877.1 Herpetosiphon aurantiacus DSM 785 plasmid pHAU02, complete sequence	99204	902dc64d338b754896819391754aa6a32e586e7c936108c080702a37016792ae
GCA_000020785.1|CP001130.1	GCA_000020785.1	Other replicon	Complete cellular replicon	GCA_000020785.1|CP001130.1 Hydrogenobaculum sp. Y04AAS1, complete genome	1559514	c10323cb88e97ea5416356125d723f15479602151be474f32648b32337bd6039
GCA_000017945.1|CP000816.1	GCA_000017945.1	Other replicon	Complete cellular replicon	GCA_000017945.1|CP000816.1 Ignicoccus hospitalis KIN4/I, complete genome	1297538	a736b247834b0f1121c3bda23352fd3285a0dd0930239c9df9475cbc0f52095c
GCA_001481685.1|CP006867.1	GCA_001481685.1	Other replicon	Complete cellular replicon	GCA_001481685.1|CP006867.1 Ignicoccus islandicus DSM 13165, complete genome	1394664	24c722aa4b815eee26718eedd7530a29068ae1d8ca6497e5e513eeed3aa16db3
GCA_000014425.1|CP000413.1	GCA_000014425.1	Other replicon	Complete cellular replicon	GCA_000014425.1|CP000413.1 Lactobacillus gasseri ATCC 33323, complete genome	1894360	7671ceddaf222cbc3e87ad71532c42775501ebddbf82f0f98be044140a4fdf78
GCA_000019785.1|CP001013.1	GCA_000019785.1	Other replicon	Complete cellular replicon	GCA_000019785.1|CP001013.1 Leptothrix cholodnii SP-6, complete genome	4909403	061fed0b7e4db27046a5e8ecf31cb93d1935e6d9b0fedaa2410f0c9de85251b4
GCA_001639275.1|LWMU01000001.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000001.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000001, whole genome shotgun sequence	1320	1b37140e842b1f72f07c73fa6d3634739e741ad4c6d6e6981507afc0e26f5156
GCA_001639275.1|LWMU01000002.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000002.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000002, whole genome shotgun sequence	1181	69fdf0829f5669af1f00b95c97a3ae1f7235f9d67d00f80c876a93bbaa6f2c5b
GCA_001639275.1|LWMU01000003.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000003.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000003, whole genome shotgun sequence	1122	43b233624ff7c791dfbfd28482674480ffb0f932b246617177d099ddac6dcacb
GCA_001639275.1|LWMU01000004.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000004.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000004, whole genome shotgun sequence	1096	1ea9ebc6abe4b136a12a594083db3656cb363958f005672419799d22fac644c0
GCA_001639275.1|LWMU01000005.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000005.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000005, whole genome shotgun sequence	1084	15ac0adbc6f79be473067e66febff3f4afa949114594d028c18f89c6623adf4a
GCA_001639275.1|LWMU01000006.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000006.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000006, whole genome shotgun sequence	1080	5cd8e93cd6c38a505ab104258d991936aa7cbdc33542bbd5b56a3f058a95e9e1
GCA_001639275.1|LWMU01000007.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000007.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000007, whole genome shotgun sequence	1070	d47a0ad3033c331fce321509310c382bccd5571f425f1297df5df136e1dc4af1
GCA_001639275.1|LWMU01000008.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000008.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000008, whole genome shotgun sequence	1011	87da5d689b3a1c49e7dcf3bb3c3bcf1eabbd1e219efa0ac89c751c07e4f992d8
GCA_001639275.1|LWMU01000009.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000009.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000009, whole genome shotgun sequence	991	768766d08165a0e7aed189a819ada9bb679809e8c4ada044fd2c0734196b5e0d
GCA_001639275.1|LWMU01000010.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000010.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000010, whole genome shotgun sequence	963	652094c5e70ba0aa114d160b8c04e5b36bb9081d090c94b3c39eb73291a7331e
GCA_001639275.1|LWMU01000011.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000011.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000011, whole genome shotgun sequence	55935	61d396e9594f0bf33f42ce40b14998057f7e2c4cdda38440e779f601246d49c8
GCA_001639275.1|LWMU01000012.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000012.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000012, whole genome shotgun sequence	892	991249100c1694113d9be0da3bccec77dc3fea871831a0b476e3e92ed99502b0
GCA_001639275.1|LWMU01000013.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000013.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000013, whole genome shotgun sequence	851	0ba213dd54d822c62ce479e6168a09b95441a54f09500b8b12e333fee98e1437
GCA_001639275.1|LWMU01000014.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000014.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000014, whole genome shotgun sequence	850	35eac4eb2989ccdd27bee4f6566f7cceaa8befaa12b50aa00a5cf99fad97c375
GCA_001639275.1|LWMU01000015.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000015.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000015, whole genome shotgun sequence	844	a2c44ac4f88a43e89539d498bc79650b179c613451419ae2fe0742a469c99ad0
GCA_001639275.1|LWMU01000016.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000016.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000016, whole genome shotgun sequence	825	6638106d37a38701c3b52f01e6281d329c9156a709d3ee317e1e61477ced27c3
GCA_001639275.1|LWMU01000017.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000017.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000017, whole genome shotgun sequence	790	e20c8c7fc9da8833488aaca0b15fc6c1c28f36b322eaaa12948f631973cc86bc
GCA_001639275.1|LWMU01000018.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000018.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000018, whole genome shotgun sequence	790	6b50322ace0e1f561db9bf91b018b751ffab92e30f4e2c68df86b10d1bec468f
GCA_001639275.1|LWMU01000019.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000019.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000019, whole genome shotgun sequence	774	924a6d070691eec1f7ce93172fcb24c7a578dd0ca7cf4099e19f442e7f5a4e9d
GCA_001639275.1|LWMU01000020.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000020.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000020, whole genome shotgun sequence	751	2ceaf49e948193726b6f60e6d89a19af62a08dd7b752cccb20ab3f0495af8b87
GCA_001639275.1|LWMU01000021.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000021.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000021, whole genome shotgun sequence	736	5d4028fa7a05cf64c07f0a74f5f3b2870cd0161dd88a467fab2f4bd8cbb2742f
GCA_001639275.1|LWMU01000022.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000022.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000022, whole genome shotgun sequence	52210	fe2fc8adb4f4dc3aeedaacf4b47b4088daf20ec31d22d2ec8f11b79cc8ce3bdd
GCA_001639275.1|LWMU01000023.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000023.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000023, whole genome shotgun sequence	691	cacaf2f21a812fe142949d73940ae2933c77a0e336bd47cc51ec153976452ade
GCA_001639275.1|LWMU01000024.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000024.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000024, whole genome shotgun sequence	676	07c310538c311e248824b65baf9383516c00a86186fa66e8641dd02e0ca28f05
GCA_001639275.1|LWMU01000025.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000025.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000025, whole genome shotgun sequence	669	3118eba3a383a58a66b5f2c9da047e2010fd0fce0f447eb4785ebd2d7b9de439
GCA_001639275.1|LWMU01000026.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000026.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000026, whole genome shotgun sequence	666	591ca001b675f4adb7ef18e1fcbb5ba7e917f73b978f05adfc8476a579b225f1
GCA_001639275.1|LWMU01000027.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000027.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000027, whole genome shotgun sequence	622	d420514e2db193e6e101aa82f8fc69ec28b9b6b0f52dc1e8766a6403357b4db8
GCA_001639275.1|LWMU01000028.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000028.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000028, whole genome shotgun sequence	617	13c537b06128885068e4a8ac4754c6cb423d9bebf151d9693e42e54f32dc45bf
GCA_001639275.1|LWMU01000029.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000029.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000029, whole genome shotgun sequence	605	4fffc451886220e0bb15569de88d7bf9b0cbf7488b1c62be36701af83af33afe
GCA_001639275.1|LWMU01000030.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000030.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000030, whole genome shotgun sequence	598	edcf8b847234d508bc758ea4ca428689221eabf068cbffbea3b29c5a6c38ecc9
GCA_001639275.1|LWMU01000031.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000031.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000031, whole genome shotgun sequence	597	53cf76390ed0829f8988640143e1c186a7e9a5710ac170fae727f613a231996f
GCA_001639275.1|LWMU01000032.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000032.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000032, whole genome shotgun sequence	593	138b5703f1d4877f86febe68846994eb43dcb1c1032514ebb156c815347abc84
GCA_001639275.1|LWMU01000033.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000033.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000033, whole genome shotgun sequence	51478	8090d8e7842d6e1d3b22256a07007f1c213b6961838c4693230ffb6bd0eee87f
GCA_001639275.1|LWMU01000034.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000034.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000034, whole genome shotgun sequence	591	a4e1662c2b1d88c466cc24bf6d2b477f908ba7dded48842d39c2947b2665f4ac
GCA_001639275.1|LWMU01000035.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000035.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000035, whole genome shotgun sequence	580	8ca27d43a3a0956fe71f512955d5b75863115119e13060ffd51c24125de9a7ad
GCA_001639275.1|LWMU01000036.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000036.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000036, whole genome shotgun sequence	575	6b818d0677e8fdd49c3eb13b4af1351f7c05392f2a7ad8be540e5706cf36462b
GCA_001639275.1|LWMU01000037.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000037.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000037, whole genome shotgun sequence	564	7db51ecb6f8c0a10475a67332d074ad586d78427d2f309732c2504504e8e0875
GCA_001639275.1|LWMU01000038.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000038.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000038, whole genome shotgun sequence	563	4a446277ea657aa35a635df52e6358a528b2bc05500ac175194b24813e90c9f6
GCA_001639275.1|LWMU01000039.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000039.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000039, whole genome shotgun sequence	555	cff2d3808a73705bc4aa375f058a0d03bcd2ab7203f537f66a2606cc34add71d
GCA_001639275.1|LWMU01000040.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000040.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000040, whole genome shotgun sequence	546	328b0de9158239972cf16359b7a3c9913a7f3b19a735a9e0cada75d62018955c
GCA_001639275.1|LWMU01000041.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000041.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000041, whole genome shotgun sequence	45270	3100faca9039ebce6e8579de82d1dc61d44edd825d1c4b97a7c12575d9f8ad70
GCA_001639275.1|LWMU01000042.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000042.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000042, whole genome shotgun sequence	45266	800383d3cbc74a24a6e108edd029982d9c1430a69170eebd596fe14202b0bd25
GCA_001639275.1|LWMU01000043.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000043.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000043, whole genome shotgun sequence	44969	d2756a442f16ebf8838ab72868559103aa75faf0d91b8c435b35435693775463
GCA_001639275.1|LWMU01000044.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000044.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000044, whole genome shotgun sequence	43012	156a16f07a5a28e20f1ed1684fcae8530e53d9d67d8ef91df4a4932ea22cf747
GCA_001639275.1|LWMU01000045.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000045.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000045, whole genome shotgun sequence	35469	4d3dce52ad84b47cc0cb9727df065359e9e97a0c63c81cad5213ad729d7eb9f0
GCA_001639275.1|LWMU01000046.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000046.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000046, whole genome shotgun sequence	33982	cc8f2ec1ad36bb0240261c2eb2642744af05f2de6cbc280295220ddd2137d49c
GCA_001639275.1|LWMU01000047.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000047.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000047, whole genome shotgun sequence	32899	753d12473c2260431bb3822096c3e28c247f1da99586730c929aa0d1bc4a29ce
GCA_001639275.1|LWMU01000048.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000048.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000048, whole genome shotgun sequence	154300	9155e47a01d557ad64d7b9a98903fb625e2c45c16486cdf19b1284578e8ea46d
GCA_001639275.1|LWMU01000049.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000049.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000049, whole genome shotgun sequence	32871	f15efe5898434f9be9319ba3f9d5d4cb6dda79174175b19ae3bcc42d99c33650
GCA_001639275.1|LWMU01000050.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000050.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000050, whole genome shotgun sequence	31418	619e489232e1663733f59268661e2f2f1b1ce23a65d2223628cdb92ed47e798e
GCA_001639275.1|LWMU01000051.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000051.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000051, whole genome shotgun sequence	31258	d10fd3da65397c7c5867c00ab3aa381491a2853d3435566deb90e9cc10baa313
GCA_001639275.1|LWMU01000052.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000052.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000052, whole genome shotgun sequence	29938	b5f30bcc00cee226642cfdc939dfb01d764aca937da20252e603ab9cfb4b7ea8
GCA_001639275.1|LWMU01000053.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000053.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000053, whole genome shotgun sequence	28657	c290c2eb17f580bceb80485f71997ee4c8d0249cbfc8100a36a48d60c9d135c5
GCA_001639275.1|LWMU01000054.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000054.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000054, whole genome shotgun sequence	28169	b982e8b43fa5c8c1b6618b1b50a2b54d8174318c9f262bf34f418d76f69f9392
GCA_001639275.1|LWMU01000055.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000055.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000055, whole genome shotgun sequence	25803	05a7d2fca2575ed3c501b6bdd0d82c28ae77095576c11576d7ccc52def352aa7
GCA_001639275.1|LWMU01000056.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000056.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000056, whole genome shotgun sequence	24455	d5091d578797d54239255086be673a8be1b3fafd9b9d2cff0bdceb57e42fe950
GCA_001639275.1|LWMU01000057.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000057.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000057, whole genome shotgun sequence	24397	6b4028cfc2ea77a536dae530c4c3bc08b22e7211d91a6dc72157c6bd476db09e
GCA_001639275.1|LWMU01000058.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000058.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000058, whole genome shotgun sequence	24237	6a5cb63408554f7814e3d2ae15e0e281ad8f87e5eaddef9c2621236d313e33ec
GCA_001639275.1|LWMU01000059.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000059.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000059, whole genome shotgun sequence	120869	ce0d8263c37bfad0dd7c9266729ef8e21fe89aea350ae3cf0a589cbdce20f009
GCA_001639275.1|LWMU01000060.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000060.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000060, whole genome shotgun sequence	23875	5bb30c2215ac4402063e63b67dce2a27c28f5515899e0590b812f35c97a30515
GCA_001639275.1|LWMU01000061.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000061.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000061, whole genome shotgun sequence	19988	12aa7409695a83771a6a15bb856dfb98ba6ca3f4b23113e04b67b558904d524e
GCA_001639275.1|LWMU01000062.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000062.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000062, whole genome shotgun sequence	19986	ca1812467ff10ed96e02a6f07538a435aab6ce96da30686bb1bed8d1c17e9cc9
GCA_001639275.1|LWMU01000063.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000063.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000063, whole genome shotgun sequence	18111	61049c985ad086d054287e94a4bfb23d62857947ea6c19565909a0e8686cdb34
GCA_001639275.1|LWMU01000064.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000064.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000064, whole genome shotgun sequence	17960	854b399ddd3ec4d6841e4855e74a0df9ad6a6286f7802437478d5beb7cbf5282
GCA_001639275.1|LWMU01000065.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000065.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000065, whole genome shotgun sequence	16249	1f8cb5d793eea406411e8b7cf9c7902cf98e090151f49997664c34ef6293b980
GCA_001639275.1|LWMU01000066.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000066.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000066, whole genome shotgun sequence	15401	4f431fc72a04d8e13a243ab22ad4f7da5661e5deb74e22d5a70602ea624f8ca2
GCA_001639275.1|LWMU01000067.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000067.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000067, whole genome shotgun sequence	14792	7f6711aeb066220c92e53bd1e0a2a991d370c854d76efefcef320adce7d406ea
GCA_001639275.1|LWMU01000068.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000068.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000068, whole genome shotgun sequence	14570	36a9c8eacfdbb1064eb55e80c93b80ce5c26fcc4adbb7ea1f57ad1fcf821c803
GCA_001639275.1|LWMU01000069.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000069.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000069, whole genome shotgun sequence	14185	ef59aa26d0c5a463ffe7aa5c9e135d7195c53f8c3acc153fefd0d80249bd674f
GCA_001639275.1|LWMU01000070.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000070.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000070, whole genome shotgun sequence	108787	80d62e9faa465a7199e6ef993fa65e1866b4dbd65af3c4efd0c9045a13d32f4a
GCA_001639275.1|LWMU01000071.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000071.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000071, whole genome shotgun sequence	13876	e5778d003ae56ac081e3a2e0839b426e6eb9d8174459f18e932eb43cb42c2775
GCA_001639275.1|LWMU01000072.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000072.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000072, whole genome shotgun sequence	13735	32e413320d34ef49f51e74e1ec7dff36ffbe5cdf62b41c297928482424de1b58
GCA_001639275.1|LWMU01000073.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000073.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000073, whole genome shotgun sequence	13288	0a9079626fb259307a5369c4d6c13bcd557d48a85caf66629b1550dbf2fc5382
GCA_001639275.1|LWMU01000074.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000074.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000074, whole genome shotgun sequence	13280	a7f66d84cc01badcd32ac6cfff649b5d8b664e8a432e245b7c022ebce937ed76
GCA_001639275.1|LWMU01000075.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000075.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000075, whole genome shotgun sequence	13073	e0f8c585770e1a490818e76c573e26e447f293b3bcd81921d19dfb9c6ee4659a
GCA_001639275.1|LWMU01000076.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000076.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000076, whole genome shotgun sequence	12085	4445470185d61be787ec5e83237017d715acb9b2026032bf3f17fdf197b0d1d1
GCA_001639275.1|LWMU01000077.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000077.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000077, whole genome shotgun sequence	12009	8ba529d9acf576802060378f3ebd873808766f465426cc6cd857c3360b04ed39
GCA_001639275.1|LWMU01000078.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000078.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000078, whole genome shotgun sequence	12006	725b80a8b6ea916bcda0ab837d765e34f07b8aace7649b4b3370948f69573a8e
GCA_001639275.1|LWMU01000079.1	GCA_001639275.1	Other replicon	Draft scaffold/other sequence	GCA_001639275.1|LWMU01000079.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000079, whole genome shotgun sequence	11516	3e72c4dc0d6dc4a6f90157ae270bbb395b840d986c13561ad57f8002404d6d37
