sample	hotspring	hotspring_common_name	region	broad_region	broad_region_short	in_yellowstone	latitude	longitude	date	year	datetime	sequencing_batch	pH	temperature	conductivity	temperature_regime	type	is_hotspring	sequencing_platform	metagenome_SRR	metagenome_SAMN	mean_quality_R1	mean_quality_R2	raw_Nsequences	filtered_Nsequences	metagenome2MAG_read_recruitment_rate	hotspring.year	max_concurrent_hotspring_temperature	max_hotspring_temperature
AY07.0.4	AY07	Mushroom Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.538834	-110.798	2020.09.21	2020	2020.09.21 11:39:47	1	7.540533333	66.30	1.36	50_70	mat	yes	Illumina NextSeq2000	SRR32625312	SAMN47273278	33.041	32.576	3721210	1779890	0.10707	AY07.2020	67.4	67.4
AY07.0.5	AY07	Mushroom Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.538705	-110.79793	2020.09.21	2020	2020.09.21 11:51:07	1	7.5096	66.10	1.35	50_70	mat	yes	Illumina NextSeq2000	SRR32625311	SAMN47273279	32.98	32.553	6841805	3309095	0.1181	AY07.2020	67.4	67.4
AY07.0.6	AY07	Mushroom Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.538727	-110.79787	2020.09.21	2020	2020.09.21 12:00:43	1	7.540533333	67.40	1.36	50_70	mat	yes	Illumina NextSeq2000	SRR32625310	SAMN47273280	33.027	32.537	11366138	5509322	0.094335	AY07.2020	67.4	67.4
AY07.0.7	AY07	Mushroom Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.538757	-110.79783	2020.09.21	2020	2020.09.21 12:04:20	1	7.540533333	66.70	1.36	50_70	mat	yes	Illumina NextSeq2000	SRR32625309	SAMN47273281	32.967	32.526	10495890	5000825	0.113445	AY07.2020	67.4	67.4
AY07.0.8	AY07	Mushroom Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.538725	-110.79792	2020.09.21	2020	2020.09.21 11:56:42	1	7.5096	66.10	1.35	50_70	mat	yes	Illumina NextSeq2000	SRR32625308	SAMN47273282	33.033	32.518	2080789	913583	0.113285	AY07.2020	67.4	67.4
AY08.0.3	AY08	Octopus Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.534136	-110.79794	2020.09.21	2020	2020.09.21 09:36:58	1	7.932355556	76.00	1.46	70_80	sediment	yes	Illumina NextSeq2000	SRR32625307	SAMN47273285	33.087	32.445	3834668	1660427	0.076445	AY08.2020	85.1	92.3
AY08.0.4	AY08	Octopus Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.534052	-110.79787	2020.09.21	2020	2020.09.21 09:41:08	1	7.354933333	57.60	1.48	50_70	mat	yes	Illumina NextSeq2000	SRR32625305	SAMN47273286	33.007	32.495	5349939	2499041	0.085075	AY08.2020	85.1	92.3
AY08.0.5	AY08	Octopus Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.534024	-110.79782	2020.09.21	2020	2020.09.21 09:56:04	1	8.324177778	65.30	1.46	50_70	mat	yes	Illumina NextSeq2000	SRR32625304	SAMN47273287	32.901	32.638	9739897	4611857	0.070545	AY08.2020	85.1	92.3
AY08.0.6	AY08	Octopus Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.534064	-110.79781	2020.09.21	2020	2020.09.21 10:00:54	1	8.0664	81.50	1.43	80_100	sediment	yes	Illumina NextSeq2000	SRR32625303	SAMN47273288	33.019	32.205	1501470	529078	0.08963	AY08.2020	85.1	92.3
AY08.0.8	AY08	Octopus Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.534138	-110.79801	2020.09.21	2020	2020.09.21 10:21:54	1	7.994222222	85.10	1.46	80_100	filament	yes	Illumina NextSeq2000	SRR32625302	SAMN47273290	32.908	32.465	5321018	2206357	0.08676	AY08.2020	85.1	92.3
AY11.0.1	AY11		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.52135	-110.81093	2020.09.23	2020	2020.09.23 13:18:36	1	3.220177778	65.50	0.02	50_70	mud	yes	Illumina NextSeq2000	SRR32625301	SAMN47273294	32.954	32.336	2156634	736429	0.518065	AY11.2020	65.5	84.4
AA01.1.1	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.678551	-118.34823	2021.09.11	2021	2021.09.11 15:05:12	1	8.41	41.40	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625300	SAMN47273297	32.99	32.54	1485423	722556	0.156385	AA01.2021	52.5	57
AA01.1.2	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.678527	-118.34823	2021.09.11	2021	2021.09.11 15:15:11	1	8.11	52.50	2.96	50_70	mat	yes	Illumina NextSeq2000	SRR32625299	SAMN47273298	32.964	32.597	1644625	803033	0.125235	AA01.2021	52.5	57
AA01.1.3	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.67852	-118.34825	2021.09.11	2021	2021.09.11 15:17:29	1	8.16	51.30	2.96	50_70	mat	yes	Illumina NextSeq2000	SRR32625365	SAMN47273299	33.002	32.65	12748284	6593383	0.116605	AA01.2021	52.5	57
AA01.1.5	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.678583	-118.3482	2021.09.11	2021	2021.09.11 15:30:09	1	9.36	35.40	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625364	SAMN47273301	33.023	32.563	14549657	7066780	0.087985	AA01.2021	52.5	57
AA01.1.6	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.678586	-118.34824	2021.09.11	2021	2021.09.11 15:34:48	1	9.27	31.90	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625363	SAMN47273302	33.002	32.596	11583276	5772200	0.12155	AA01.2021	52.5	57
AA03.1.2	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677608	-118.34692	2021.09.11	2021	2021.09.11 16:13:53	1	8.94	41.50	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625426	SAMN47273304	32.97	32.589	8248535	4106019	0.18992	AA03.2021	65.5	92.8
AA03.1.3	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677554	-118.34711	2021.09.11	2021	2021.09.11 16:16:28	1	7.92	62.20	2.98	50_70	mat	yes	Illumina NextSeq2000	SRR32625425	SAMN47273305	33.02	32.575	1814673	883165	0.09961	AA03.2021	65.5	92.8
AA03.1.4	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677505	-118.34711	2021.09.11	2021	2021.09.11 16:19:22	1	8.17	45.50	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625424	SAMN47273306	32.983	32.629	1656474	818639	0.159855	AA03.2021	65.5	92.8
AA03.1.5	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677391	-118.34688	2021.09.11	2021	2021.09.11 16:37:28	1	8.42	65.50	3.01	50_70	mat	yes	Illumina NextSeq2000	SRR32625423	SAMN47273307	33.063	32.592	12300576	6181192	0.082825	AA03.2021	65.5	92.8
AA03.1.6	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677338	-118.34688	2021.09.11	2021	2021.09.11 16:41:29	1	8.9	28.10	NA	below_30	mat	yes	Illumina NextSeq2000	SRR32625422	SAMN47273308	33.07	32.565	9893671	4803852	0.14917	AA03.2021	65.5	92.8
AA03.1.7	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677304	-118.34675	2021.09.11	2021	2021.09.11 16:45:38	1	8.57	60.30	2.97	50_70	mat	yes	Illumina NextSeq2000	SRR32625421	SAMN47273309	32.976	32.627	1466175	703151	0.118725	AA03.2021	65.5	92.8
AA03.1.8	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677286	-118.3468	2021.09.11	2021	2021.09.11 16:49:31	1	9.02	29.20	NA	below_30	mat	yes	Illumina NextSeq2000	SRR32625420	SAMN47273310	32.958	32.607	7061063	3486732	0.097865	AA03.2021	65.5	92.8
AB02.1.1	AB02		Borax Lake	Alvord Desert	ALV	no	42.332744	-118.6031	2021.09.12	2021	2021.09.12 16:11:01	1	6.83	NA	2.34	NA	sediment	yes	Illumina NextSeq2000	SRR32625419	SAMN47273311	33.018	32.436	1344093	562547	0.08778	AB02.2021	53.8	76.9
AB02.1.2	AB02		Borax Lake	Alvord Desert	ALV	no	42.332702	-118.60311	2021.09.12	2021	2021.09.12 16:12:52	1	7.17	53.80	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625418	SAMN47273312	33.016	32.604	6700089	3328130	0.083005	AB02.2021	53.8	76.9
AB03.1.1	AB03		Borax Lake	Alvord Desert	ALV	no	42.331272	-118.60365	2021.09.12	2021	2021.09.12 15:50:23	1	7.12	89.60	2.37	80_100	sediment	yes	Illumina NextSeq2000	SRR32625417	SAMN47273314	32.935	32.469	3027487	1257636	0.07335	AB03.2021	89.6	89.6
AB03.1.2	AB03		Borax Lake	Alvord Desert	ALV	no	42.331288	-118.60359	2021.09.12	2021	2021.09.12 15:52:34	1	7.07	67.60	2.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625415	SAMN47273315	33.038	32.634	10477818	5243723	0.097915	AB03.2021	89.6	89.6
AB03.1.3	AB03		Borax Lake	Alvord Desert	ALV	no	42.331317	-118.60366	2021.09.12	2021	2021.09.12 15:55:08	1	8.38	43.70	2.49	30_50	mat	yes	Illumina NextSeq2000	SRR32625414	SAMN47273316	32.991	32.522	2024062	970036	0.16652	AB03.2021	89.6	89.6
AB04.1.1	AB04		Borax Lake	Alvord Desert	ALV	no	42.333059	-118.60329	2021.09.12	2021	2021.09.12 16:48:16	1	6.85	67.70	2.38	50_70	mat	yes	Illumina NextSeq2000	SRR32625413	SAMN47273317	33.037	32.665	29786921	14965980	0.109405	AB04.2021	67.7	71.1
AB07.1.1	AB07		Borax Lake	Alvord Desert	ALV	no	42.333237	-118.6033	2021.09.12	2021	2021.09.12 16:37:37	1	7.35	52.80	2.34	50_70	mat	yes	Illumina NextSeq2000	SRR32625412	SAMN47273318	33.013	32.615	7370983	3682373	0.08087	AB07.2021	52.8	56.3
AB08.1.2	AB08		Borax Lake	Alvord Desert	ALV	no	42.334009	-118.60305	2021.09.13	2021	2021.09.12 17:09:41	1	8.04	48.50	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625411	SAMN47273320	33.001	32.617	2047272	1022205	0.13825	AB08.2021	59	90
AB08.1.3	AB08		Borax Lake	Alvord Desert	ALV	no	42.334003	-118.60302	2021.09.13	2021	2021.09.12 17:11:29	1	7.67	59.00	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625410	SAMN47273321	33.031	32.572	1498930	725125	0.07204	AB08.2021	59	90
AB09.1.2	AB09		Borax Lake	Alvord Desert	ALV	no	42.334154	-118.603	2021.09.13	2021	2021.09.12 17:24:40	1	7.73	36.30		30_50	mat	yes	Illumina NextSeq2000	SRR32625409	SAMN47273323	32.978	32.595	9594870	4662570	0.137045	AB09.2021	36.3	61.8
AB11A.1.1	AB11		Borax Lake	Alvord Desert	ALV	no	42.334533	-118.60292	2021.09.13	2021	2021.09.12 17:53:00	1	7.1	50.00	2.43	50_70	mat	yes	Illumina NextSeq2000	SRR32625408	SAMN47273324	32.98	32.634	7297433	3691892	0.17456	AB11.2021	78.4	89.9
AB11B.1.1	AB11		Borax Lake	Alvord Desert	ALV	no	42.334592	-118.60288	2021.09.12	2021	2021.09.12 17:56:06	1	7.09	52.20	2.48	50_70	mat	yes	Illumina NextSeq2000	SRR32625407	SAMN47273325	33.002	32.615	19714672	10112594	0.063295	AB11.2021	78.4	89.9
AB11C.1.1	AB11		Borax Lake	Alvord Desert	ALV	no	42.334643	-118.6029	2021.09.12	2021	2021.09.12 17:58:09	1	7.26	70.10	2.48	70_80	sediment	yes	Illumina NextSeq2000	SRR32625406	SAMN47273326	32.966	32.586	8224545	3989958	0.088335	AB11.2021	78.4	89.9
AB11D.1.1	AB11		Borax Lake	Alvord Desert	ALV	no	42.334669	-118.60291	2021.09.12	2021	2021.09.12 18:00:15	1	7.07	75.40	2.49	70_80	sediment	yes	Illumina NextSeq2000	SRR32625404	SAMN47273327	33.037	32.526	4482116	2068258	0.088185	AB11.2021	78.4	89.9
AB11F.1.1	AB11		Borax Lake	Alvord Desert	ALV	no	42.334721	-118.60296	2021.09.12	2021	2021.09.12 18:07:25	1	7.04	78.40	2.52	70_80	crust	yes	Illumina NextSeq2000	SRR32625403	SAMN47273329	33.047	32.54	10817626	4991884	0.060675	AB11.2021	78.4	89.9
AB20.1.1	AB20		Borax Lake	Alvord Desert	ALV	no	42.326703	-118.60378	2021.09.12	2021	2021.09.12 10:39:27	1	5.89	23.80	4.62	below_30	mud	yes	Illumina NextSeq2000	SRR32625402	SAMN47273330	32.912	32.639	4801304	2446437	0.108635	AB20.2021	23.8	27.5
AB22.1.1	AB22		Borax Lake	Alvord Desert	ALV	no	42.329715	-118.60396	2021.09.12	2021	2021.09.12 11:25:35	1	7.5	76.60	2.47	70_80	sediment	yes	Illumina NextSeq2000	SRR32625401	SAMN47273331	32.911	32.641	5671761	2776565	0.31565	AB22.2021	76.6	86.2
AB22.1.2	AB22		Borax Lake	Alvord Desert	ALV	no	42.329692	-118.60394	2021.09.12	2021	2021.09.12 11:31:47	1	7.03	47.90	2.6	30_50	mat	yes	Illumina NextSeq2000	SRR32625400	SAMN47273332	32.977	32.587	1439645	695970	0.07865	AB22.2021	76.6	86.2
AB22.1.3	AB22		Borax Lake	Alvord Desert	ALV	no	42.329689	-118.60397	2021.09.12	2021	2021.09.12 11:36:51	1	8.21	30.00	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625399	SAMN47273333	33.019	32.687	1326525	723262	0.11029	AB22.2021	76.6	86.2
AB22.1.4	AB22		Borax Lake	Alvord Desert	ALV	no	42.329734	-118.60392	2021.09.12	2021	2021.09.12 11:38:49	1	8.09	33.50	2.51	30_50	mat	yes	Illumina NextSeq2000	SRR32625398	SAMN47273334	32.953	32.502	12095297	5770119	0.175415	AB22.2021	76.6	86.2
AB22.1.5	AB22		Borax Lake	Alvord Desert	ALV	no	42.32988	-118.60397	2021.09.12	2021	2021.09.12 11:44:14	1	7.08	52.20	2.49	50_70	mat	yes	Illumina NextSeq2000	SRR32625362	SAMN47273335	33.066	32.769	1861898	1032782	0.090565	AB22.2021	76.6	86.2
AB22.1.6	AB22		Borax Lake	Alvord Desert	ALV	no	42.329982	-118.60395	2021.09.12	2021	2021.09.12 11:45:38	1	7.53	33.50	2.55	30_50	mat	yes	Illumina NextSeq2000	SRR32625361	SAMN47273336	33.01	32.533	3597016	1672502	0.143145	AB22.2021	76.6	86.2
AB22.1.7	AB22		Borax Lake	Alvord Desert	ALV	no	42.329966	-118.60397	2021.09.12	2021	2021.09.12 11:48:08	1	7.53	33.50	2.55	30_50	mat	yes	Illumina NextSeq2000	SRR32625360	SAMN47273337	33.028	32.74	480277	274486	0.16306	AB22.2021	76.6	86.2
AB31.1.1	AB31		Borax Lake	Alvord Desert	ALV	no	42.333221	-118.60341	2021.09.12	2021	2021.09.12 16:43:20	1	6.86	73.00	2.39	70_80	mat	yes	Illumina NextSeq2000	SRR32625358	SAMN47273338	33.017	32.545	1681717	808528	0.07945	AB31.2021	73	75.3
AB32.1.1	AB32		Borax Lake	Alvord Desert	ALV	no	42.333168	-118.6034	2021.09.12	2021	2021.09.12 16:44:47	1	6.9	66.60	2.38	50_70	mat	yes	Illumina NextSeq2000	SRR32625357	SAMN47273339	33.054	32.607	3256934	1642709	0.085565	AB32.2021	66.6	72.5
AB35.1.1	AB35	Borax Lake	Borax Lake	Alvord Desert	ALV	no	42.326785	-118.60378	2021.09.12	2021	2021.09.12 10:57:39	1	7.25	33.10	2.6	30_50	flakes	yes	Illumina NextSeq2000	SRR32625356	SAMN47273340	32.976	32.47	2634888	1215174	0.047875	AB35.2021	33.1	36.5
AM01.1.1	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352636	-119.21769	2021.09.13	2021	2021.09.13 13:52:55	1	8.48	53.70	0.421	50_70	mat	yes	Illumina NextSeq2000	SRR32625355	SAMN47273341	33.097	32.558	11915196	6222033	0.125155	AM01.2021	53.7	56
AM01.1.2	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352606	-119.21768	2021.09.13	2021	2021.09.13 13:54:50	1	8.99	51.90	0.429	50_70	mat	yes	Illumina NextSeq2000	SRR32625354	SAMN47273342	32.942	32.575	9886257	4879872	0.245415	AM01.2021	53.7	56
AM01.1.3	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.35258	-119.21766	2021.09.13	2021	2021.09.13 14:00:17	1	8.44	53.00	0.422	50_70	mat	yes	Illumina NextSeq2000	SRR32625353	SAMN47273343	32.999	32.546	1688966	829477	0.119035	AM01.2021	53.7	56
AM01.1.4	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352522	-119.21751	2021.09.13	2021	2021.09.13 14:05:02	1	8.88	31.80	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625352	SAMN47273344	32.994	32.54	10837820	5206096	0.254005	AM01.2021	53.7	56
AM01.1.5	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352508	-119.21748	2021.09.13	2021	2021.09.13 14:08:15	1	8.7	49.90	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625351	SAMN47273345	32.989	32.539	2170855	1033809	0.11664	AM01.2021	53.7	56
AM02.1.1	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.357029	-119.18903	2021.09.13	2021	2021.09.13 14:53:34	1	8.5	56.20	0.429	50_70	mat	yes	Illumina NextSeq2000	SRR32625350	SAMN47273346	32.965	32.512	1729621	819085	0.112295	AM02.2021	56.2	58.6
AM02.1.2	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356969	-119.18903	2021.09.13	2021	2021.09.13 14:54:44	1	8.5	56.20	0.429	50_70	mat	yes	Illumina NextSeq2000	SRR32625349	SAMN47273347	32.986	32.554	1415274	682494	0.193875	AM02.2021	56.2	58.6
AM02.1.3	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356951	-119.18896	2021.09.13	2021	2021.09.13 14:59:33	1	8.53	52.00	0.431	50_70	mat	yes	Illumina NextSeq2000	SRR32625347	SAMN47273348	32.98	32.524	4187565	1961463	0.27363	AM02.2021	56.2	58.6
AM02.1.4	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356903	-119.18892	2021.09.13	2021	2021.09.13 15:02:22	1	8.43	55.60	0.431	50_70	filaments	yes	Illumina NextSeq2000	SRR32625346	SAMN47273349	32.958	32.502	516315	240094	0.179355	AM02.2021	56.2	58.6
AM02.1.5	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356824	-119.18886	2021.09.13	2021	2021.09.13 15:06:08	1	8.5	55.20	0.431	50_70	mat	yes	Illumina NextSeq2000	SRR32625345	SAMN47273350	32.979	32.546	1081529	522222	0.197515	AM02.2021	56.2	58.6
AR01B.1.1	AR01	Double Hot Springs	Black Rock Desert	Black Rock Desert	BLR	no	41.050947	-119.02641	2021.09.14	2021	2021.09.13 17:40:04	1	8.1	55.30	1.056	50_70	mat	yes	Illumina NextSeq2000	SRR32625344	SAMN47273352	32.942	32.442	2094369	942662	0.15597	AR01.2021	62.5	86.5
AR01D.1.1	AR01	Double Hot Springs	Black Rock Desert	Black Rock Desert	BLR	no	41.050828	-119.0263	2021.09.14	2021	2021.09.13 17:48:22	1	8.41	37.90	1.137	30_50	mat	yes	Illumina NextSeq2000	SRR32625343	SAMN47273354	32.968	32.523	2477830	1215459	0.06896	AR01.2021	62.5	86.5
AR01D.1.2	AR01	Double Hot Springs	Black Rock Desert	Black Rock Desert	BLR	no	41.050833	-119.02635	2021.09.14	2021	2021.09.13 17:54:25	1	7.5	62.50	0.946	50_70	mat	yes	Illumina NextSeq2000	SRR32625342	SAMN47273355	32.981	32.661	1615245	821894	0.111645	AR01.2021	62.5	86.5
AR08.1.1	AR08	Casey hot springs	Black Rock Desert	Black Rock Desert	BLR	no	41.001362	-119.01286	2021.09.14	2021	2021.09.14 09:08:27	1	8.01	28.90	NA	below_30	mat	yes	Illumina NextSeq2000	SRR32625341	SAMN47273356	32.964	32.508	4137383	2044576	0.14644	AR08.2021	65.7	65.7
AR08.1.2	AR08	Casey hot springs	Black Rock Desert	Black Rock Desert	BLR	no	41.001411	-119.01289	2021.09.14	2021	2021.09.14 09:11:32	1	7.77	65.70	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625340	SAMN47273357	33.001	32.662	1870334	940299	0.0619	AR08.2021	65.7	65.7
AR08.1.3	AR08	Casey hot springs	Black Rock Desert	Black Rock Desert	BLR	no	41.001385	-119.01292	2021.09.14	2021	2021.09.14 09:14:45	1	NA	28.90	NA	below_30	mat	yes	Illumina NextSeq2000	SRR32625339	SAMN47273358	32.992	32.618	10065126	5089702	0.07316	AR08.2021	65.7	65.7
AR08.1.4	AR08	Casey hot springs	Black Rock Desert	Black Rock Desert	BLR	no	41.001381	-119.01287	2021.09.14	2021	2021.09.14 09:19:54	1	6.61	29.00	NA	below_30	mat	yes	Illumina NextSeq2000	SRR32625338	SAMN47273359	32.999	32.546	16758596	8281985	0.190795	AR08.2021	65.7	65.7
AY01.1.1	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517184	-110.8227	2021.08.31	2021	2021.08.31 10:19:22	1	NA	28.20	NA	below_30	mat	yes	Illumina NextSeq2000	SRR32625336	SAMN47273360	32.978	32.648	2464071	1265099	0.04864	AY01.2021	69	70.4
AY01.1.3	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517272	-110.82273	2021.08.31	2021	2021.08.31 10:29:13	1	8.08	69.00	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625335	SAMN47273362	33.033	32.591	18359236	9060048	0.089485	AY01.2021	69	70.4
AY01.1.4	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517178	-110.82299	2021.08.31	2021	2021.08.31 10:35:59	1	8.22	62.10	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625334	SAMN47273363	33.021	32.577	1080196	526051	0.09921	AY01.2021	69	70.4
AY01.1.5	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517255	-110.82278	2021.08.31	2021	2021.08.31 10:51:46	1	8.53	26.60	NA	below_30	mat	yes	Illumina NextSeq2000	SRR32625333	SAMN47273364	33.015	32.61	8819863	4557626	0.0192	AY01.2021	69	70.4
AY01.1.6	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.5172	-110.82275	2021.08.31	2021	2021.08.31 10:55:40	1	NA	27.60	NA	below_30	mat	yes	Illumina NextSeq2000	SRR32625332	SAMN47273365	33.01	32.656	1998098	1037308	0.09555	AY01.2021	69	70.4
AY01.1.7	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517169	-110.82324	2021.08.31	2021	2021.08.31 11:04:07	1	8.11	64.00	1.968	50_70	filaments	yes	Illumina NextSeq2000	SRR32625331	SAMN47273366	33.029	32.647	1297075	643897	0.09045	AY01.2021	69	70.4
AY02.1.1	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.516951	-110.81672	2021.08.31	2021	2021.08.31 11:43:00	1	8.67	60.10	1.23	50_70	mat	yes	Illumina NextSeq2000	SRR32625298	SAMN47273367	33.166	32.453	5665917	2591390	0.13163	AY02.2021	60.1	60.1
AY02.1.2	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.516999	-110.81673	2021.08.31	2021	2021.08.31 11:53:29	1	8.51	58.40	1.505	50_70	mat	yes	Illumina NextSeq2000	SRR32625297	SAMN47273368	32.964	32.618	346776	171611	0.128045	AY02.2021	60.1	60.1
AY02.1.3	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517013	-110.81679	2021.08.31	2021	2021.08.31 11:55:14	1	NA	34.60	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625296	SAMN47273369	32.955	32.556	3745426	1870160	0.0652	AY02.2021	60.1	60.1
AY02.1.4	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.51704	-110.81667	2021.08.31	2021	2021.08.31 12:00:51	1	8.52	58.40	1.515	50_70	mat	yes	Illumina NextSeq2000	SRR32625295	SAMN47273370	33.082	32.443	7290135	3335884	0.148625	AY02.2021	60.1	60.1
AY03.1.3	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521104	-110.81202	2021.09.01	2021	2021.09.01 08:08:26	1	9.14	65.40	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625293	SAMN47273373	33	32.64	11126725	5713712	0.078725	AY03.2021	73.5	90
AY03.1.4	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.520988	-110.81197	2021.09.01	2021	2021.09.01 08:14:50	1	9.11	67.80	2.14	50_70	mat	yes	Illumina NextSeq2000	SRR32625292	SAMN47273374	33.046	32.734	4515391	2460650	0.079825	AY03.2021	73.5	90
AY03.1.5	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521364	-110.81198	2021.09.01	2021	2021.09.01 08:36:38	1	9.20	60.60	2.14	50_70	mat	yes	Illumina NextSeq2000	SRR32625291	SAMN47273375	33.07	32.612	12557625	6298007	0.098045	AY03.2021	73.5	90
AY03.1.6	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521257	-110.81185	2021.09.01	2021	2021.09.01 08:42:18	1	9.12	73.50	NA	70_80	mat	yes	Illumina NextSeq2000	SRR32625290	SAMN47273376	33.018	32.672	830305	444473	0.091845	AY03.2021	73.5	90
AY03.1.7	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521242	-110.81195	2021.09.01	2021	2021.09.01 08:46:34	1	9.20	61.60	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625289	SAMN47273377	33.037	32.546	2663010	1288798	0.069925	AY03.2021	73.5	90
AY03.1.8	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521151	-110.81205	2021.09.01	2021	2021.09.01 08:47:42	1	9.12	69.80	2.20	50_70	mat	yes	Illumina NextSeq2000	SRR32625288	SAMN47273378	33.058	32.657	7925414	4082712	0.068315	AY03.2021	73.5	90
AY03.1.9	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521066	-110.81205	2021.09.01	2021	2021.09.01 08:57:05	1	9.12	69.80	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625287	SAMN47273379	32.928	32.471	6161537	2849139	0.062405	AY03.2021	73.5	90
AY04.1.1	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.522434	-110.81307	2021.09.01	2021	2021.09.01 11:41:07	1	8.77	56.50	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625286	SAMN47273380	33.006	32.545	21193502	10213620	0.11773	AY04.2021	64.3	74.8
AY04.1.2	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.522454	-110.81308	2021.09.01	2021	2021.09.01 11:46:25	1	8.64	64.30	2.07	50_70	mat	yes	Illumina NextSeq2000	SRR32625285	SAMN47273381	33.028	32.639	6711726	3434006	0.13222	AY04.2021	64.3	74.8
AY04.1.3	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.522411	-110.81311	2021.09.01	2021	2021.09.01 11:47:54	1	8.83	52.40	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625284	SAMN47273382	33.006	32.651	12226631	6320347	0.08384	AY04.2021	64.3	74.8
