Donor	MAGID	Completeness	Contamination	GTDBr207Taxonomy	PaperQuality	Domain	Phylum	Class	Order	Family	Genus	Species	SpeciesResolved	MIMAGHighQualityStatus	NormalizedInput
Donor 1	bin.41	81.31	0.06	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp001916835	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp001916835	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.100	80.69	2.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__Merdicola;s__Merdicola sp001915925	Paper medium	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	Merdicola	Merdicola sp001915925	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.75	80.59	2.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900757655	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900757655	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.5	80.17	2.66	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena_B	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	Dorea_A longicatena_B	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.133	79.29	0.73	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.138	78.76	1.06	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia excrementipullorum	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	Evtepia excrementipullorum	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.19	77.66	1.4	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp000435475	Paper medium	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp000435475	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.132	77.3	0.48	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1212;f__UBA1255;g__Egerieisoma;s__Egerieisoma faecipullorum	Paper medium	Bacteria	Firmicutes_A	Clostridia	UBA1212	UBA1255	Egerieisoma	Egerieisoma faecipullorum	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.67	77.13	2.03	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp000435195	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus sp000435195	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.58	76.56	0.22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000438355	Paper medium	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	CAG-273 sp000438355	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.103	100.0	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q fessum	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q fessum	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.130	100.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A pullistercoris	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A pullistercoris	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.79	100.0	0.09	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	Paper high	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.110	99.98	1.5	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	Paper high	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.87	99.97	0.48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes communis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.149	99.88	0.32	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_B;s__Citrobacter_B koseri	Paper high	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter_B	Citrobacter_B koseri	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.20	99.52	1.45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor intestinalis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.109	99.46	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas paravirosa	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas paravirosa	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.11	99.41	0.59	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	Paper high	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.81	99.38	0.66	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis	Paper high	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella wadsworthensis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.31	99.36	0.84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG115;s__RUG115 sp900066395	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	RUG115	RUG115 sp900066395	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.4	99.3	1.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595	Paper high	Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-74	UBA11524	UBA11524 sp000437595	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.131	99.23	1.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	Paper high	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.39	99.19	0.81	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	Paper high	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		False	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.52	99.05	1.21	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter faecis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.115	99.04	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.63	99.03	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.139	98.66	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900319515	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127	CAG-127 sp900319515	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.19	98.66	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000436835	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp000436835	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.29	98.66	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp000765235	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.72	98.66	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp003531055	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA1417	UBA1417 sp003531055	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.75	98.63	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_D	Ruminococcus_D bicirculans	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.10	98.48	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_G	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.99	98.45	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.21	98.39	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter splanchnicus	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.122	98.32	1.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.85	98.22	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.162	98.18	0.38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.107	98.14	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis	Paper high	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella wadsworthensis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.106	98.1	0.65	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__UBA3402 sp003478355	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp003478355	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.126	98.05	0.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp000435795	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Copromonas	Copromonas sp000435795	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.51	97.96	0.68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.13	97.65	1.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.128	96.96	0.89	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.163	96.81	0.71	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp900542245	Paper high	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-238	CAG-238 sp900542245	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.27	96.62	1.91	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella copri	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.73	96.6	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 2	bin.153	96.59	1.27	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	Paper high	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.133	96.42	0.19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella intestinihominis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.94	96.31	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C callidus	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.101	96.2	1.58	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia intestinalis	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Oliverpabstia	Oliverpabstia intestinalis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.112	96.11	0.67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000436535	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.127	96.01	1.05	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp001916965	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp001916965	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.111	95.99	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp003529475	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp003529475	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.148	95.97	0.67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp900316325	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp900316325	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.40	95.9	0.67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens_A	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.74	95.24	0.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.114	95.18	0.68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_D	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.90	95.16	0.92	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	Paper high	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.32	94.84	1.19	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia celatus_A	Paper high	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia celatus_A	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.57	94.74	1.48	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia gabavorous	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	Evtepia gabavorous	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.154	94.14	0.19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides johnsonii	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.76	94.14	0.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217 sp000436335	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.17	94.09	1.29	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Paper high	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister invisus	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.164	93.96	1.68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900545925	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp900545925	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.98	93.95	2.53	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.105	93.84	0.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.102	93.67	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp001916835	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp001916835	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.22	93.39	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1375;s__UMGS1375 sp900066615	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1375	UMGS1375 sp900066615	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.33	92.62	0.67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000431575	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp000431575	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.62	91.61	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp003525905	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia sp003525905	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.161	91.6	2.12	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345	Paper high	Bacteria	Firmicutes	Bacilli	Haloplasmatales_A	Turicibacteraceae	Turicibacter	Turicibacter sp001543345	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.134	91.12	0.5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.157	90.71	1.17	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella nakazawae	Paper high	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella nakazawae	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.65	90.6	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp000432375	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.47	90.48	0.31	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus faecis	Paper high	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Coprobacillaceae	Faecalibacillus	Faecalibacillus faecis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.89	90.24	1.49	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Paper high	Bacteria	Firmicutes_A	Clostridia	UBA1381	UBA1381	CAG-41	CAG-41 sp900066215	True	Not assessable: rRNA/tRNA evidence absent	False
