ReferenceID	Species	DomainTruth	SourceFile	SourceHeader	LengthBp
ZYMOV2|Cryptococcus_neoformans|01770|6045	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	6045 1452 7532	1452
ZYMOV2|Cryptococcus_neoformans|01771|31597	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	31597 1450 8386 11056-,16566+	1450
ZYMOV2|Cryptococcus_neoformans|01772|9302	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	9302 1448 8389	1448
ZYMOV2|Cryptococcus_neoformans|01773|34665	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34665 1447 15336 22178+,10412+,26738+	1447
ZYMOV2|Cryptococcus_neoformans|01774|1714	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	1714 1445 6996	1445
ZYMOV2|Cryptococcus_neoformans|01775|27831	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	27831 1444 8640	1444
ZYMOV2|Cryptococcus_neoformans|01776|33992	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33992 1441 21043 7526-,...,4540-	1441
ZYMOV2|Cryptococcus_neoformans|01777|31375	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	31375 1438 9429 9701+,13063+	1438
ZYMOV2|Cryptococcus_neoformans|01778|27906	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	27906 1435 7951	1435
ZYMOV2|Cryptococcus_neoformans|01779|34425	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34425 1430 9031 16952+,...,26098+	1430
ZYMOV2|Cryptococcus_neoformans|01780|13133	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	13133 1427 9171	1427
ZYMOV2|Cryptococcus_neoformans|01781|17070	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	17070 1424 9396	1424
ZYMOV2|Cryptococcus_neoformans|01782|33735	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33735 1421 9030 2001+,...,17588+	1421
ZYMOV2|Cryptococcus_neoformans|01783|34666	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34666 1414 15280 22178+,13217+,26738+	1414
ZYMOV2|Cryptococcus_neoformans|01784|33821	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33821 1413 8853 3732+,14406-	1413
ZYMOV2|Cryptococcus_neoformans|01785|34709	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34709 1412 21554 23060+,...,12106+	1412
ZYMOV2|Cryptococcus_neoformans|01786|29715	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	29715 1407 8356 1762-,2153-	1407
ZYMOV2|Cryptococcus_neoformans|01787|34847	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34847 1400 29575 25911+,...,11920-	1400
ZYMOV2|Cryptococcus_neoformans|01788|33941	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33941 1395 7866 6423+,9671+,16440-	1395
ZYMOV2|Cryptococcus_neoformans|01789|35411	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35411 1395 7932 31395-,26536+	1395
ZYMOV2|Cryptococcus_neoformans|01790|34620	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34620 1394 27868 21306-,...,12056-	1394
ZYMOV2|Cryptococcus_neoformans|01791|2181	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	2181 1393 8841	1393
ZYMOV2|Cryptococcus_neoformans|01792|35564	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35564 1389 27980 32160-,5219+	1389
ZYMOV2|Cryptococcus_neoformans|01793|34870	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34870 1385 27722 26492-,...,9342-	1385
ZYMOV2|Cryptococcus_neoformans|01794|34501	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34501 1384 8844 18610+,15769+,22253-	1384
ZYMOV2|Cryptococcus_neoformans|01795|34120	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34120 1382 40460 10048+,...,2175-	1382
ZYMOV2|Cryptococcus_neoformans|01796|30680	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	30680 1378 6896 6034+,24886+	1378
ZYMOV2|Cryptococcus_neoformans|01797|33762	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33762 1377 13374 2550+,33113+,4872-	1377
ZYMOV2|Cryptococcus_neoformans|01798|31017	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	31017 1374 11108 7718+,...,25390+	1374
ZYMOV2|Cryptococcus_neoformans|01799|34346	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34346 1374 16578 15282+,...,17873+	1374
ZYMOV2|Cryptococcus_neoformans|01800|34047	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34047 1373 13579 8722-,...,21976+	1373
ZYMOV2|Cryptococcus_neoformans|01801|33771	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33771 1372 46256 2814+,...,33046-	1372
ZYMOV2|Cryptococcus_neoformans|01802|32958	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	32958 1371 8102 24065-,28670+,26075-	1371
ZYMOV2|Cryptococcus_neoformans|01803|29558	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	29558 1370 8560 1163-,19227+,18808+	1370
ZYMOV2|Cryptococcus_neoformans|01804|32605	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	32605 1368 8335 18796+,28188+	1368
ZYMOV2|Cryptococcus_neoformans|01805|33721	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33721 1368 10284 1663+,29890+	1368
ZYMOV2|Cryptococcus_neoformans|01806|34909	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34909 1368 49740 27494+,32160+	1368
ZYMOV2|Cryptococcus_neoformans|01807|14273	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	14273 1366 8209	1366
ZYMOV2|Cryptococcus_neoformans|01808|35515	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35515 1366 8360 31905+,20485+,32995+	1366
ZYMOV2|Cryptococcus_neoformans|01809|35342	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35342 1361 9277 31078+,16332+	1361
ZYMOV2|Cryptococcus_neoformans|01810|32962	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	32962 1359 8362 24162+,26988+	1359
ZYMOV2|Cryptococcus_neoformans|01811|33756	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33756 1357 8579 2422-,12523-,30801+	1357
ZYMOV2|Cryptococcus_neoformans|01812|35049	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35049 1357 9399 29589+,...,19889+	1357
ZYMOV2|Cryptococcus_neoformans|01813|34561	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34561 1356 60401 20008-,...,1770-	1356
ZYMOV2|Cryptococcus_neoformans|01814|31570	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	31570 1353 9508 10904-,18866+	1353
ZYMOV2|Cryptococcus_neoformans|01815|34632	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34632 1351 8398 21534+,...,27391+	1351
ZYMOV2|Cryptococcus_neoformans|01816|35089	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35089 1348 7805 29724+,...,26860+	1348
ZYMOV2|Cryptococcus_neoformans|01817|32107	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	32107 1347 7608 14553+,23547+	1347
ZYMOV2|Cryptococcus_neoformans|01818|25467	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	25467 1343 8179	1343
ZYMOV2|Cryptococcus_neoformans|01819|31327	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	31327 1339 8171 9366-,11160-	1339
ZYMOV2|Cryptococcus_neoformans|01820|35810	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35810 1335 18670 5471+,...,4657-	1335
ZYMOV2|Cryptococcus_neoformans|01821|8383	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	8383 1334 7207	1334
ZYMOV2|Cryptococcus_neoformans|01822|35812	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35812 1334 13812 21903-,...,14920+	1334
ZYMOV2|Cryptococcus_neoformans|01823|20590	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	20590 1332 6954	1332
ZYMOV2|Cryptococcus_neoformans|01824|34984	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34984 1327 10892 29093+,...,7771-	1327
ZYMOV2|Cryptococcus_neoformans|01825|35050	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35050 1322 9870 29589+,31167-,1069+	1322
ZYMOV2|Cryptococcus_neoformans|01826|16998	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	16998 1321 8203	1321
ZYMOV2|Cryptococcus_neoformans|01827|34243	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34243 1321 18135 12841+,...,12112+	1321
ZYMOV2|Cryptococcus_neoformans|01828|17243	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	17243 1320 7543	1320
ZYMOV2|Cryptococcus_neoformans|01829|34105	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34105 1320 6443 9704+,7655+	1320
ZYMOV2|Cryptococcus_neoformans|01830|34636	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34636 1318 8681 21622-,...,19114-	1318
ZYMOV2|Cryptococcus_neoformans|01831|16679	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	16679 1310 10169	1310
ZYMOV2|Cryptococcus_neoformans|01832|12650	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	12650 1299 7541	1299
ZYMOV2|Cryptococcus_neoformans|01833|11771	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	11771 1296 6986	1296
ZYMOV2|Cryptococcus_neoformans|01834|34587	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34587 1288 8738 20575+,32702+,20750+	1288
ZYMOV2|Cryptococcus_neoformans|01835|32584	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	32584 1284 6617 18675-,24250-,20049+	1284
ZYMOV2|Cryptococcus_neoformans|01836|29449	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	29449 1281 7217 724+,19701+	1281
ZYMOV2|Cryptococcus_neoformans|01837|35790	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35790 1278 24616 21417-,...,21930-	1278
ZYMOV2|Cryptococcus_neoformans|01838|35763	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35763 1275 34188 33046+,24311+,7973+	1275
ZYMOV2|Cryptococcus_neoformans|01839|5108	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	5108 1271 14662	1271
ZYMOV2|Cryptococcus_neoformans|01840|1882	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	1882 1269 13294	1269
ZYMOV2|Cryptococcus_neoformans|01841|2029	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	2029 1269 9434	1269
ZYMOV2|Cryptococcus_neoformans|01842|17012	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	17012 1267 16097	1267
ZYMOV2|Cryptococcus_neoformans|01843|29292	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	29292 1266 6528 107-,16485+	1266
ZYMOV2|Cryptococcus_neoformans|01844|34137	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34137 1259 20837 10295+,...,25022-	1259
ZYMOV2|Cryptococcus_neoformans|01845|34281	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34281 1258 11171 14062-,...,521-	1258
ZYMOV2|Cryptococcus_neoformans|01846|35806	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35806 1258 15745 2599-,...,24991-	1258
ZYMOV2|Cryptococcus_neoformans|01847|35679	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35679 1253 11779 32686+,2135+	1253
ZYMOV2|Cryptococcus_neoformans|01848|34116	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34116 1252 19190 9982-,...,12826+	1252
ZYMOV2|Cryptococcus_neoformans|01849|34274	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34274 1249 6411 13777+,32887+	1249
ZYMOV2|Cryptococcus_neoformans|01850|35026	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35026 1248 76119 29446-,18046-,29368+	1248
ZYMOV2|Cryptococcus_neoformans|01851|32746	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	32746 1244 6747 20394+,23061+	1244
ZYMOV2|Cryptococcus_neoformans|01852|34654	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34654 1242 16014 21966+,19204-	1242
ZYMOV2|Cryptococcus_neoformans|01853|34354	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34354 1241 8861 15365-,...,4123+	1241
ZYMOV2|Cryptococcus_neoformans|01854|34480	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34480 1239 28894 18144-,...,27214+	1239
ZYMOV2|Cryptococcus_neoformans|01855|34239	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34239 1238 8001 12733+,...,17828+	1238
ZYMOV2|Cryptococcus_neoformans|01856|35672	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35672 1236 6197 32655+,16106+	1236
ZYMOV2|Cryptococcus_neoformans|01857|33814	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33814 1235 20377 3595+,...,19204+	1235
ZYMOV2|Cryptococcus_neoformans|01858|1822	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	1822 1234 7277	1234
ZYMOV2|Cryptococcus_neoformans|01859|33676	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33676 1234 20091 600+,...,17574+	1234
ZYMOV2|Cryptococcus_neoformans|01860|34087	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34087 1233 6039 9389+,883+,6194+	1233
ZYMOV2|Cryptococcus_neoformans|01861|32722	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	32722 1232 6831 20090+,29059-	1232
ZYMOV2|Cryptococcus_neoformans|01862|35015	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35015 1229 6292 29396-,6884+,28759+	1229
ZYMOV2|Cryptococcus_neoformans|01863|34595	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34595 1224 9545 20744+,...,22582-	1224
ZYMOV2|Cryptococcus_neoformans|01864|25662	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	25662 1221 6139	1221
ZYMOV2|Cryptococcus_neoformans|01865|35773	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35773 1221 14146 904-,...,15650-	1221
ZYMOV2|Cryptococcus_neoformans|01866|13591	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	13591 1218 7660	1218
ZYMOV2|Cryptococcus_neoformans|01867|29722	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	29722 1209 6278 1787-,20752-	1209
ZYMOV2|Cryptococcus_neoformans|01868|34916	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34916 1209 6592 27580-,...,28324-	1209
ZYMOV2|Cryptococcus_neoformans|01869|4551	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	4551 1208 7185	1208
ZYMOV2|Cryptococcus_neoformans|01870|35653	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35653 1206 24124 32557+,25558+,12330+	1206
ZYMOV2|Cryptococcus_neoformans|01871|34154	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34154 1205 97435 10770-,...,9402-	1205
ZYMOV2|Cryptococcus_neoformans|01872|2131	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	2131 1203 12507	1203
ZYMOV2|Cryptococcus_neoformans|01873|30829	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	30829 1202 7483 6749-,11605-	1202
ZYMOV2|Cryptococcus_neoformans|01874|35762	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35762 1197 33236 33046+,20128+	1197
ZYMOV2|Cryptococcus_neoformans|01875|29859	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	29859 1196 6240 2336+,9892+	1196
ZYMOV2|Cryptococcus_neoformans|01876|34208	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34208 1194 8112 12040-,...,16719+	1194
ZYMOV2|Cryptococcus_neoformans|01877|26419	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	26419 1189 7296	1189
ZYMOV2|Cryptococcus_neoformans|01878|34307	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34307 1189 6365 14719-,12940+	1189
ZYMOV2|Cryptococcus_neoformans|01879|33822	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33822 1187 12134 3762+,23694+	1187
ZYMOV2|Cryptococcus_neoformans|01880|34823	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34823 1187 6660 25431+,30639-	1187
ZYMOV2|Cryptococcus_neoformans|01881|21140	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	21140 1183 7342	1183
ZYMOV2|Cryptococcus_neoformans|01882|34034	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34034 1180 9646 8409+,...,31639+	1180
ZYMOV2|Cryptococcus_neoformans|01883|29290	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	29290 1175 6535 103+,9123-	1175
ZYMOV2|Cryptococcus_neoformans|01884|34211	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34211 1174 8315 12087-,...,16751+	1174
ZYMOV2|Cryptococcus_neoformans|01885|9979	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	9979 1173 6282	1173
ZYMOV2|Cryptococcus_neoformans|01886|24830	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	24830 1172 6621	1172
ZYMOV2|Cryptococcus_neoformans|01887|33911	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33911 1170 15811 5829-,...,20962-	1170
ZYMOV2|Cryptococcus_neoformans|01888|34255	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34255 1170 11031 13174+,...,20078-	1170
ZYMOV2|Cryptococcus_neoformans|01889|34543	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34543 1170 19356 19543+,...,10950+	1170
ZYMOV2|Cryptococcus_neoformans|01890|34778	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34778 1169 5593 24376+,16013+	1169
ZYMOV2|Cryptococcus_neoformans|01891|9453	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	9453 1162 7026	1162
ZYMOV2|Cryptococcus_neoformans|01892|34488	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34488 1156 6650 18255+,19875+	1156
ZYMOV2|Cryptococcus_neoformans|01893|33786	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33786 1145 12287 3158+,...,624+	1145
ZYMOV2|Cryptococcus_neoformans|01894|34456	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34456 1145 9213 17661+,...,18425+	1145
ZYMOV2|Cryptococcus_neoformans|01895|34123	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34123 1144 6733 10063+,...,19678+	1144
ZYMOV2|Cryptococcus_neoformans|01896|35786	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35786 1140 14253 6170+,...,23081-	1140
ZYMOV2|Cryptococcus_neoformans|01897|35100	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35100 1138 5428 29790-,14801+	1138
ZYMOV2|Cryptococcus_neoformans|01898|29579	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	29579 1131 6071 1256+,26915-	1131
ZYMOV2|Cryptococcus_neoformans|01899|31410	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	31410 1131 6151 9912-,12158+	1131
ZYMOV2|Cryptococcus_neoformans|01900|33870	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33870 1125 13242 5228+,...,31488+	1125
ZYMOV2|Cryptococcus_neoformans|01901|11418	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	11418 1123 6321	1123
ZYMOV2|Cryptococcus_neoformans|01902|33836	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33836 1119 6229 4145+,9671-,11317-	1119
ZYMOV2|Cryptococcus_neoformans|01903|31518	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	31518 1118 6306 10636-,20884-	1118
ZYMOV2|Cryptococcus_neoformans|01904|35277	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35277 1115 13866 30716+,...,22560+	1115
ZYMOV2|Cryptococcus_neoformans|01905|1851	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	1851 1113 5170	1113
ZYMOV2|Cryptococcus_neoformans|01906|35777	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35777 1113 13768 2311+,...,8699+	1113
ZYMOV2|Cryptococcus_neoformans|01907|33643	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33643 1111 11017 91+,...,19984+	1111
ZYMOV2|Cryptococcus_neoformans|01908|33953	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33953 1110 12543 6628+,...,26738-	1110
ZYMOV2|Cryptococcus_neoformans|01909|34970	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34970 1105 12519 28628+,...,3293-	1105
ZYMOV2|Cryptococcus_neoformans|01910|34760	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34760 1101 6367 23960-,21837-,2345+	1101
ZYMOV2|Cryptococcus_neoformans|01911|35771	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35771 1095 14760 20907+,...,13503-	1095
ZYMOV2|Cryptococcus_neoformans|01912|33801	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33801 1094 16998 3349-,...,16449+	1094
ZYMOV2|Cryptococcus_neoformans|01913|34320	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34320 1094 33426 14877-,2946+,17999+	1094
ZYMOV2|Cryptococcus_neoformans|01914|32946	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	32946 1085 6007 23799+,25552-	1085
ZYMOV2|Cryptococcus_neoformans|01915|8667	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	8667 1082 7215	1082
ZYMOV2|Cryptococcus_neoformans|01916|7009	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	7009 1081 6308	1081
ZYMOV2|Cryptococcus_neoformans|01917|33858	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33858 1081 6944 4787+,11090+	1081
ZYMOV2|Cryptococcus_neoformans|01918|35809	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35809 1081 16057 13306-,...,3825+	1081
ZYMOV2|Cryptococcus_neoformans|01919|8823	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	8823 1080 5704	1080
ZYMOV2|Cryptococcus_neoformans|01920|12490	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	12490 1080 6564	1080
ZYMOV2|Cryptococcus_neoformans|01921|15505	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	15505 1080 6039	1080
ZYMOV2|Cryptococcus_neoformans|01922|30600	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	30600 1080 6502 5637+,22907-	1080
ZYMOV2|Cryptococcus_neoformans|01923|7188	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	7188 1079 5967	1079
ZYMOV2|Cryptococcus_neoformans|01924|34878	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34878 1079 561309 26710+,25544-	1079
ZYMOV2|Cryptococcus_neoformans|01925|34227	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34227 1078 15517 12463+,...,18920-	1078
ZYMOV2|Cryptococcus_neoformans|01926|18880	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	18880 1077 68795	1077
ZYMOV2|Cryptococcus_neoformans|01927|20257	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	20257 1077 5898	1077
