FragmentID	FragmentLength	Species	DomainTruth	WithinSpeciesRank	SourceSequence	Start1	End1	Selection
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|050|00019|tig00000055|375001	3000	Saccharomyces cerevisiae	Eukaryote	50	00019|tig00000055	375001	378000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|051|00020|tig00000063|33001	3000	Saccharomyces cerevisiae	Eukaryote	51	00020|tig00000063	33001	36000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|052|00020|tig00000063|192001	3000	Saccharomyces cerevisiae	Eukaryote	52	00020|tig00000063	192001	195000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|053|00020|tig00000063|354001	3000	Saccharomyces cerevisiae	Eukaryote	53	00020|tig00000063	354001	357000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|054|00021|tig00000069|84001	3000	Saccharomyces cerevisiae	Eukaryote	54	00021|tig00000069	84001	87000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|055|00021|tig00000069|246001	3000	Saccharomyces cerevisiae	Eukaryote	55	00021|tig00000069	246001	249000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|056|00021|tig00000069|408001	3000	Saccharomyces cerevisiae	Eukaryote	56	00021|tig00000069	408001	411000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|057|00022|tig00000071|147001	3000	Saccharomyces cerevisiae	Eukaryote	57	00022|tig00000071	147001	150000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|058|00022|tig00000071|309001	3000	Saccharomyces cerevisiae	Eukaryote	58	00022|tig00000071	309001	312000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|059|00022|tig00000071|468001	3000	Saccharomyces cerevisiae	Eukaryote	59	00022|tig00000071	468001	471000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|060|00023|tig00000072|99001	3000	Saccharomyces cerevisiae	Eukaryote	60	00023|tig00000072	99001	102000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|061|00023|tig00000072|261001	3000	Saccharomyces cerevisiae	Eukaryote	61	00023|tig00000072	261001	264000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|062|00023|tig00000072|423001	3000	Saccharomyces cerevisiae	Eukaryote	62	00023|tig00000072	423001	426000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|063|00025|tig00000078|24001	3000	Saccharomyces cerevisiae	Eukaryote	63	00025|tig00000078	24001	27000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|064|00031|tig00000094|12001	3000	Saccharomyces cerevisiae	Eukaryote	64	00031|tig00000094	12001	15000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|065|00033|tig00000104|9001	3000	Saccharomyces cerevisiae	Eukaryote	65	00033|tig00000104	9001	12000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|066|00033|tig00000104|168001	3000	Saccharomyces cerevisiae	Eukaryote	66	00033|tig00000104	168001	171000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|067|00035|tig00000109|75001	3000	Saccharomyces cerevisiae	Eukaryote	67	00035|tig00000109	75001	78000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|068|00038|tig00000125|60001	3000	Saccharomyces cerevisiae	Eukaryote	68	00038|tig00000125	60001	63000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|069|00039|tig00000128|132001	3000	Saccharomyces cerevisiae	Eukaryote	69	00039|tig00000128	132001	135000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|070|00041|tig00000134|15001	3000	Saccharomyces cerevisiae	Eukaryote	70	00041|tig00000134	15001	18000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|071|00043|tig00000139|54001	3000	Saccharomyces cerevisiae	Eukaryote	71	00043|tig00000139	54001	57000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|072|00044|tig00000140|48001	3000	Saccharomyces cerevisiae	Eukaryote	72	00044|tig00000140	48001	51000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|073|00045|tig00000161|27001	3000	Saccharomyces cerevisiae	Eukaryote	73	00045|tig00000161	27001	30000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|074|00049|tig00000306|30001	3000	Saccharomyces cerevisiae	Eukaryote	74	00049|tig00000306	30001	33000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|075|00049|tig00000306|192001	3000	Saccharomyces cerevisiae	Eukaryote	75	00049|tig00000306	192001	195000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|076|00049|tig00000306|354001	3000	Saccharomyces cerevisiae	Eukaryote	76	00049|tig00000306	354001	357000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|077|00051|tig00000308|108001	3000	Saccharomyces cerevisiae	Eukaryote	77	00051|tig00000308	108001	111000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|078|00051|tig00000308|270001	3000	Saccharomyces cerevisiae	Eukaryote	78	00051|tig00000308	270001	273000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|079|00051|tig00000308|432001	3000	Saccharomyces cerevisiae	Eukaryote	79	00051|tig00000308	432001	435000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Saccharomyces_cerevisiae|Eukaryote|080|00051|tig00000308|594001	3000	Saccharomyces cerevisiae	Eukaryote	80	00051|tig00000308	594001	597000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|001|00001|Salmonella_enterica_plasmid1|1	3000	Salmonella enterica	Prokaryote	1	00001|Salmonella_enterica_plasmid1	1	3000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|002|00002|Salmonella_enterica_chromosome|12001	3000	Salmonella enterica	Prokaryote	2	00002|Salmonella_enterica_chromosome	12001	15000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|003|00002|Salmonella_enterica_chromosome|72001	3000	Salmonella enterica	Prokaryote	3	00002|Salmonella_enterica_chromosome	72001	75000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|004|00002|Salmonella_enterica_chromosome|132001	3000	Salmonella enterica	Prokaryote	4	00002|Salmonella_enterica_chromosome	132001	135000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|005|00002|Salmonella_enterica_chromosome|195001	3000	Salmonella enterica	Prokaryote	5	00002|Salmonella_enterica_chromosome	195001	198000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|006|00002|Salmonella_enterica_chromosome|255001	3000	Salmonella enterica	Prokaryote	6	00002|Salmonella_enterica_chromosome	255001	258000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|007|00002|Salmonella_enterica_chromosome|315001	3000	Salmonella enterica	Prokaryote	7	00002|Salmonella_enterica_chromosome	315001	318000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|008|00002|Salmonella_enterica_chromosome|375001	3000	Salmonella enterica	Prokaryote	8	00002|Salmonella_enterica_chromosome	375001	378000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|009|00002|Salmonella_enterica_chromosome|438001	3000	Salmonella enterica	Prokaryote	9	00002|Salmonella_enterica_chromosome	438001	441000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|010|00002|Salmonella_enterica_chromosome|498001	3000	Salmonella enterica	Prokaryote	10	00002|Salmonella_enterica_chromosome	498001	501000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|011|00002|Salmonella_enterica_chromosome|558001	3000	Salmonella enterica	Prokaryote	11	00002|Salmonella_enterica_chromosome	558001	561000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|012|00002|Salmonella_enterica_chromosome|618001	3000	Salmonella enterica	Prokaryote	12	00002|Salmonella_enterica_chromosome	618001	621000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|013|00002|Salmonella_enterica_chromosome|681001	3000	Salmonella enterica	Prokaryote	13	00002|Salmonella_enterica_chromosome	681001	684000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|014|00002|Salmonella_enterica_chromosome|741001	3000	Salmonella enterica	Prokaryote	14	00002|Salmonella_enterica_chromosome	741001	744000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|015|00002|Salmonella_enterica_chromosome|801001	3000	Salmonella enterica	Prokaryote	15	00002|Salmonella_enterica_chromosome	801001	804000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|016|00002|Salmonella_enterica_chromosome|861001	3000	Salmonella enterica	Prokaryote	16	00002|Salmonella_enterica_chromosome	861001	864000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|017|00002|Salmonella_enterica_chromosome|924001	3000	Salmonella enterica	Prokaryote	17	00002|Salmonella_enterica_chromosome	924001	927000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|018|00002|Salmonella_enterica_chromosome|984001	3000	Salmonella enterica	Prokaryote	18	00002|Salmonella_enterica_chromosome	984001	987000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|019|00002|Salmonella_enterica_chromosome|1044001	3000	Salmonella enterica	Prokaryote	19	00002|Salmonella_enterica_chromosome	1044001	1047000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|020|00002|Salmonella_enterica_chromosome|1107001	3000	Salmonella enterica	Prokaryote	20	00002|Salmonella_enterica_chromosome	1107001	1110000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|021|00002|Salmonella_enterica_chromosome|1167001	3000	Salmonella enterica	Prokaryote	21	00002|Salmonella_enterica_chromosome	1167001	1170000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|022|00002|Salmonella_enterica_chromosome|1227001	3000	Salmonella enterica	Prokaryote	22	00002|Salmonella_enterica_chromosome	1227001	1230000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|023|00002|Salmonella_enterica_chromosome|1287001	3000	Salmonella enterica	Prokaryote	23	00002|Salmonella_enterica_chromosome	1287001	1290000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|024|00002|Salmonella_enterica_chromosome|1350001	3000	Salmonella enterica	Prokaryote	24	00002|Salmonella_enterica_chromosome	1350001	1353000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|025|00002|Salmonella_enterica_chromosome|1410001	3000	Salmonella enterica	Prokaryote	25	00002|Salmonella_enterica_chromosome	1410001	1413000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|026|00002|Salmonella_enterica_chromosome|1470001	3000	Salmonella enterica	Prokaryote	26	00002|Salmonella_enterica_chromosome	1470001	1473000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|027|00002|Salmonella_enterica_chromosome|1530001	3000	Salmonella enterica	Prokaryote	27	00002|Salmonella_enterica_chromosome	1530001	1533000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|028|00002|Salmonella_enterica_chromosome|1593001	3000	Salmonella enterica	Prokaryote	28	00002|Salmonella_enterica_chromosome	1593001	1596000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|029|00002|Salmonella_enterica_chromosome|1653001	3000	Salmonella enterica	Prokaryote	29	00002|Salmonella_enterica_chromosome	1653001	1656000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|030|00002|Salmonella_enterica_chromosome|1713001	3000	Salmonella enterica	Prokaryote	30	00002|Salmonella_enterica_chromosome	1713001	1716000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|031|00002|Salmonella_enterica_chromosome|1773001	3000	Salmonella enterica	Prokaryote	31	00002|Salmonella_enterica_chromosome	1773001	1776000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|032|00002|Salmonella_enterica_chromosome|1836001	3000	Salmonella enterica	Prokaryote	32	00002|Salmonella_enterica_chromosome	1836001	1839000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|033|00002|Salmonella_enterica_chromosome|1896001	3000	Salmonella enterica	Prokaryote	33	00002|Salmonella_enterica_chromosome	1896001	1899000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|034|00002|Salmonella_enterica_chromosome|1956001	3000	Salmonella enterica	Prokaryote	34	00002|Salmonella_enterica_chromosome	1956001	1959000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|035|00002|Salmonella_enterica_chromosome|2019001	3000	Salmonella enterica	Prokaryote	35	00002|Salmonella_enterica_chromosome	2019001	2022000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|036|00002|Salmonella_enterica_chromosome|2079001	3000	Salmonella enterica	Prokaryote	36	00002|Salmonella_enterica_chromosome	2079001	2082000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|037|00002|Salmonella_enterica_chromosome|2139001	3000	Salmonella enterica	Prokaryote	37	00002|Salmonella_enterica_chromosome	2139001	2142000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|038|00002|Salmonella_enterica_chromosome|2199001	3000	Salmonella enterica	Prokaryote	38	00002|Salmonella_enterica_chromosome	2199001	2202000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|039|00002|Salmonella_enterica_chromosome|2262001	3000	Salmonella enterica	Prokaryote	39	00002|Salmonella_enterica_chromosome	2262001	2265000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|040|00002|Salmonella_enterica_chromosome|2322001	3000	Salmonella enterica	Prokaryote	40	00002|Salmonella_enterica_chromosome	2322001	2325000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|041|00002|Salmonella_enterica_chromosome|2382001	3000	Salmonella enterica	Prokaryote	41	00002|Salmonella_enterica_chromosome	2382001	2385000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|042|00002|Salmonella_enterica_chromosome|2442001	3000	Salmonella enterica	Prokaryote	42	00002|Salmonella_enterica_chromosome	2442001	2445000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|043|00002|Salmonella_enterica_chromosome|2505001	3000	Salmonella enterica	Prokaryote	43	00002|Salmonella_enterica_chromosome	2505001	2508000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|044|00002|Salmonella_enterica_chromosome|2565001	3000	Salmonella enterica	Prokaryote	44	00002|Salmonella_enterica_chromosome	2565001	2568000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|045|00002|Salmonella_enterica_chromosome|2625001	3000	Salmonella enterica	Prokaryote	45	00002|Salmonella_enterica_chromosome	2625001	2628000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|046|00002|Salmonella_enterica_chromosome|2685001	3000	Salmonella enterica	Prokaryote	46	00002|Salmonella_enterica_chromosome	2685001	2688000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|047|00002|Salmonella_enterica_chromosome|2748001	3000	Salmonella enterica	Prokaryote	47	00002|Salmonella_enterica_chromosome	2748001	2751000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|048|00002|Salmonella_enterica_chromosome|2808001	3000	Salmonella enterica	Prokaryote	48	00002|Salmonella_enterica_chromosome	2808001	2811000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|049|00002|Salmonella_enterica_chromosome|2868001	3000	Salmonella enterica	Prokaryote	49	00002|Salmonella_enterica_chromosome	2868001	2871000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|050|00002|Salmonella_enterica_chromosome|2931001	3000	Salmonella enterica	Prokaryote	50	00002|Salmonella_enterica_chromosome	2931001	2934000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|051|00002|Salmonella_enterica_chromosome|2991001	3000	Salmonella enterica	Prokaryote	51	00002|Salmonella_enterica_chromosome	2991001	2994000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|052|00002|Salmonella_enterica_chromosome|3051001	3000	Salmonella enterica	Prokaryote	52	00002|Salmonella_enterica_chromosome	3051001	3054000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|053|00002|Salmonella_enterica_chromosome|3111001	3000	Salmonella enterica	Prokaryote	53	00002|Salmonella_enterica_chromosome	3111001	3114000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|054|00002|Salmonella_enterica_chromosome|3174001	3000	Salmonella enterica	Prokaryote	54	00002|Salmonella_enterica_chromosome	3174001	3177000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|055|00002|Salmonella_enterica_chromosome|3234001	3000	Salmonella enterica	Prokaryote	55	00002|Salmonella_enterica_chromosome	3234001	3237000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|056|00002|Salmonella_enterica_chromosome|3294001	3000	Salmonella enterica	Prokaryote	56	00002|Salmonella_enterica_chromosome	3294001	3297000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|057|00002|Salmonella_enterica_chromosome|3354001	3000	Salmonella enterica	Prokaryote	57	00002|Salmonella_enterica_chromosome	3354001	3357000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|058|00002|Salmonella_enterica_chromosome|3417001	3000	Salmonella enterica	Prokaryote	58	00002|Salmonella_enterica_chromosome	3417001	3420000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|059|00002|Salmonella_enterica_chromosome|3477001	3000	Salmonella enterica	Prokaryote	59	00002|Salmonella_enterica_chromosome	3477001	3480000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|060|00002|Salmonella_enterica_chromosome|3537001	3000	Salmonella enterica	Prokaryote	60	00002|Salmonella_enterica_chromosome	3537001	3540000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|061|00002|Salmonella_enterica_chromosome|3597001	3000	Salmonella enterica	Prokaryote	61	00002|Salmonella_enterica_chromosome	3597001	3600000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|062|00002|Salmonella_enterica_chromosome|3660001	3000	Salmonella enterica	Prokaryote	62	00002|Salmonella_enterica_chromosome	3660001	3663000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|063|00002|Salmonella_enterica_chromosome|3720001	3000	Salmonella enterica	Prokaryote	63	00002|Salmonella_enterica_chromosome	3720001	3723000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|064|00002|Salmonella_enterica_chromosome|3780001	3000	Salmonella enterica	Prokaryote	64	00002|Salmonella_enterica_chromosome	3780001	3783000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|065|00002|Salmonella_enterica_chromosome|3843001	3000	Salmonella enterica	Prokaryote	65	00002|Salmonella_enterica_chromosome	3843001	3846000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|066|00002|Salmonella_enterica_chromosome|3903001	3000	Salmonella enterica	Prokaryote	66	00002|Salmonella_enterica_chromosome	3903001	3906000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|067|00002|Salmonella_enterica_chromosome|3963001	3000	Salmonella enterica	Prokaryote	67	00002|Salmonella_enterica_chromosome	3963001	3966000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|068|00002|Salmonella_enterica_chromosome|4023001	3000	Salmonella enterica	Prokaryote	68	00002|Salmonella_enterica_chromosome	4023001	4026000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|069|00002|Salmonella_enterica_chromosome|4086001	3000	Salmonella enterica	Prokaryote	69	00002|Salmonella_enterica_chromosome	4086001	4089000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|070|00002|Salmonella_enterica_chromosome|4146001	3000	Salmonella enterica	Prokaryote	70	00002|Salmonella_enterica_chromosome	4146001	4149000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|071|00002|Salmonella_enterica_chromosome|4206001	3000	Salmonella enterica	Prokaryote	71	00002|Salmonella_enterica_chromosome	4206001	4209000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|072|00002|Salmonella_enterica_chromosome|4266001	3000	Salmonella enterica	Prokaryote	72	00002|Salmonella_enterica_chromosome	4266001	4269000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|073|00002|Salmonella_enterica_chromosome|4329001	3000	Salmonella enterica	Prokaryote	73	00002|Salmonella_enterica_chromosome	4329001	4332000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|074|00002|Salmonella_enterica_chromosome|4389001	3000	Salmonella enterica	Prokaryote	74	00002|Salmonella_enterica_chromosome	4389001	4392000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|075|00002|Salmonella_enterica_chromosome|4449001	3000	Salmonella enterica	Prokaryote	75	00002|Salmonella_enterica_chromosome	4449001	4452000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|076|00002|Salmonella_enterica_chromosome|4509001	3000	Salmonella enterica	Prokaryote	76	00002|Salmonella_enterica_chromosome	4509001	4512000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|077|00002|Salmonella_enterica_chromosome|4572001	3000	Salmonella enterica	Prokaryote	77	00002|Salmonella_enterica_chromosome	4572001	4575000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|078|00002|Salmonella_enterica_chromosome|4632001	3000	Salmonella enterica	Prokaryote	78	00002|Salmonella_enterica_chromosome	4632001	4635000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|079|00002|Salmonella_enterica_chromosome|4692001	3000	Salmonella enterica	Prokaryote	79	00002|Salmonella_enterica_chromosome	4692001	4695000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Salmonella_enterica|Prokaryote|080|00002|Salmonella_enterica_chromosome|4755001	3000	Salmonella enterica	Prokaryote	80	00002|Salmonella_enterica_chromosome	4755001	4758000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Staphylococcus_aureus|Prokaryote|001|00001|Staphylococcus_aureus_chromosome|1	3000	Staphylococcus aureus	Prokaryote	1	00001|Staphylococcus_aureus_chromosome	1	3000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Staphylococcus_aureus|Prokaryote|002|00001|Staphylococcus_aureus_chromosome|33001	3000	Staphylococcus aureus	Prokaryote	2	00001|Staphylococcus_aureus_chromosome	33001	36000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Staphylococcus_aureus|Prokaryote|003|00001|Staphylococcus_aureus_chromosome|66001	3000	Staphylococcus aureus	Prokaryote	3	00001|Staphylococcus_aureus_chromosome	66001	69000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Staphylococcus_aureus|Prokaryote|004|00001|Staphylococcus_aureus_chromosome|102001	3000	Staphylococcus aureus	Prokaryote	4	00001|Staphylococcus_aureus_chromosome	102001	105000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Staphylococcus_aureus|Prokaryote|005|00001|Staphylococcus_aureus_chromosome|135001	3000	Staphylococcus aureus	Prokaryote	5	00001|Staphylococcus_aureus_chromosome	135001	138000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Staphylococcus_aureus|Prokaryote|006|00001|Staphylococcus_aureus_chromosome|171001	3000	Staphylococcus aureus	Prokaryote	6	00001|Staphylococcus_aureus_chromosome	171001	174000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Staphylococcus_aureus|Prokaryote|007|00001|Staphylococcus_aureus_chromosome|204001	3000	Staphylococcus aureus	Prokaryote	7	00001|Staphylococcus_aureus_chromosome	204001	207000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Staphylococcus_aureus|Prokaryote|008|00001|Staphylococcus_aureus_chromosome|240001	3000	Staphylococcus aureus	Prokaryote	8	00001|Staphylococcus_aureus_chromosome	240001	243000	80 evenly spaced non-overlapping exact-length fragments per species
