AnalysisAccession	PipelineVersion	ExperimentType	StudyAccession	RunAccession	SampleAccession	SampleTitle	NucleicAcid	AssemblyAccession
MGYA00005160	V2	Metagenomic	MGYS00000410	ERR599027	SAMEA2621423	TARA_20101206T1858Z_082_EVENT_PUMP_P_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000767	RNA	
MGYA00005161	V2	Metagenomic	MGYS00000410	ERR164408	SAMEA2591098	TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081	DNA	
MGYA00005162	V2	Metagenomic	MGYS00000410	ERR599025	SAMEA2620828	TARA_20100708T0621Z_064_EVENT_PUMP_P_D_(65 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000405	DNA	
MGYA00005163	V2	Metagenomic	MGYS00000410	ERR599024	SAMEA2622074	TARA_20110409T1356Z_099_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000886	DNA	
MGYA00005164	V2	Metagenomic	MGYS00000410	ERR599140	SAMEA2619667	TARA_20091102T0813Z_018_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100000164	DNA	
MGYA00005165	V2	Metagenomic	MGYS00000410	ERR599141	SAMEA2620230	TARA_20100404T0247Z_042_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000123	DNA	
MGYA00005166	V2	Metagenomic	MGYS00000410	ERR164407	SAMEA2591108	TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015	DNA	
MGYA00005167	V2	Metagenomic	MGYS00000410	ERR599028	SAMEA2619952	TARA_20100312T1223Z_036_EVENT_PUMP_P_D_(17 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000035	DNA	
MGYA00005168	V2	Metagenomic	MGYS00000410	ERR599144	SAMEA2620970	TARA_20100907T0619Z_067_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000497	DNA	
MGYA00005169	V2	Metagenomic	MGYS00000410	ERR599145	SAMEA2620081	TARA_20100318T1133Z_039_EVENT_PUMP_P_D_(25 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000085	DNA	
MGYA00005170	V2	Metagenomic	MGYS00000410	ERR599146	SAMEA2620855	TARA_20100712T0559Z_065_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000437	DNA	
MGYA00005171	V2	Metagenomic	MGYS00000410	ERR599147	SAMEA2623295	TARA_20111202T2042Z_137_EVENT_PUMP_MB_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001964	RNA	
MGYA00005172	V2	Metagenomic	MGYS00000410	ERR598956	SAMEA2622733	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000686	RNA	
MGYA00005173	V2	Metagenomic	MGYS00000410	ERR599105	SAMEA2621132	TARA_20101005T0800Z_072_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000424	DNA	
MGYA00005174	V2	Metagenomic	MGYS00000410	ERR598947	SAMEA2620995	TARA_20100913T1303Z_068_Combined-EVENTS_CAST_MB_M_(700 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000470	DNA	
MGYA00005175	V2	Metagenomic	MGYS00000410	ERR599090	SAMEA2621509	TARA_20110106T1038Z_085_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000787	RNA	
MGYA00005176	V2	Metagenomic	MGYS00000410	ERR599034	SAMEA2620882	TARA_20100712T0650Z_065_Combined-EVENTS_CAST_MB_M_(850 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000460	DNA	
MGYA00005177	V2	Metagenomic	MGYS00000410	ERR599035	SAMEA2621401	TARA_20101206T1033Z_082_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000768	RNA	
MGYA00005178	V2	Metagenomic	MGYS00000410	ERR599036	SAMEA2622759	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000674	RNA	
MGYA00005179	V2	Metagenomic	MGYS00000410	ERR599037	SAMEA2620097	TARA_20100320T0817Z_039_Combined-EVENTS_CAST_MB_M_(270 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000097	DNA	
MGYA00005180	V2	Metagenomic	MGYS00000410	ERR599139	SAMEA2620542	TARA_20100517T0410Z_052_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000212	RNA	
MGYA00005181	V2	Metagenomic	MGYS00000410	ERR599138	SAMEA2620404	TARA_20100419T0756Z_048_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000242	DNA	
MGYA00005182	V2	Metagenomic	MGYS00000410	ERR598989	SAMEA2623275	TARA_20111202T1412Z_137_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001287	RNA	
MGYA00005183	V2	Metagenomic	MGYS00000410	ERR598988	SAMEA2622796	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MB_X_(120 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000676	RNA	
MGYA00005184	V2	Metagenomic	MGYS00000410	ERR598987	SAMEA2623295	TARA_20111202T2042Z_137_EVENT_PUMP_MB_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001964	RNA	
MGYA00005185	V2	Metagenomic	MGYS00000410	ERR598986	SAMEA2623868	TARA_20120309T1745Z_151_Combined-EVENTS_CAST_MB_D_(80 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001559	DNA	
MGYA00005186	V2	Metagenomic	MGYS00000410	ERR599137	SAMEA2621155	TARA_20101005T1535Z_072_EVENT_PUMP_P_D_(100 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000427	DNA	
MGYA00005187	V2	Metagenomic	MGYS00000410	ERR599136	SAMEA2623463	TARA_20120109T1341Z_142_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002051	DNA	
MGYA00005188	V2	Metagenomic	MGYS00000410	ERR599038	SAMEA2622901	TARA_20110904T1800Z_128_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000609	DNA	
MGYA00005189	V2	Metagenomic	MGYS00000410	ERR598982	SAMEA2620950	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_MB_D_(30 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000477	DNA	
MGYA00005190	V2	Metagenomic	MGYS00000410	ERR599133	SAMEA2621155	TARA_20101005T1535Z_072_EVENT_PUMP_P_D_(100 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000427	DNA	
MGYA00005191	V2	Metagenomic	MGYS00000410	ERR598980	SAMEA2623098	TARA_20111005T2047Z_132_Combined-EVENTS_CAST_MB_M_(550 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001245	DNA	
MGYA00005192	V2	Metagenomic	MGYS00000410	ERR315858	SAMEA2591084	TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000075	DNA	
MGYA00005193	V2	Metagenomic	MGYS00000410	ERR315859	SAMEA2591098	TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081	DNA	
MGYA00005194	V2	Metagenomic	MGYS00000410	ERR599091	SAMEA2622817	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001121	RNA	
MGYA00005195	V2	Metagenomic	MGYS00000410	ERR599039	SAMEA2622376	TARA_20110521T1227Z_110_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001109	DNA	
MGYA00005196	V2	Metagenomic	MGYS00000410	ERR318619	SAMEA2591122	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011	DNA	
MGYA00005197	V2	Metagenomic	MGYS00000410	ERR318618	SAMEA2591122	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011	DNA	
MGYA00005198	V2	Metagenomic	MGYS00000410	ERR598983	SAMEA2623627	TARA_20120202T1152Z_145_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001142	DNA	
MGYA00005199	V2	Metagenomic	MGYS00000410	ERR598990	SAMEA2620890	TARA_20100712T1106Z_065_Combined-EVENTS_CAST_MB_D_(30 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000441	DNA	
MGYA00005200	V2	Metagenomic	MGYS00000410	ERR598991	SAMEA2619879	TARA_20100120T0427Z_034_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000003	DNA	
MGYA00005201	V2	Metagenomic	MGYS00000410	ERR598992	SAMEA2622652	TARA_20110726T1710Z_122_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001115	RNA	
MGYA00005202	V2	Metagenomic	MGYS00000410	ERR598993	SAMEA2619667	TARA_20091102T0813Z_018_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100000164	DNA	
MGYA00005203	V2	Metagenomic	MGYS00000410	ERR598994	SAMEA2620970	TARA_20100907T0619Z_067_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000497	DNA	
MGYA00005204	V2	Metagenomic	MGYS00000410	ERR598995	SAMEA2623079	TARA_20111005T0101Z_132_Combined-EVENTS_CAST_MB_D_(115 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001250	DNA	
MGYA00005205	V2	Metagenomic	MGYS00000410	ERR599128	SAMEA2622197	TARA_20110422T1210Z_102_Combined-EVENTS_CAST_MB_M_(480 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000953	RNA	
MGYA00005206	V2	Metagenomic	MGYS00000410	ERR599129	SAMEA2621013	TARA_20100914T0655Z_068_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000475	DNA	
MGYA00005207	V2	Metagenomic	MGYS00000410	ERR599126	SAMEA2621198	TARA_20101016T0955Z_076_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000513	RNA	
MGYA00005208	V2	Metagenomic	MGYS00000410	ERR598999	SAMEA2622673	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MB_M_(600 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000678	RNA	
MGYA00005209	V2	Metagenomic	MGYS00000410	ERR599124	SAMEA2621287	TARA_20101105T1235Z_078_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000745	DNA	
MGYA00005210	V2	Metagenomic	MGYS00000410	ERR599125	SAMEA2621551	TARA_20110107T1041Z_085_Combined-EVENTS_CAST_MB_M_(790 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000809	DNA	
MGYA00005211	V2	Metagenomic	MGYS00000410	ERR599122	SAMEA2621423	TARA_20101206T1858Z_082_EVENT_PUMP_P_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000767	RNA	
MGYA00005212	V2	Metagenomic	MGYS00000410	ERR599123	SAMEA2623734	TARA_20120224T1140Z_148_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001741	RNA	
MGYA00005213	V2	Metagenomic	MGYS00000410	ERR599120	SAMEA2621990	TARA_20110403T1344Z_098_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001027	DNA	
MGYA00005214	V2	Metagenomic	MGYS00000410	ERR599121	SAMEA2621536	TARA_20110106T1936Z_085_Combined-EVENTS_CAST_MB_D_(90 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000795	RNA	
MGYA00005215	V2	Metagenomic	MGYS00000410	ERR599041	SAMEA2619818	TARA_20100111T0721Z_032_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001035	DNA	
MGYA00005216	V2	Metagenomic	MGYS00000410	ERR599040	SAMEA2621216	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_MB_D_(150 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000519	DNA	
MGYA00005217	V2	Metagenomic	MGYS00000410	ERR599043	SAMEA2619766	TARA_20091123T0912Z_025_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000178	DNA	
MGYA00005218	V2	Metagenomic	MGYS00000410	ERR599042	SAMEA2622021	TARA_20110403T2150Z_098_Combined-EVENTS_CAST_MB_D_(188 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001029	DNA	
MGYA00005219	V2	Metagenomic	MGYS00000410	ERR599045	SAMEA2620339	TARA_20100413T0321Z_045_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000161	DNA	
MGYA00005220	V2	Metagenomic	MGYS00000410	ERR599044	SAMEA2621092	TARA_20100922T0637Z_070_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000446	DNA	
MGYA00005221	V2	Metagenomic	MGYS00000410	ERR599047	SAMEA2623693	TARA_20120216T1208Z_146_Combined-EVENTS_CAST_MB_M_(640 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001167	DNA	
MGYA00005222	V2	Metagenomic	MGYS00000410	ERR599046	SAMEA2621272	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_MB_D_(120 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000530	DNA	
MGYA00005223	V2	Metagenomic	MGYS00000410	ERR599049	SAMEA2619857	TARA_20100113T0716Z_033_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001234	DNA	
MGYA00005224	V2	Metagenomic	MGYS00000410	ERR599048	SAMEA2621176	TARA_20101006T0759Z_072_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000508	DNA	
MGYA00005225	V2	Metagenomic	MGYS00000410	ERR599127	SAMEA2623314	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MB_M_(375 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001971	RNA	
MGYA00005226	V2	Metagenomic	MGYS00000410	ERR599083	SAMEA2622673	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MB_M_(600 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000678	RNA	
MGYA00005227	V2	Metagenomic	MGYS00000410	ERR598957	SAMEA2622545	TARA_20110615T0059Z_112_Combined-EVENTS_CAST_MB_D_(155 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000945	DNA	
MGYA00005228	V2	Metagenomic	MGYS00000410	ERR598981	SAMEA2622149	TARA_20110416T1306Z_100_Combined-EVENTS_CAST_MB_M_(177 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000959	RNA	
MGYA00005229	V2	Metagenomic	MGYS00000410	ERR599057	SAMEA2620651	TARA_20100626T0705Z_056_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000609	DNA	
MGYA00005230	V2	Metagenomic	MGYS00000410	ERR599113	SAMEA2622119	TARA_20110415T1938Z_100_EVENT_PUMP_P_D_(50 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000965	RNA	
MGYA00005231	V2	Metagenomic	MGYS00000410	ERR599112	SAMEA2620666	TARA_20100626T0713Z_056_EVENT_CAST_B5_M_(1000 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000378	DNA	
MGYA00005232	V2	Metagenomic	MGYS00000410	ERR599111	SAMEA2619907	TARA_20100120T1150Z_034_EVENT_PUMP_P_D_(60 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000029	DNA	
MGYA00005233	V2	Metagenomic	MGYS00000410	ERR599110	SAMEA2620890	TARA_20100712T1106Z_065_Combined-EVENTS_CAST_MB_D_(30 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000441	DNA	
MGYA00005234	V2	Metagenomic	MGYS00000410	ERR599117	SAMEA2622733	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000686	RNA	
MGYA00005235	V2	Metagenomic	MGYS00000410	ERR599116	SAMEA2619818	TARA_20100111T0721Z_032_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001035	DNA	
MGYA00005236	V2	Metagenomic	MGYS00000410	ERR599115	SAMEA2623155	TARA_20111019T1928Z_133_Combined-EVENTS_CAST_MB_M_(650 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001105	DNA	
MGYA00005237	V2	Metagenomic	MGYS00000410	ERR599114	SAMEA2622817	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001121	RNA	
MGYA00005238	V2	Metagenomic	MGYS00000410	ERR599119	SAMEA2622817	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001121	RNA	
MGYA00005239	V2	Metagenomic	MGYS00000410	ERR599118	SAMEA2622316	TARA_20110512T1400Z_109_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000925	RNA	
MGYA00005240	V2	Metagenomic	MGYS00000410	ERR599052	SAMEA2623116	TARA_20111018T1535Z_133_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001093	DNA	
MGYA00005241	V2	Metagenomic	MGYS00000410	ERR599053	SAMEA2620217	TARA_20100330T1056Z_041_EVENT_PUMP_P_D_(60 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000287	RNA	
MGYA00005242	V2	Metagenomic	MGYS00000410	ERR599050	SAMEA2621839	TARA_20110318T1157Z_094_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001057	DNA	
MGYA00005243	V2	Metagenomic	MGYS00000410	ERR599051	SAMEA2623390	TARA_20111211T2040Z_138_Combined-EVENTS_CAST_MB_M_(450 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100002003	RNA	
MGYA00005244	V2	Metagenomic	MGYS00000410	ERR599056	SAMEA2621037	TARA_20100914T1330Z_068_EVENT_PUMP_P_D_(50 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000482	DNA	
MGYA00005245	V2	Metagenomic	MGYS00000410	ERR598955	SAMEA2619376	TARA_20090915T1130Z_004_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_X000000263	DNA	
MGYA00005246	V2	Metagenomic	MGYS00000410	ERR599054	SAMEA2620339	TARA_20100413T0321Z_045_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000161	DNA	
MGYA00005247	V2	Metagenomic	MGYS00000410	ERR599055	SAMEA2622197	TARA_20110422T1210Z_102_Combined-EVENTS_CAST_MB_M_(480 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000953	RNA	
MGYA00005248	V2	Metagenomic	MGYS00000410	ERR599009	SAMEA2621401	TARA_20101206T1033Z_082_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000768	RNA	
MGYA00005249	V2	Metagenomic	MGYS00000410	ERR599058	SAMEA2620672	TARA_20100627T1205Z_057_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000565	DNA	
MGYA00005250	V2	Metagenomic	MGYS00000410	ERR599059	SAMEA2621487	TARA_20110103T1105Z_084_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000780	RNA	
MGYA00005251	V2	Metagenomic	MGYS00000410	ERR598975	SAMEA2619907	TARA_20100120T1150Z_034_EVENT_PUMP_P_D_(60 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000029	DNA	
MGYA00005252	V2	Metagenomic	MGYS00000410	ERR598996	SAMEA2623826	TARA_20120305T1734Z_150_EVENT_PUMP_P_D_(40 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001778	DNA	
MGYA00005253	V2	Metagenomic	MGYS00000410	ERR598997	SAMEA2622316	TARA_20110512T1400Z_109_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000925	RNA	
MGYA00005254	V2	Metagenomic	MGYS00000410	ERR598998	SAMEA2622733	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000686	RNA	
MGYA00005255	V2	Metagenomic	MGYS00000410	ERR599004	SAMEA2623390	TARA_20111211T2040Z_138_Combined-EVENTS_CAST_MB_M_(450 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100002003	RNA	
MGYA00005256	V2	Metagenomic	MGYS00000410	ERR599158	SAMEA2620000	TARA_20100315T0335Z_038_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000066	RNA	
MGYA00005257	V2	Metagenomic	MGYS00000410	ERR599104	SAMEA2621536	TARA_20110106T1936Z_085_Combined-EVENTS_CAST_MB_D_(90 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000795	RNA	
MGYA00005258	V2	Metagenomic	MGYS00000410	ERR598954	SAMEA2622518	TARA_20110614T1645Z_112_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000941	DNA	
MGYA00005259	V2	Metagenomic	MGYS00000410	ERR599106	SAMEA2619802	TARA_20100109T0715Z_031_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001403	DNA	
MGYA00005260	V2	Metagenomic	MGYS00000410	ERR599107	SAMEA2620950	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_MB_D_(30 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000477	DNA	
MGYA00005261	V2	Metagenomic	MGYS00000410	ERR599100	SAMEA2623488	TARA_20120109T2019Z_142_Combined-EVENTS_CAST_MB_D_(125 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002052	DNA	
MGYA00005262	V2	Metagenomic	MGYS00000410	ERR599101	SAMEA2621272	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_MB_D_(120 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000530	DNA	
MGYA00005263	V2	Metagenomic	MGYS00000410	ERR599102	SAMEA2620000	TARA_20100315T0335Z_038_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000066	RNA	
MGYA00005264	V2	Metagenomic	MGYS00000410	ERR599103	SAMEA2621037	TARA_20100914T1330Z_068_EVENT_PUMP_P_D_(50 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000482	DNA	
MGYA00005265	V2	Metagenomic	MGYS00000410	ERR599108	SAMEA2622336	TARA_20110512T2215Z_109_EVENT_PUMP_P_D_(30 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000927	RNA	
MGYA00005266	V2	Metagenomic	MGYS00000410	ERR599109	SAMEA2620035	TARA_20100316T0614Z_038_Combined-EVENTS_CAST_MB_M_(340 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000071	RNA	
MGYA00005267	V2	Metagenomic	MGYS00000410	ERR599067	SAMEA2622362	TARA_20110513T1617Z_109_Combined-EVENTS_CAST_MB_M_(380 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000929	RNA	
MGYA00005268	V2	Metagenomic	MGYS00000410	ERR599066	SAMEA2622817	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001121	RNA	
MGYA00005269	V2	Metagenomic	MGYS00000410	ERR599065	SAMEA2622336	TARA_20110512T2215Z_109_EVENT_PUMP_P_D_(30 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000927	RNA	
MGYA00005270	V2	Metagenomic	MGYS00000410	ERR599064	SAMEA2621779	TARA_20110312T1134Z_093_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001063	DNA	
MGYA00005271	V2	Metagenomic	MGYS00000410	ERR599063	SAMEA2622097	TARA_20110415T1245Z_100_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000963	RNA	
MGYA00005272	V2	Metagenomic	MGYS00000410	ERR599062	SAMEA2619970	TARA_20100313T0507Z_037_Combined-EVENTS_CAST_MB_M_(600 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000315	RNA	
MGYA00005273	V2	Metagenomic	MGYS00000410	ERR599061	SAMEA2619840	TARA_20100111T1417Z_032_EVENT_PUMP_P_D_(80 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001037	DNA	
MGYA00005274	V2	Metagenomic	MGYS00000410	ERR599060	SAMEA2623390	TARA_20111211T2040Z_138_Combined-EVENTS_CAST_MB_M_(450 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100002003	RNA	
MGYA00005275	V2	Metagenomic	MGYS00000410	ERR318620	SAMEA2591122	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011	DNA	
MGYA00005276	V2	Metagenomic	MGYS00000410	ERR318621	SAMEA2591122	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011	DNA	
MGYA00005277	V2	Metagenomic	MGYS00000410	ERR599069	SAMEA2622759	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000674	RNA	
