SampleAccession	ENAAccessions	SampleTitle	Latitude	Longitude	DepthAnnotation	DepthM	SamplingSite	ProtocolLabel	NucleicAcid	SizeFractionMicrometre	CollectionDateStart	CollectionDateEnd	EnvironmentFeature	EnvironmentMaterial	BroadContext	LocalContext	Temperature	Salinity	Status	MetadataStudyAccessions	ValidCoordinates
SAMEA2621013	SAMEA2621013;ERS490265	TARA_20100914T0655Z_068_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000475	-31.0266	4.665	5	5	TARA_068	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-09-13	2010-09-14	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2621037	ERS490296;SAMEA2621037	TARA_20100914T1330Z_068_EVENT_PUMP_P_D_(50 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000482	-31.027	4.6802	50	50	TARA_068	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-09-13	2010-09-14	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2621066	ERS490327;SAMEA2621066	TARA_20100921T0655Z_070_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000459	-20.4091	-3.1759	5	5	TARA_070	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-09-20	2010-09-21	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2621092	SAMEA2621092;ERS490373	TARA_20100922T0637Z_070_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000446	-20.4075	-3.1641	800	800	TARA_070	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-09-20	2010-09-22	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2621132	ERS490433;SAMEA2621132	TARA_20101005T0800Z_072_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000424	-8.7789	-17.9099	5	5	TARA_072	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-10-04	2010-10-05	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2621155	SAMEA2621155;ERS490476	TARA_20101005T1535Z_072_EVENT_PUMP_P_D_(100 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000427	-8.7296	-17.9604	100	100	TARA_072	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-10-04	2010-10-05	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2621176	SAMEA2621176;ERS490507	TARA_20101006T0759Z_072_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000508	-8.7986	-17.9034	800	800	TARA_072	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-10-05	2010-10-06	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2621198	SAMEA2621198;ERS490542	TARA_20101016T0955Z_076_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000513	-20.9354	-35.1803	5	5	TARA_076	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2010-10-15	2010-10-16	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2621216	ERS490597;SAMEA2621216	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_MB_D_(150 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000519	-21.0292	-35.3498	150	150	TARA_076	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-10-15	2010-10-16	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2621232	SAMEA2621232;ERS490633	TARA_20101017T0905Z_076_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000749	-20.9315	-35.1794	800	800	TARA_076	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-10-16	2010-10-17	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2621254	SAMEA2621254;ERS490659	TARA_20101104T1004Z_078_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000524	-30.1367	-43.2899	5	5	TARA_078	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2010-11-04	2010-11-04	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2621272	SAMEA2621272;ERS490691	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_MB_D_(120 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000530	-30.1484	-43.2705	120	120	TARA_078	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-11-04	2010-11-04	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2621287	ERS490714;SAMEA2621287	TARA_20101105T1235Z_078_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000745	-30.1471	-43.2915	800	800	TARA_078	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-11-05	2010-11-05	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2621401	SAMEA2621401;ERS490885	TARA_20101206T1033Z_082_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000768	-47.1863	-58.2902	5	5	TARA_082	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2010-12-06	2010-12-06	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2621423	ERS490928;SAMEA2621423	TARA_20101206T1858Z_082_EVENT_PUMP_P_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000767	-47.2007	-57.9446	40	40	TARA_082	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2010-12-06	2010-12-06	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2621487	ERS491001;SAMEA2621487	TARA_20110103T1105Z_084_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000780	-60.2287	-60.6476	5	5	TARA_084	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-01-03	2011-01-03	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2621509	SAMEA2621509;ERS491044	TARA_20110106T1038Z_085_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000787	-62.0385	-49.529	5	5	TARA_085	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-01-06	2011-01-06	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2621536	SAMEA2621536;ERS491095	TARA_20110106T1936Z_085_Combined-EVENTS_CAST_MB_D_(90 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000795	-62.2231	-49.2139	90	90	TARA_085	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-01-06	2011-01-06	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2621551	ERS491110;SAMEA2621551	TARA_20110107T1041Z_085_Combined-EVENTS_CAST_MB_M_(790 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000809	-61.9689	-49.5017	790	790	TARA_085	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-01-07	2011-01-07	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2621779	ERS491421;SAMEA2621779	TARA_20110312T1134Z_093_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001063	-34.0614	-73.1066	5	5	TARA_093	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-03-12	2011-03-12	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2621812	ERS491463;SAMEA2621812	TARA_20110312T1937Z_093_Combined-EVENTS_CAST_MB_D_(35 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001059	-33.9116	-73.0537	35	35	TARA_093	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-03-12	2011-03-12	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB1787	True
SAMEA2621839	ERS491492;SAMEA2621839	TARA_20110318T1157Z_094_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001057	-32.7971	-87.0693	5	5	TARA_094	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-03-18	2011-03-18	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB1787	True
SAMEA2621859	SAMEA2621859;ERS491525	TARA_20110324T1300Z_096_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000989	-29.7238	-101.1604	5	5	TARA_096	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-03-24	2011-03-24	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2621990	SAMEA2621990;ERS491699	TARA_20110403T1344Z_098_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001027	-25.8051	-111.7202	5	5	TARA_098	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-04-02	2011-04-03	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2622021	SAMEA2622021;ERS491740	TARA_20110403T2150Z_098_Combined-EVENTS_CAST_MB_D_(188 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001029	-25.826	-111.7294	188	188	TARA_098	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-04-02	2011-04-04	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2622048	SAMEA2622048;ERS491767	TARA_20110404T1359Z_098_Combined-EVENTS_CAST_MB_M_(488 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001013	-25.8076	-111.6906	488	488	TARA_098	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-04-03	2011-04-04	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2622074	ERS491804;SAMEA2622074	TARA_20110409T1356Z_099_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000886	-21.146	-104.787	5	5	TARA_099	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-04-08	2011-04-09	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2622097	SAMEA2622097;ERS491836	TARA_20110415T1245Z_100_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000963	-13.0023	-95.9759	5	5	TARA_100	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-04-14	2011-04-15	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2622119	ERS491874;SAMEA2622119	TARA_20110415T1938Z_100_EVENT_PUMP_P_D_(50 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000965	-12.9723	-96.0122	50	50	TARA_100	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-04-14	2011-04-15	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2622149	SAMEA2622149;ERS491913	TARA_20110416T1306Z_100_Combined-EVENTS_CAST_MB_M_(177 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000959	-12.9794	-96.0232	177	177	TARA_100	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-04-15	2011-04-16	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)			public	PRJEB7988;PRJEB6608	True
SAMEA2622173	SAMEA2622173;ERS491938	TARA_20110421T2007Z_102_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000900	-5.2529	-85.1545	5	5	TARA_102	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-04-20	2011-04-21	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2622197	SAMEA2622197;ERS491980	TARA_20110422T1210Z_102_Combined-EVENTS_CAST_MB_M_(480 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000953	-5.261	-85.1678	480	480	TARA_102	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-04-21	2011-04-22	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)			public	PRJEB7988;PRJEB6608	True
SAMEA2622219	SAMEA2622219;ERS492012	TARA_20110422T2113Z_102_EVENT_PUMP_P_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000902	-5.2669	-85.2732	40	40	TARA_102	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-04-21	2011-04-22	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2622316	SAMEA2622316;ERS492145	TARA_20110512T1400Z_109_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000925	1.9928	-84.5766	5	5	TARA_109	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-05-11	2011-05-12	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2622336	ERS492177;SAMEA2622336	TARA_20110512T2215Z_109_EVENT_PUMP_P_D_(30 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000927	2.0299	-84.5546	30	30	TARA_109	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-05-11	2011-05-12	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2622362	SAMEA2622362;ERS492205	TARA_20110513T1617Z_109_Combined-EVENTS_CAST_MB_M_(380 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000929	2.0649	-84.5546	380	380	TARA_109	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-05-12	2011-05-13	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6608	True
SAMEA2622376	ERS492228;SAMEA2622376	TARA_20110521T1227Z_110_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001109	-2.0133	-84.589	5	5	TARA_110	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-05-20	2011-05-21	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB1787	True
SAMEA2622402	ERS492264;SAMEA2622402	TARA_20110521T2100Z_110_EVENT_PUMP_P_D_(50 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001113	-1.9002	-84.6265	50	50	TARA_110	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-05-20	2011-05-21	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB1787	True
SAMEA2622429	ERS492294;SAMEA2622429	TARA_20110522T1320Z_110_Combined-EVENTS_CAST_MB_M_(380 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001079	-1.8902	-84.6141	380	380	TARA_110	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-05-21	2011-05-22	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2622452	ERS492321;SAMEA2622452	TARA_20110531T1425Z_111_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000575	-16.9601	-100.6335	5	5	TARA_111	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-05-30	2011-05-31	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2622478	ERS492357;SAMEA2622478	TARA_20110531T2030Z_111_Combined-EVENTS_CAST_MB_D_(90 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000579	-16.9587	-100.6751	90	90	TARA_111	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-05-30	2011-05-31	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2622499	SAMEA2622499;ERS492381	TARA_20110601T1603Z_111_Combined-EVENTS_CAST_MB_M_(350 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000586	-16.9486	-100.6715	350	350	TARA_111	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-05-31	2011-06-01	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2622518	ERS492408;SAMEA2622518	TARA_20110614T1645Z_112_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000941	-23.2811	-129.3947	5	5	TARA_112	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-06-13	2011-06-14	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2622545	ERS492445;SAMEA2622545	TARA_20110615T0059Z_112_Combined-EVENTS_CAST_MB_D_(155 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000945	-23.2189	-129.4997	155	155	TARA_112	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-06-14	2011-06-15	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2622568	SAMEA2622568;ERS492471	TARA_20110615T1845Z_112_Combined-EVENTS_CAST_MB_M_(696 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000949	-23.2232	-129.5986	696	696	TARA_112	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-06-14	2011-06-16	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2622652	SAMEA2622652;ERS492642	TARA_20110726T1710Z_122_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001115	-8.9971	-139.1963	5	5	TARA_122	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-07-25	2011-07-26	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2622673	ERS492680;SAMEA2622673	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MB_M_(600 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000678	-8.9729	-139.2393	600	600	TARA_122	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-07-26	2011-07-28	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6608	True
SAMEA2622690	SAMEA2622690;ERS492699	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_MB_D_(115 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000700	-9.0063	-139.1394	115	115	TARA_122	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-07-27	2011-07-28	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2622710	ERS492733;SAMEA2622710	TARA_20110731T1720Z_123_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000683	-8.9068	-140.283	5	5	TARA_123	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-07-30	2011-07-31	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
