Sample1	Sample2	Study1	Study2	Country1	Country2	PairStratum	ComparableSites	SNPs	PDistance	DifferencesPer10kb
M2.48.ST	T2D-063	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	17854	4599	0.2575893357	2575.893357
M2.48.ST	T2D-105	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	17871	4339	0.2427955906	2427.955906
M2.48.ST	W1.27.ST	BritoIL_2016	BritoIL_2016	FJI	FJI	Same study	17844	2601	0.1457632818	1457.632818
M2.48.ST	YSZC12003_36795	BritoIL_2016	XieH_2016	FJI	GBR	Different country	17340	3352	0.1933102653	1933.102653
M2.58.ST	N021	BritoIL_2016	WenC_2017	FJI	CHN	Different country	17919	4509	0.2516323456	2516.323456
M2.58.ST	RA023	BritoIL_2016	WenC_2017	FJI	CHN	Different country	17895	4504	0.2516904163	2516.904163
M2.58.ST	S353	BritoIL_2016	KarlssonFH_2013	FJI	SWE	Different country	17528	3444	0.196485623	1964.85623
M2.58.ST	SID530054	BritoIL_2016	FengQ_2015	FJI	AUT	Different country	17540	3284	0.1872291904	1872.291904
M2.58.ST	SRS011302	BritoIL_2016	HMP_2012	FJI	USA	Different country	16832	3086	0.1833412548	1833.412548
M2.58.ST	SZAXPI003417-4	BritoIL_2016	YuJ_2015	FJI	CHN	Different country	17913	4253	0.2374253336	2374.253336
M2.58.ST	T2D-025	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	17890	4265	0.2384013415	2384.013415
M2.58.ST	T2D-063	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	17876	4636	0.2593421347	2593.421347
M2.58.ST	T2D-105	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	17899	4352	0.243142075	2431.42075
M2.58.ST	W1.27.ST	BritoIL_2016	BritoIL_2016	FJI	FJI	Same study	17871	2710	0.1516423256	1516.423256
M2.58.ST	YSZC12003_36795	BritoIL_2016	XieH_2016	FJI	GBR	Different country	17374	3341	0.1922988373	1922.988373
N021	RA023	WenC_2017	WenC_2017	CHN	CHN	Same study	17876	3301	0.184660998	1846.60998
N021	S353	WenC_2017	KarlssonFH_2013	CHN	SWE	Different country	17476	4818	0.2756923781	2756.923781
N021	SID530054	WenC_2017	FengQ_2015	CHN	AUT	Different country	17487	4792	0.2740321382	2740.321382
N021	SRS011302	WenC_2017	HMP_2012	CHN	USA	Different country	16787	4425	0.2635968309	2635.968309
N021	SZAXPI003417-4	WenC_2017	YuJ_2015	CHN	CHN	Same country, different study	17888	3839	0.2146131485	2146.131485
N021	T2D-025	WenC_2017	QinJ_2012	CHN	CHN	Same country, different study	17871	3832	0.2144256057	2144.256057
N021	T2D-063	WenC_2017	QinJ_2012	CHN	CHN	Same country, different study	17849	4065	0.2277438512	2277.438512
N021	T2D-105	WenC_2017	QinJ_2012	CHN	CHN	Same country, different study	17865	3084	0.1726280437	1726.280437
N021	W1.27.ST	WenC_2017	BritoIL_2016	CHN	FJI	Different country	17817	4583	0.2572262446	2572.262446
N021	YSZC12003_36795	WenC_2017	XieH_2016	CHN	GBR	Different country	17329	4768	0.2751457095	2751.457095
RA023	S353	WenC_2017	KarlssonFH_2013	CHN	SWE	Different country	17458	4840	0.2772367969	2772.367969
RA023	SID530054	WenC_2017	FengQ_2015	CHN	AUT	Different country	17469	4728	0.2706508673	2706.508673
RA023	SRS011302	WenC_2017	HMP_2012	CHN	USA	Different country	16769	4417	0.2634027074	2634.027074
RA023	SZAXPI003417-4	WenC_2017	YuJ_2015	CHN	CHN	Same country, different study	17869	3607	0.2018579663	2018.579663
RA023	T2D-025	WenC_2017	QinJ_2012	CHN	CHN	Same country, different study	17851	3604	0.2018934513	2018.934513
RA023	T2D-063	WenC_2017	QinJ_2012	CHN	CHN	Same country, different study	17844	3922	0.2197937682	2197.937682
RA023	T2D-105	WenC_2017	QinJ_2012	CHN	CHN	Same country, different study	17867	3880	0.2171601276	2171.601276
RA023	W1.27.ST	WenC_2017	BritoIL_2016	CHN	FJI	Different country	17808	4470	0.2510107817	2510.107817
RA023	YSZC12003_36795	WenC_2017	XieH_2016	CHN	GBR	Different country	17310	4714	0.272328134	2723.28134
S353	SID530054	KarlssonFH_2013	FengQ_2015	SWE	AUT	Different country	17519	2448	0.1397340031	1397.340031
S353	SRS011302	KarlssonFH_2013	HMP_2012	SWE	USA	Different country	16813	2372	0.1410813061	1410.813061
S353	SZAXPI003417-4	KarlssonFH_2013	YuJ_2015	SWE	CHN	Different country	17472	4676	0.2676282051	2676.282051
S353	T2D-025	KarlssonFH_2013	QinJ_2012	SWE	CHN	Different country	17451	4678	0.2680648673	2680.648673
S353	T2D-063	KarlssonFH_2013	QinJ_2012	SWE	CHN	Different country	17447	5039	0.2888175618	2888.175618
S353	T2D-105	KarlssonFH_2013	QinJ_2012	SWE	CHN	Different country	17464	4698	0.269010536	2690.10536
S353	W1.27.ST	KarlssonFH_2013	BritoIL_2016	SWE	FJI	Different country	17439	3457	0.1982338437	1982.338437
S353	YSZC12003_36795	KarlssonFH_2013	XieH_2016	SWE	GBR	Different country	17357	2448	0.1410381978	1410.381978
SID530054	SRS011302	FengQ_2015	HMP_2012	AUT	USA	Different country	16812	2313	0.1375802998	1375.802998
SID530054	SZAXPI003417-4	FengQ_2015	YuJ_2015	AUT	CHN	Different country	17482	4542	0.2598100904	2598.100904
SID530054	T2D-025	FengQ_2015	QinJ_2012	AUT	CHN	Different country	17464	4550	0.2605359597	2605.359597
SID530054	T2D-063	FengQ_2015	QinJ_2012	AUT	CHN	Different country	17456	4903	0.2808776352	2808.776352
SID530054	T2D-105	FengQ_2015	QinJ_2012	AUT	CHN	Different country	17472	4593	0.2628777473	2628.777473
SID530054	W1.27.ST	FengQ_2015	BritoIL_2016	AUT	FJI	Different country	17455	3303	0.1892294471	1892.294471
SID530054	YSZC12003_36795	FengQ_2015	XieH_2016	AUT	GBR	Different country	17356	2507	0.1444457248	1444.457248
SRS011302	SZAXPI003417-4	HMP_2012	YuJ_2015	USA	CHN	Different country	16791	4226	0.2516824489	2516.824489
SRS011302	T2D-025	HMP_2012	QinJ_2012	USA	CHN	Different country	16765	4217	0.251535938	2515.35938
SRS011302	T2D-063	HMP_2012	QinJ_2012	USA	CHN	Different country	16749	4540	0.2710609589	2710.609589
SRS011302	T2D-105	HMP_2012	QinJ_2012	USA	CHN	Different country	16771	4215	0.2513266949	2513.266949
SRS011302	W1.27.ST	HMP_2012	BritoIL_2016	USA	FJI	Different country	16736	2995	0.1789555449	1789.555449
SRS011302	YSZC12003_36795	HMP_2012	XieH_2016	USA	GBR	Different country	16830	2238	0.1329768271	1329.768271
SZAXPI003417-4	T2D-025	YuJ_2015	QinJ_2012	CHN	CHN	Same country, different study	17886	59	0.0032986694	32.986694
SZAXPI003417-4	T2D-063	YuJ_2015	QinJ_2012	CHN	CHN	Same country, different study	17860	3995	0.2236842105	2236.842105
SZAXPI003417-4	T2D-105	YuJ_2015	QinJ_2012	CHN	CHN	Same country, different study	17865	3852	0.2156171285	2156.171285
SZAXPI003417-4	W1.27.ST	YuJ_2015	BritoIL_2016	CHN	FJI	Different country	17813	4261	0.2392073205	2392.073205
SZAXPI003417-4	YSZC12003_36795	YuJ_2015	XieH_2016	CHN	GBR	Different country	17322	4543	0.2622676365	2622.676365
T2D-025	T2D-063	QinJ_2012	QinJ_2012	CHN	CHN	Same study	17855	3986	0.2232427891	2232.427891
T2D-025	T2D-105	QinJ_2012	QinJ_2012	CHN	CHN	Same study	17848	3825	0.2143097266	2143.097266
T2D-025	W1.27.ST	QinJ_2012	BritoIL_2016	CHN	FJI	Different country	17792	4292	0.2412320144	2412.320144
T2D-025	YSZC12003_36795	QinJ_2012	XieH_2016	CHN	GBR	Different country	17302	4550	0.2629753786	2629.753786
T2D-063	T2D-105	QinJ_2012	QinJ_2012	CHN	CHN	Same study	17860	3586	0.2007838746	2007.838746
T2D-063	W1.27.ST	QinJ_2012	BritoIL_2016	CHN	FJI	Different country	17787	4708	0.2646876933	2646.876933
T2D-063	YSZC12003_36795	QinJ_2012	XieH_2016	CHN	GBR	Different country	17295	4821	0.2787510841	2787.510841
T2D-105	W1.27.ST	QinJ_2012	BritoIL_2016	CHN	FJI	Different country	17806	4340	0.2437380658	2437.380658
T2D-105	YSZC12003_36795	QinJ_2012	XieH_2016	CHN	GBR	Different country	17317	4561	0.263382803	2633.82803
W1.27.ST	YSZC12003_36795	BritoIL_2016	XieH_2016	FJI	GBR	Different country	17277	3390	0.1962146206	1962.146206
