pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	strain	species	genus	family	order	class	phylum	kingdom	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	sample body site	refseq id	habitat	cell shape	id	summary_rank
			Bacteroides ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated	Human			Gram-	Obligate anaerobe	0.0						42.0				Bacteroides_ovatus.json				0.0	Bacteroides_ovatus	species
Bacteroides propionicifaciens DSM 19291 (1121099.3)	1.0	Bacteroides propionicifaciens DSM 19291 = JCM 14649	Bacteroides propionicifaciens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	1121099.0	1121099.3	GCF_000613745.1		PMID:31275260	Literature research	0.0	0.0							Gram-	Obligate anaerobe	0.0	0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/745/GCF_000613745.1_ASM61374v1	Bacteroides_propionicifaciens.json	0.0	GCF_000613745.1	0.0	0.0	Bacteroides_propionicifaciens	species
	0.0		Bacteroides pyogenes	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Obligate anaerobe	0.0		0.0				46.0				Bacteroides_pyogenes.json	0.0				Bacteroides_pyogenes	species
	0.0	Bacteroides rodentium JCM 16496	Bacteroides rodentium	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	1236512.0		GCF_000614125.1	2565956595.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Animal	Intestine	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile		4884492.0	4987.0	2298227.0	47.0	4915.0	98.56	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/614/125/GCF_000614125.1_ASM61412v1	Bacteroides_rodentium.json		GCF_000614125.1			Bacteroides_rodentium	species
			Bacteroides salyersiae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified		Gram-	Obligate anaerobe	0.0	0	0.0				42.0				Bacteroides_salyersiae.json	0.0			0.0	Bacteroides_salyersiae	species
	0.0	Bacteroides sp. 14(A	Bacteroides sp. 14(A)	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	1163670.0		GCF_000526555.1	2548877171.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Obligate anaerobe	0.0	0	0.0	7213997.0	5673.0	3087941.0	43.0	5580.0	98.36	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/555/GCF_000526555.1_ASM52655v1	Bacteroides_sp__14_A_.json	0.0	GCF_000526555.1	0.0	0.0	Bacteroides_sp__14_A_	species
Bacteroides sp. 1_1_14 (469585.3)	2.0	Bacteroides sp. 1_1_14	Bacteroides sp. 1_1_14	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	469585.0	469585.3	GCF_000162515.1	648861000.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram-	Obligate anaerobe	0.0	0		6446424.0	4829.0	2763464.0	43.0	4761.0	98.59	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/515/GCF_000162515.1_ASM16251v1	Bacteroides_sp__1_1_14.json				0.0	Bacteroides_sp__1_1_14	species
Bacteroides sp. 1_1_30 (457387.3)	2.0	Bacteroides sp. 1_1_30	Bacteroides sp. 1_1_30	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	457387.0	457387.3	GCF_000218365.1	651324013.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile		6441725.0	5376.0	2721174.0	42.0	5299.0	98.57	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/365/GCF_000218365.1_Bacteroides_sp_1_1_30_V1	Bacteroides_sp__1_1_30.json					Bacteroides_sp__1_1_30	species
Bacteroides sp. 2_1_22 (469588.3)	2.0	Bacteroides sp. 2_1_22	Bacteroides sp. 2_1_22	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	469588.0	469588.3	GCF_000162155.1	647533111.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	6003748.0	4814.0	2477127.0	42.0	4748.0	98.63	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/155/GCF_000162155.1_ASM16215v1	Bacteroides_sp__2_1_22.json					Bacteroides_sp__2_1_22	species
Bacteroides sp. 2_1_33B (469589.3)	2.0	Bacteroides sp. 2_1_33B	Bacteroides sp. 2_1_33B	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	469589.0	469589.3	GCF_000162175.1	647533112.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	4927045.0	4041.0	2195108.0	45.0	3966.0	98.14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/175/GCF_000162175.1_ASM16217v1	Bacteroides_sp__2_1_33B.json					Bacteroides_sp__2_1_33B	species
Bacteroides sp. 2_2_4 (469590.5)	2.0	Bacteroides sp. 2_2_4	Bacteroides sp. 2_2_4	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	469590.0	469590.5	GCF_000157055.1	646206266.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	7101224.0	6033.0	2950958.0	42.0	5959.0	98.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/055/GCF_000157055.1_ASM15705v1	Bacteroides_sp__2_2_4.json					Bacteroides_sp__2_2_4	species
Bacteroides sp. 3_1_19 (469592.4)	2.0	Bacteroides sp. 3_1_19	Bacteroides sp. 3_1_19	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	469592.0	469592.4	GCF_000163655.1	648861002.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	5250116.0	4328.0	2352272.0	45.0	4248.0	98.15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/655/GCF_000163655.1_ASM16365v1	Bacteroides_sp__3_1_19.json					Bacteroides_sp__3_1_19	species
Bacteroides sp. 3_1_23 (457390.3)	2.0	Bacteroides sp. 3_1_23	Bacteroides sp. 3_1_23	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	457390.0	457390.3	GCF_000162555.1	648861003.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram-	Obligate anaerobe	0.0	0		6520178.0	4983.0	2703416.0	42.0	4910.0	98.54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/555/GCF_000162555.1_ASM16255v1	Bacteroides_sp__3_1_23.json				0.0	Bacteroides_sp__3_1_23	species
Bacteroides sp. 3_1_33FAA (457391.3)	2.0	Bacteroides sp. 3_1_33FAA	Bacteroides sp. 3_1_33FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	457391.0	457391.3	GCF_000162195.1	647533113.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	5419714.0	4734.0	2262106.0	42.0	4666.0	98.56	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/195/GCF_000162195.1_ASM16219v1	Bacteroides_sp__3_1_33FAA.json					Bacteroides_sp__3_1_33FAA	species
Bacteroides sp. 3_1_40A (469593.3)	2.0	Bacteroides sp. 3_1_40A	Bacteroides sp. 3_1_40A	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	469593.0	469593.3	GCF_000186105.1	649989913.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram-	Obligate anaerobe	0.0	0		5439708.0	4644.0	2316005.0	43.0	4564.0	98.28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/105/GCF_000186105.1_Bacteroides_sp_3_1_40A_V1	Bacteroides_sp__3_1_40A.json				0.0	Bacteroides_sp__3_1_40A	species
Bacteroides sp. 3_2_5 (457392.3)	2.0	Bacteroides sp. 3_2_5	Bacteroides sp. 3_2_5	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	457392.0	457392.3	GCF_000159855.2	2558309115.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	5115082.0	4202.0	2208306.0	43.0	4131.0	98.31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/855/GCF_000159855.2_Bact_sp_3_2_5_V2	Bacteroides_sp__3_2_5.json					Bacteroides_sp__3_2_5	species
Bacteroides sp. 4_1_36 (457393.3)	2.0	Bacteroides sp. 4_1_36	Bacteroides sp. 4_1_36	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	457393.0	457393.3	GCF_000185585.1	649989914.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	0	0.0	4586082.0	3787.0	2126573.0	46.0	3724.0	98.34	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/585/GCF_000185585.1_ASM18558v1	Bacteroides_sp__4_1_36.json				0.0	Bacteroides_sp__4_1_36	species
Bacteroides sp. 4_3_47FAA (457394.3)	2.0	Bacteroides sp. 4_3_47FAA	Bacteroides sp. 4_3_47FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	457394.0	457394.3	GCF_000158515.2	646206274.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	5452289.0	4683.0	2281309.0	43.0	4613.0	98.51	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/515/GCF_000158515.2_Bacteroides_sp_4_3_47FAA_V2	Bacteroides_sp__4_3_47FAA.json					Bacteroides_sp__4_3_47FAA	species
Bacteroides sp. 9_1_42FAA (457395.6)	2.0	Bacteroides sp. 9_1_42FAA	Bacteroides sp. 9_1_42FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	457395.0	457395.6	GCF_000157075.2	646206263.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	5622644.0	4938.0	2360753.0	42.0	4871.0	98.64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/075/GCF_000157075.2_Bact_sp_9_1_42FAA_V2	Bacteroides_sp__9_1_42FAA.json					Bacteroides_sp__9_1_42FAA	species
Bacteroides sp. D1 (556258.5)	2.0	Bacteroides sp. D1	Bacteroides sp. D1	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	556258.0	556258.5	GCF_000157095.2	646206264.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	5986762.0	4849.0	2472049.0	42.0	4785.0	98.68	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/095/GCF_000157095.2_Bacteroides_sp_D1_V2	Bacteroides_sp__D1.json					Bacteroides_sp__D1	species
Bacteroides sp. D2 (556259.3)	2.0	Bacteroides sp. D2	Bacteroides sp. D2	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	556259.0	556259.3	GCF_000159075.2	2562617173.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	6914757.0	5269.0	2883501.0	42.0	5200.0	98.69	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/075/GCF_000159075.2_Bact_sp_D2_V2	Bacteroides_sp__D2.json					Bacteroides_sp__D2	species
Bacteroides sp. D20 (585543.3)	2.0	Bacteroides sp. D20	Bacteroides sp. D20	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	585543.0	585543.3	GCF_000162215.1	647533114.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	4487454.0	3715.0	2065109.0	46.0	3652.0	98.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/215/GCF_000162215.1_ASM16221v1	Bacteroides_sp__D20.json					Bacteroides_sp__D20	species
Bacteroides sp. D22 (585544.3)	2.0	Bacteroides sp. D22	Bacteroides sp. D22	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	585544.0	585544.3	GCF_000163675.1	648861004.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	6344045.0	5004.0	2641393.0	42.0	4931.0	98.54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/675/GCF_000163675.1_ASM16367v1	Bacteroides_sp__D22.json					Bacteroides_sp__D22	species
Bacteroides sp. HPS0048 (1078089.3)	1.0	Bacteroides sp. HPS0048	Bacteroides sp. HPS0048	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	1078089.0	1078089.3	GCF_000382465.1	2529293266.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Unclassified	Unclassified	Unclassified	Gram-	Obligate anaerobe	0.0	0	0.0	5966298.0	4934.0	2409882.0	40.0	4867.0	98.64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/465/GCF_000382465.1_Bact_sp_HPS0048_V1	Bacteroides_sp__HPS0048.json		GCF_000382465.1	0.0	0.0	Bacteroides_sp__HPS0048	species
			Bacteroides stercoris	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated	Human			Gram-	Obligate anaerobe	0.0		0.0				46.0				Bacteroides_stercoris.json					Bacteroides_stercoris	species
			Bacteroides thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human							0.0	0.0							Gram-	Obligate anaerobe	0.0	0	0.0								Bacteroides_thetaiotaomicron.json	0.0		0.0	0.0	Bacteroides_thetaiotaomicron	species
	0.0	Bacteroides timonensis AP1	Bacteroides timonensis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	1203465.0		GCF_000513195.1	2600255085.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	7017222.0	5785.0	3041821.0	43.0	5710.0	98.7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/195/GCF_000513195.1_AP1	Bacteroides_timonensis.json	0.0				Bacteroides_timonensis	species
			Bacteroides uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Obligate anaerobe	0.0		0.0				46.0				Bacteroides_uniformis.json					Bacteroides_uniformis	species
	0.0	Phocaeicola vulgatus	Bacteroides vulgatus	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human	821.0						0.0	0.0							Gram-	Obligate anaerobe	0.0	0	0.0								Bacteroides_vulgatus.json	0.0		0.0	0.0	Bacteroides_vulgatus	species
			Bacteroides xylanisolvens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated	Human			Gram-	Obligate anaerobe	0.0						42.0				Bacteroides_xylanisolvens.json					Bacteroides_xylanisolvens	species
	0.0	Hungatella xylanolytica	Bacteroides xylanolyticus	Hungatella	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse	384636.0		GCF_002934545.1	2739367553.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Host-associated	Mammals	Large intestine	Digestive system	Gram-	Obligate anaerobe	0.0	0	0.0	5629247.0	5360.0	2355735.0	42.0	5277.0	98.45	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/934/545/GCF_002934545.1_ASM293454v1	Bacteroides_xylanolyticus.json	0.0		0.0	0.0	Bacteroides_xylanolyticus	species
Bacteroidetes oral taxon 274 str. F0058 (575590.3)	1.0	Bacteroidetes bacterium oral taxon 272 str. F0290	Bacteroidetes bacterium oral taxon 272	unclassified Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes	Bacteroidetes	Bacteria	Human	888054.0	575590.3	GCF_000442105.1	2541046973.0	PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram-	Anaerobe	0.0	0	0.0	2502741.0	2160.0	1193354.0	48.0	2108.0	97.59	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/105/GCF_000442105.1_BactbactF0290v01	Bacteroidetes_bacterium_oral_taxon_272.json		GCF_000382465.1			Bacteroidetes_bacterium_oral_taxon_272	species
	0.0	Bacteroidetes oral taxon 274 str. F0058	Bacteroidetes oral taxon 274	unclassified Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes	Bacteroidetes	Bacteria	Human	575590.0		GCF_000163695.1	648861005.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Oral	Digestive system	Gram-	Anaerobe	0.0	Nonmotile	0.0	2113539.0	1905.0	906654.0	43.0	1856.0	97.43	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/695/GCF_000163695.1_ASM16369v1	Bacteroidetes_oral_taxon_274.json					Bacteroidetes_oral_taxon_274	species
			Barnesiella intestinihominis	Barnesiella	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human							0.0	0.0							Gram-	Anaerobe	0.0		0.0								Barnesiella_intestinihominis.json	0.0		0.0	0.0	Barnesiella_intestinihominis	species
	0.0	Barnesiella viscericola DSM 18177	Barnesiella viscericola	Barnesiella	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Mouse	880074.0		GCF_000512915.1	2509276067.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Host-associated	Birds	Unclassified	Digestive system	Gram-	Obligate anaerobe	0.0	Nonmotile	0.0	3076856.0	2585.0	1589809.0	52.0	2506.0	96.94	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/915/GCF_000512915.1_ASM51291v1	Barnesiella_viscericola.json	0.0				Barnesiella_viscericola	species
	2.0		Bartonella quintana	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated		Unclassified	Unclassified	Gram-	Aerobe	0.0	0	0.0				39.0				Bartonella_quintana.json	0.0			0.0	Bartonella_quintana	species
			Bdellovibrio bacteriovorus	Bdellovibrio	Bdellovibrionaceae	Bdellovibrionales	Oligoflexia	Proteobacteria	Bacteria	Human					https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes						Gram-	Aerobe	0.0		0.0								Bdellovibrio_bacteriovorus.json	0.0				Bdellovibrio_bacteriovorus	species
	0.0	Beduini massiliensis DSM 100188	Beduini massiliensis	Beduini	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	1585974.0		GCF_000829905.1		PMID:30745586	Literature research									Gram-											ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/905/GCF_000829905.1_Beduini_massiliensis_GM1	Beduini_massiliensis.json		GCF_000829905.1			Beduini_massiliensis	species
			Bifidobacterium adolescentis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram+	Anaerobe		Nonmotile					59.0				Bifidobacterium_adolescentis.json					Bifidobacterium_adolescentis	species
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)			Bifidobacterium angulatum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human		518635.7					0.0	0.0	Yes	0.0					Gram+	Obligate anaerobe	0.0	Nonmotile	0.0				59.0				Bifidobacterium_angulatum.json					Bifidobacterium_angulatum	species
			Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human							0.0	0.0							Gram+	Obligate anaerobe		Nonmotile	0.0								Bifidobacterium_animalis.json	0.0			0.0	Bifidobacterium_animalis	species
	0.0		Bifidobacterium asteroides	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human						Literature research	0.0	0.0	Yes	0.0					Gram+	Anaerobe	0.0	Nonmotile	0.0				60.0				Bifidobacterium_asteroides.json	0.0		0.0	0.0	Bifidobacterium_asteroides	species
			Bifidobacterium bifidum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram+	Anaerobe	0.0	Nonmotile	0.0				63.0				Bifidobacterium_bifidum.json	0.0		0.0	0.0	Bifidobacterium_bifidum	species
	0.0	Bifidobacterium boum DSM 20432	Bifidobacterium boum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human	1410645.0		GCF_000771385.1	2681813198.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Anaerobe		Nonmotile	0.0	2166570.0	1794.0	1284889.0	59.0	1738.0	96.88	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/771/385/GCF_000771385.1_DSM-20432	Bifidobacterium_boum.json	0.0	GCF_000164965.1		0.0	Bifidobacterium_boum	species
			Bifidobacterium breve	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram+	Anaerobe		Nonmotile	0.0				59.0				Bifidobacterium_breve.json	0.0			0.0	Bifidobacterium_breve	species
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)			Bifidobacterium catenulatum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human		566552.6			PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Anaerobe		Nonmotile	0.0				56.0				Bifidobacterium_catenulatum.json	0.0			0.0	Bifidobacterium_catenulatum	species
	0.0	Bifidobacterium choerinum DSM 20434	Bifidobacterium choerinum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Mouse	1121107.0		GCF_000771425.1	2529292584.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Host-associated	Animal	Intestine	Digestive system	Gram+	Anaerobe	0.0	Nonmotile	0.0	2037324.0	1671.0	1338997.0	66.0	1607.0	96.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/771/425/GCF_000771425.1_DSM-20434	Bifidobacterium_choerinum.json	0.0				Bifidobacterium_choerinum	species
	0.0		Bifidobacterium coryneforme	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram+	Obligate anaerobe		Nonmotile	0.0								Bifidobacterium_coryneforme.json	0.0	GCF_000967205.1		0.0	Bifidobacterium_coryneforme	species
			Bifidobacterium dentium	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated				Gram+	Anaerobe	0.0	Nonmotile	0.0								Bifidobacterium_dentium.json					Bifidobacterium_dentium	species
Bifidobacterium gallicum DSM 20093 (561180.4)	2.0	Bifidobacterium gallicum DSM 20093 = LMG 11596	Bifidobacterium gallicum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human	561180.0	561180.4	GCF_000771165.1	2671180475.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram+	Anaerobe		Nonmotile	0.0	1983163.0	1601.0	1142209.0	58.0	1538.0	96.06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/771/165/GCF_000771165.1_DSM-20093	Bifidobacterium_gallicum.json	0.0	GCF_000149165.1		0.0	Bifidobacterium_gallicum	species
	0.0	Bifidobacterium indicum LMG 11587 = DSM 20214	Bifidobacterium indicum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human	1341694.0		GCF_000706765.1	2660238275.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Insecta	Unclassified	Unclassified	Gram+	Anaerobe		Nonmotile	0.0	1721435.0	1419.0	1041108.0	60.0	1364.0	96.12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/765/GCF_000706765.1_ASM70676v1	Bifidobacterium_indicum.json	0.0	GCF_000706765.1		0.0	Bifidobacterium_indicum	species
