OriginalContigID	NormalizedContigID	LengthBp	Selected
k141_17818	megahit-co__c017227	28364	yes
k141_35996	megahit-co__c017264	27510	yes
k141_21202	megahit-co__c017265	60865	yes
k141_57655	megahit-co__c017304	48288	yes
k141_36001	megahit-co__c017321	20795	yes
k141_14444	megahit-co__c017436	26514	yes
k141_54029	megahit-co__c017446	24342	yes
k141_32077	megahit-co__c017475	76482	yes
k141_3460	megahit-co__c017503	154938	yes
k141_54034	megahit-co__c017508	26430	yes
k141_47178	megahit-co__c017553	21124	yes
k141_57711	megahit-co__c017555	58278	yes
k141_14488	megahit-co__c017565	27546	yes
k141_3487	megahit-co__c017580	26428	yes
k141_18009	megahit-co__c017611	20335	yes
k141_25084	megahit-co__c017618	36838	yes
k141_25086	megahit-co__c017649	24691	yes
k141_14498	megahit-co__c017671	44949	yes
k141_32144	megahit-co__c017675	69054	yes
k141_18055	megahit-co__c017715	20471	yes
k141_57727	megahit-co__c017730	83259	yes
k141_14518	megahit-co__c017758	29625	yes
k141_3608	megahit-co__c017833	20720	yes
k141_25243	megahit-co__c017892	20347	yes
k141_32214	megahit-co__c017913	95260	yes
k141_21507	megahit-co__c017994	158460	yes
k141_32312	megahit-co__c018013	23304	yes
k141_36058	megahit-co__c018015	466493	yes
k141_54358	megahit-co__c018040	47363	yes
k141_25357	megahit-co__c018130	55634	yes
k141_54383	megahit-co__c018170	74741	yes
k141_32439	megahit-co__c018230	37376	yes
k141_58026	megahit-co__c018232	67213	yes
k141_25393	megahit-co__c018238	41476	yes
k141_36253	megahit-co__c018257	37334	yes
k141_58027	megahit-co__c018281	53049	yes
k141_21772	megahit-co__c018329	90782	yes
k141_32612	megahit-co__c018336	38973	yes
k141_32615	megahit-co__c018337	35795	yes
k141_32645	megahit-co__c018348	39032	yes
k141_32648	megahit-co__c018349	164705	yes
