Sample	Spring	BroadRegion	TemperatureC	PH	Conductivity	FilteredSequences	Recruitment	EstimatedCatalogReads	EqualSampleWeight	CatalogReadWeight
AR11.2.2	AR11	BLR	68.1	8.17	2.64	23117753	0.146655	3390334.066215	0.25	0.530078874370163
AR11.2.3	AR11	BLR	58	8.33	2.53	20140342	0.09989	2011818.76238	0.25	0.314547948423775
AR11.2.4	AR11	BLR	40	8.33	2.44	21411889	0.027665	592359.909185	0.25	0.0926154968065865
AW01.3.1	AW01	GBD	55.6	6.66	1.601	25352989	0.194935	4942184.910715	0.5	0.57970028952901
AW01.3.2	AW01	GBD	50.4	6.68	1.582	21291990	0.16829	3583228.9971	0.5	0.42029971047099
AW03.3.1	AW03	GBD	28.8	7.13	1.719	29363059	0.00816	239602.56144	1	1
AY01.0.3	AY01	YEL	68.3	8.107644444		2921271	0.06328	184858.02888	0.0384615384615385	0.00702671395460573
AY01.0.4	AY01	YEL	53	8.365422222	1.63	3192783	0.089355	285291.124965	0.0384615384615385	0.0108443173448422
AY01.0.5	AY01	YEL	70.4	8.128266667	1.6	6989454	0.07196	502961.10984	0.0384615384615385	0.019118259945479
AY01.0.6	AY01	YEL	27.5	8.9944	1	3219813	0.032315	104048.257095	0.0384615384615385	0.00395502075031019
AY01.0.7	AY01	YEL	30.5	9.303733333		5225009	0.07161	374162.89449	0.0384615384615385	0.0142224584343872
AY01.0.8	AY01	YEL	64.4	9.221244444		966953	0.103675	100248.852275	0.0384615384615385	0.00381060002360635
AY01.1.1	AY01	YEL	28.2			1265099	0.04864	61534.41536	0.0384615384615385	0.002339009767216
AY01.1.3	AY01	YEL	69	8.08		9060048	0.089485	810738.39528	0.0384615384615385	0.0308173079100974
AY01.1.4	AY01	YEL	62.1	8.22		526051	0.09921	52189.51971	0.0384615384615385	0.00198379712610959
AY01.1.5	AY01	YEL	26.6	8.53		4557626	0.0192	87506.4192	0.0384615384615385	0.00332624220130232
AY01.1.6	AY01	YEL	27.6			1037308	0.09555	99114.7794	0.0384615384615385	0.00376749231687279
AY01.1.7	AY01	YEL	64	8.11	1.968	643897	0.09045	58240.48365	0.0384615384615385	0.00221380278512056
AY01.2.2	AY01	YEL	57.5	8.24		26843861	0.063335	1700155.936435	0.0384615384615385	0.0646253209337671
AY01.2.3	AY01	YEL	50.2	8.2		20951325	0.108525	2273742.545625	0.0384615384615385	0.0864281555490095
AY01.2.4	AY01	YEL	33.3	8.5		19836326	0.09956	1974904.61656	0.0384615384615385	0.0750689051066626
AY01.2.5	AY01	YEL	58.8	8.16		21111937	0.089285	1884979.295045	0.0384615384615385	0.071650717022595
AY01.2.6	AY01	YEL	66.1	8.08	1.935	35218871	0.088745	3125498.706895	0.0384615384615385	0.118804606496685
AY01.2.7	AY01	YEL	33.9	8.64		22849765	0.09777	2234021.52405	0.0384615384615385	0.0849183035924389
AY01.2.8	AY01	YEL	26.4	8.61		20759262	0.08428	1749590.60136	0.0384615384615385	0.0665044021507114
AY01.3.1	AY01	YEL	19.4	7.5	1.861	3641254	0.054295	197701.88593	0.0384615384615385	0.00751492704500269
AY01.3.2	AY01	YEL	66.5	8.34	1.906	16933472	0.068855	1165954.21456	0.0384615384615385	0.0443195613386014
AY01.3.3	AY01	YEL	67.4	8.46	1.936	17976638	0.07695	1383302.2941	0.0384615384615385	0.0525812678642178
AY01.3.4	AY01	YEL	47.3	8.87	1.926	21147878	0.080625	1705047.66375	0.0384615384615385	0.0648112623764769
AY01.3.5	AY01	YEL	56.7	8.63	1.937	21794518	0.07985	1740292.2623	0.0384615384615385	0.0661509591911417
AY01.3.6	AY01	YEL	64.3	8.45	1.941	22891328	0.086905	1989370.85984	0.0384615384615385	0.0756187873819534
AY01.3.8	AY01	YEL	26.5	9.03		13288359	0.0348	462434.8932	0.0384615384615385	0.0175778013907872
AY02.0.1	AY02	YEL	59.8	8.6232	1.23	4941601	0.204185	1009000.800185	0.0454545454545455	0.0224819736568276
AY02.0.2	AY02	YEL	30.4	9.726488889		3563619	0.08026	286016.06094	0.0454545454545455	0.00637284484442796
AY02.0.3	AY02	YEL	59.8	8.6232	1.23	4787301	0.13318	637572.74718	0.0454545454545455	0.0142060280861857
AY02.0.4	AY02	YEL	53	8.746933333		4341359	0.15097	655414.96823	0.0454545454545455	0.0146035781610239
AY02.0.5	AY02	YEL	60.1	8.705688889	1.23	5107681	0.187115	955723.730315	0.0454545454545455	0.0212948847257676
AY02.0.6	AY02	YEL	60.1	8.705688889	1.23	26383659	0.15451	4076539.15209	0.0454545454545455	0.0908310933068733
AY02.1.1	AY02	YEL	60.1	8.67	1.23	2591390	0.13163	341104.6657	0.0454545454545455	0.00760029735068824
AY02.1.2	AY02	YEL	58.4	8.51	1.505	171611	0.128045	21973.930495	0.0454545454545455	0.000489610440779603
AY02.1.3	AY02	YEL	34.6			1870160	0.0652	121934.432	0.0454545454545455	0.0027168726601422
AY02.1.4	AY02	YEL	58.4	8.52	1.515	3335884	0.148625	495795.7595	0.0454545454545455	0.0110470350491319
AY02.2.1	AY02	YEL	58.4	8.56	1.494	21942217	0.136735	3000269.041495	0.0454545454545455	0.066850263688511
AY02.2.2	AY02	YEL	58.4	8.49	1.493	21434493	0.163205	3498216.430065	0.0454545454545455	0.0779452400951345
AY02.2.3	AY02	YEL	58.2	8.5	1.496	25473792	0.10504	2675767.11168	0.0454545454545455	0.0596198989193722
AY02.2.4	AY02	YEL	39.9	8.04		19610009	0.08998	1764508.60982	0.0454545454545455	0.0393157627585085
AY02.2.5	AY02	YEL	57.8	8.51	1.494	28323547	0.14248	4035538.97656	0.0454545454545455	0.0899175510519794
AY02.2.6	AY02	YEL	30.3	7.32		17996130	0.04977	895667.3901	0.0454545454545455	0.0199567440043811
AY02.3.1	AY02	YEL	57.9	8.83	1.457	26810406	0.14742	3952390.05252	0.0454545454545455	0.0880648747017544
AY02.3.2	AY02	YEL	58	8.82	1.463	17200448	0.12062	2074718.03776	0.0454545454545455	0.0462276702473508
AY02.3.3	AY02	YEL	57.5	8.84	1.465	27685988	0.144255	3993842.19894	0.0454545454545455	0.0889884875112413
AY02.3.4	AY02	YEL	57.4	8.82	1.446	29336739	0.13332	3911174.04348	0.0454545454545455	0.0871465233691222
AY02.3.5	AY02	YEL	31.8	9.44		21627558	0.122615	2651863.02417	0.0454545454545455	0.0590872818336456
AY02.3.6	AY02	YEL	55.6	8.88	1.462	25017368	0.15291	3825405.74088	0.0454545454545455	0.0852354835371513
AY03.0.5	AY03	YEL	62.9	9.324355556	1.79	6251755	0.08605	537963.51775	0.0344827586206897	0.00693518203961095
AY03.0.6	AY03	YEL	74.8	9.18	1.7	959108	0.201355	193121.19134	0.0344827586206897	0.00248963093863894
AY03.0.7	AY03	YEL	74.8	9.18	1.7	11939067	0.08249	984853.63683	0.0344827586206897	0.012696287068602
AY03.0.8	AY03	YEL	74.8	9.18	1.7	886854	0.07126	63197.21604	0.0344827586206897	0.000814709888631702
AY03.1.3	AY03	YEL	65.4	9.14		5713712	0.078725	449811.9772	0.0344827586206897	0.00579877230063215
AY03.1.4	AY03	YEL	67.8	9.11	2.14	2460650	0.079825	196421.38625	0.0344827586206897	0.00253217555683679
AY03.1.5	AY03	YEL	60.6	9.2	2.14	6298007	0.098045	617488.096315	0.0344827586206897	0.00796037689163048
AY03.1.6	AY03	YEL	73.5	9.12		444473	0.091845	40822.622685	0.0344827586206897	0.000526266764034347
AY03.1.7	AY03	YEL	61.6	9.2		1288798	0.069925	90119.20015	0.0344827586206897	0.00116177591543453
AY03.1.8	AY03	YEL	69.8	9.12	2.2	4082712	0.068315	278910.47028	0.0344827586206897	0.00359558747075521
AY03.1.9	AY03	YEL	69.8	9.12		2849139	0.062405	177800.519295	0.0344827586206897	0.00229212377301246
AY03.2.10	AY03	YEL	51.2	9.23	2.14	19706428	0.083415	1643811.69162	0.0344827586206897	0.0211912758841081
AY03.2.1	AY03	YEL	85	8.89	2.14	40917330	0.2003	8195741.199	0.0344827586206897	0.10565578387607
AY03.2.2	AY03	YEL	83.2	8.94	2.14	52135405	0.365335	19046888.185675	0.0344827586206897	0.245543856595044
AY03.2.4	AY03	YEL	90	8	1.179	19015991	0.153255	2914295.700705	0.0344827586206897	0.0375697803564389
AY03.2.5	AY03	YEL	73.2	9.02	2.12	24263878	0.110385	2678368.17303	0.0344827586206897	0.0345283095157678
AY03.2.6	AY03	YEL	73.9	8.98	2.13	18213853	0.113705	2071006.155365	0.0344827586206897	0.0266984734442266
AY03.2.7	AY03	YEL	67.3	9.7	2.13	19920424	0.098535	1962858.97884	0.0344827586206897	0.0253042890218186
AY03.2.8	AY03	YEL	42.6	9.34		18860501	0.206675	3897994.044175	0.0344827586206897	0.0502511739062494
AY03.2.9	AY03	YEL	73.5	9.05	2.13	5337667	0.08116	433205.05372	0.0344827586206897	0.00558468336401914
AY03.3.10	AY03	YEL	66.2	9.4	2.13	27367938	0.079615	2178898.38387	0.0344827586206897	0.0280893711922207
AY03.3.2	AY03	YEL	75.3	9.38	2.21	24590761	0.07596	1867914.20556	0.0344827586206897	0.0240803040029825
AY03.3.3	AY03	YEL	63.7	9.54	2.15	25025777	0.10134	2536112.24118	0.0344827586206897	0.0326944104667756
AY03.3.4	AY03	YEL	68.8	9.47	2.12	22563095	0.079885	1802452.844075	0.0344827586206897	0.0232364057766529
AY03.3.5	AY03	YEL	68	9.45	2.07	19995613	0.074915	1497971.347895	0.0344827586206897	0.0193111682205205
AY03.3.6	AY03	YEL	83.9	9.25	2.12	47950244	0.323605	15516938.70962	0.0344827586206897	0.200037346582134
AY03.3.7	AY03	YEL	69.6	9.36		19565029	0.07081	1385399.70349	0.0344827586206897	0.0178599455619427
AY03.3.8	AY03	YEL	69.9	9.34	2.16	24467894	0.07964	1948623.07816	0.0344827586206897	0.0251207662373619
AY03.3.9	AY03	YEL	45.4	9.72		19758329	0.119505	2361219.107145	0.0344827586206897	0.0304397673878476
AY04.0.2	AY04	YEL	64.4	8.685066667		4157177	0.073835	306945.163795	0.032258064516129	0.00750067262994284
AY04.0.3	AY04	YEL	31.4	9.118133333		999576	0.067175	67146.5178	0.032258064516129	0.00164082744302432
AY04.0.4	AY04	YEL	52.9	8.8088		1128955	0.06755	76260.91025	0.032258064516129	0.0018635515059906
AY04.0.5	AY04	YEL	34.1	9.427466667		4934530	0.1105	545265.565	0.032258064516129	0.0133243946536891
AY04.0.6	AY04	YEL	35.5	9.489333333	1.68	1804317	0.19586	353393.52762	0.032258064516129	0.00863570915223348
AY04.0.8	AY04	YEL	27	9.448088889	1.58	2536040	0.125305	317778.4922	0.032258064516129	0.00776540151132973
AY04.0.9	AY04	YEL	74.8	8.592266667	1.67	371672	0.132765	49345.03308	0.032258064516129	0.00120582104787282
AY04.1.1	AY04	YEL	56.5	8.77		10213620	0.11773	1202449.4826	0.032258064516129	0.0293836847322032
AY04.1.2	AY04	YEL	64.3	8.64	2.07	3434006	0.13222	454044.27332	0.032258064516129	0.0110952634391338
AY04.1.3	AY04	YEL	52.4	8.83		6320347	0.08384	529897.89248	0.032258064516129	0.0129488621669363
AY04.1.4	AY04	YEL	44.3	8.9		3769823	0.085915	323884.343045	0.032258064516129	0.00791460727743261
AY04.1.5	AY04	YEL	42.8	9.15	2.08	13102620	0.065075	852652.9965	0.032258064516129	0.0208358747686856
AY04.1.6	AY04	YEL	29	9.08		828020	0.109595	90746.8519	0.032258064516129	0.00221753755584304
AY04.1.7	AY04	YEL	42.8	9.15	2.08	1866183	0.12546	234131.31918	0.032258064516129	0.00572135542346813
AY04.2.1	AY04	YEL	62.6	8.67	2.05	23349105	0.135755	3169757.749275	0.032258064516129	0.0774578589204132
AY04.2.2	AY04	YEL	60.9	8.72	2.06	21252770	0.120105	2552563.94085	0.032258064516129	0.0623757880743144
AY04.2.3	AY04	YEL	56.5	8.79		19587885	0.095285	1866431.622225	0.032258064516129	0.0456090997212543
AY04.2.4	AY04	YEL	35.9	9.25	2.21	5255148	0.061615	323795.94402	0.032258064516129	0.00791244711260338
AY04.2.5	AY04	YEL	53.2	8.82	2.02	20639403	0.10705	2209448.09115	0.032258064516129	0.0539912296374752
AY04.2.6	AY04	YEL	42.1	9.19	2.04	22844941	0.116775	2667717.985275	0.032258064516129	0.0651897525576339
AY04.2.7	AY04	YEL	56.2	8.81	2.03	22473340	0.116075	2608592.9405	0.032258064516129	0.0637449420266422
AY04.2.8	AY04	YEL	40.1	9.13		16636745	0.120105	1998156.258225	0.032258064516129	0.0488279918507757
AY04.2.9	AY04	YEL	43.2	9.12	2.04	20266951	0.118605	2403761.723355	0.032258064516129	0.0587395792276262
AY04.3.1	AY04	YEL	59.6	9.06	1.88	23694681	0.10065	2384869.64265	0.032258064516129	0.0582779224583366
AY04.3.2	AY04	YEL	58.8	9.04	1.881	26961395	0.09844	2654079.7238	0.032258064516129	0.064856480864082
AY04.3.3	AY04	YEL	57	9.06	1.849	25560375	0.08335	2130457.25625	0.032258064516129	0.0520609682643184
AY04.3.4	AY04	YEL	51.3	9.11	1.928	7532556	0.087195	656801.22042	0.032258064516129	0.0160499382899793
AY04.3.5	AY04	YEL	51.7	9.17	1.857	24194530	0.081775	1978507.69075	0.032258064516129	0.0483478491749466
AY04.3.6	AY04	YEL	51.8	9.14	1.883	22529346	0.089385	2013785.59221	0.032258064516129	0.0492099184340002
AY04.3.7	AY04	YEL	56.3	9.02	1.835	25001335	0.08096	2024108.0816	0.032258064516129	0.0494621641859227
AY04.3.8	AY04	YEL	47.3	9.28	1.86	19613845	0.095625	1875573.928125	0.032258064516129	0.0458325058918903
AY05.0.1	AY05	YEL	74.5	8.963466667	1.85	539946	0.063565	34321.66749	0.0714285714285714	0.00147138059350243
AY05.0.2	AY05	YEL	74.4	8.860355556	1.84	859631	0.071705	61639.840855	0.0714285714285714	0.00264251920880739
AY05.0.3	AY05	YEL	73.9	8.829422222	1.86	1027633	0.08479	87133.00207	0.0714285714285714	0.00373541898384625
AY05.0.4	AY05	YEL	40.9	9.0872	1.98	1252952	0.0665	83321.308	0.0714285714285714	0.00357201046983392
AY05.0.5	AY05	YEL	45	9.118133333	1.88	5786086	0.139865	809270.91839	0.0714285714285714	0.0346936967602716
AY05.2.1	AY05	YEL	70.2	8.5	2.25	25632840	0.13087	3354569.7708	0.0714285714285714	0.1438114526849
AY05.2.2	AY05	YEL	69.6	8.5	2.26	30298616	0.12156	3683099.76096	0.0714285714285714	0.157895635862941
AY05.2.3	AY05	YEL	37.5	8.85		24755664	0.07904	1956687.68256	0.0714285714285714	0.0838838114291171
AY05.2.4	AY05	YEL	29.7	8.92	2.28	19212975	0.08744	1679982.534	0.0714285714285714	0.0720213753795862
AY05.2.5	AY05	YEL	45.9	8.79		25156135	0.09858	2479891.7883	0.0714285714285714	0.106313734679522
AY05.3.1	AY05	YEL	68	8.89	2.21	25361458	0.08077	2048444.96266	0.0714285714285714	0.0878174746548634
AY05.3.2	AY05	YEL	68.1	8.85	2.24	27393603	0.071955	1971106.703865	0.0714285714285714	0.0845019593711323
AY05.3.3	AY05	YEL	30.8	9.21	2.25	23376058	0.13644	3189429.35352	0.0714285714285714	0.136731831473038
AY05.3.4	AY05	YEL	48.6	8.98		21490166	0.08782	1887266.37812	0.0714285714285714	0.0809076984486391
AY06.0.5	AY06	YEL	78.7	8.932533333	1.84	792520	0.069195	54838.4214	0.0555555555555556	0.00120690175151224
AY06.0.6	AY06	YEL	26.5	9.417155556	1.82	5144685	0.068035	350018.643975	0.0555555555555556	0.00770332375897614
AY06.1.1	AY06	YEL	90.1	8.3	2.23	1942155	0.260655	506232.411525	0.0555555555555556	0.011141326984693
AY06.1.4	AY06	YEL	30.7	9.3		1994975	0.076045	151707.873875	0.0555555555555556	0.00333883605734018
AY06.1.5	AY06	YEL	43.2	9.04	2.23	724389	0.066915	48472.489935	0.0555555555555556	0.00106679826860791
AY06.1.6	AY06	YEL	26.7			619041	0.17234	106685.52594	0.0555555555555556	0.00234796963207242
AY06.2.1	AY06	YEL	87	8.71	2.19	14864798	0.29548	4392250.51304	0.0555555555555556	0.0966660728360883
AY06.2.2	AY06	YEL	80.2	8.76	2.22	21702116	0.090405	1961979.79698	0.0555555555555556	0.0431798872570534
AY06.2.5	AY06	YEL	40.8	9.08	2.91	21865494	0.07033	1537800.19302	0.0555555555555556	0.0338444050548781
AY06.2.6	AY06	YEL	20.7	9.08		28155653	0.24631	6935018.89043	0.0555555555555556	0.152628143406594
AY06.2.7	AY06	YEL	44.5	9.08	2.2	36571586	0.06952	2542456.65872	0.0555555555555556	0.055955210164987
AY06.3.1	AY06	YEL	86	8.95	2.2	47656965	0.325585	15516392.949525	0.0555555555555556	0.341489804955142
AY06.3.2	AY06	YEL	78.7	9.06	2.1	23030408	0.105555	2430974.71644	0.0555555555555556	0.0535016794475671
AY06.3.3	AY06	YEL	40.3	9.24		26790253	0.06154	1648672.16962	0.0555555555555556	0.0362845114499204
AY06.3.4	AY06	YEL	32	9.31	2.21	19052556	0.08278	1577170.58568	0.0555555555555556	0.0347108814166334
AY06.3.5	AY06	YEL	39.4	9.26	2.24	27924678	0.0566	1580536.7748	0.0555555555555556	0.0347849655977811
AY06.3.6	AY06	YEL	9.2	9.73		25132599	0.10211	2566289.68389	0.0555555555555556	0.0564797351073025
AY06.3.7	AY06	YEL	25.4	9.49		24168327	0.0633	1529855.0991	0.0555555555555556	0.0336695468528516
AY07.0.1	AY07	YEL	65.9	7.592088889	1.35	5311010	0.089795	476902.14295	0.0333333333333333	0.00862559118812693
AY07.0.2	AY07	YEL	65.4	7.571466667	1.35	2407560	0.090235	217246.1766	0.0333333333333333	0.00392926879074999
AY07.0.3	AY07	YEL	65.5	7.571466667	1.35	2918913	0.08132	237366.00516	0.0333333333333333	0.00429317031331445
AY07.0.4	AY07	YEL	66.3	7.540533333	1.36	1779890	0.10707	190572.8223	0.0333333333333333	0.0034468355427367
AY07.0.5	AY07	YEL	66.1	7.5096	1.35	3309095	0.1181	390804.1195	0.0333333333333333	0.00706836112874485
AY07.0.6	AY07	YEL	67.4	7.540533333	1.36	5509322	0.094335	519721.89087	0.0333333333333333	0.00940005958965661
AY07.0.7	AY07	YEL	66.7	7.540533333	1.36	5000825	0.113445	567318.592125	0.0333333333333333	0.0102609273651492
AY07.0.8	AY07	YEL	66.1	7.5096	1.35	913583	0.113285	103495.250155	0.0333333333333333	0.00187188866929364
AY07.1.1	AY07	YEL	63.8	7.45	1.64	1096419	0.12069	132326.80911	0.0333333333333333	0.00239335674096947
AY07.1.2	AY07	YEL	64.2	7.46	1.646	1320987	0.11541	152455.10967	0.0333333333333333	0.0027574114941487
AY07.1.3	AY07	YEL	64	7.5	1.649	2890798	0.094775	273975.38045	0.0333333333333333	0.00495531350049104
AY07.1.4	AY07	YEL	64	7.54	1.643	3022244	0.104445	315658.27458	0.0333333333333333	0.00570921995618304
AY07.1.5	AY07	YEL	64.4	7.51	1.633	1397571	0.147865	206651.835915	0.0333333333333333	0.00373765201358208
AY07.1.6	AY07	YEL	57.9			5027030	0.09806	492950.5618	0.0333333333333333	0.00891585430030263
AY07.2.1	AY07	YEL	63.7	7.35	1.622	28745232	0.11634	3344220.29088	0.0333333333333333	0.0604859455940715
AY07.2.2	AY07	YEL	62.3	7.38	1.62	23041144	0.105015	2419665.73716	0.0333333333333333	0.043763794667721
AY07.2.3	AY07	YEL	62.9	7.31	1.612	25867109	0.13803	3570437.05527	0.0333333333333333	0.0645774628128011
AY07.2.4	AY07	YEL	63.7	7.33	1.622	37090799	0.142025	5267820.727975	0.0333333333333333	0.0952775505909551
AY07.2.5	AY07	YEL	64.9	7.34	1.63	34745008	0.08454	2937342.97632	0.0333333333333333	0.0531268732330034
AY07.2.6	AY07	YEL	63.6	7.35	1.613	27338302	0.07617	2082358.46334	0.0333333333333333	0.0376630155209644
AY07.2.7	AY07	YEL	63.8	7.39	1.628	25768191	0.157045	4046765.555595	0.0333333333333333	0.0731926786926085
AY07.2.8	AY07	YEL	63.5	7.39	1.638	24671166	0.10589	2612429.76774	0.0333333333333333	0.0472502619611444
AY07.3.1	AY07	YEL	62.4	7.77	1.602	21554881	0.12072	2602105.23432	0.0333333333333333	0.0470635251099778
AY07.3.2	AY07	YEL	63.1	7.69	1.607	32005284	0.108355	3467932.54782	0.0333333333333333	0.0627234934203911
AY07.3.3	AY07	YEL	62.2	7.69	1.612	25417042	0.13603	3457480.22326	0.0333333333333333	0.0625344452478195
AY07.3.4	AY07	YEL	61.9	7.69	1.621	30543157	0.12432	3797125.27824	0.0333333333333333	0.0686775071665694
AY07.3.5	AY07	YEL	62.4	7.69	1.613	26131240	0.095945	2507161.8218	0.0333333333333333	0.0453463110556701
AY07.3.6	AY07	YEL	62.7	7.68	1.62	20511319	0.09288	1905091.30872	0.0333333333333333	0.0344568357429152
AY07.3.7	AY07	YEL	63	7.69	1.619	32143381	0.13479	4332606.32499	0.0333333333333333	0.0783625980526887
AY07.3.8	AY07	YEL	63.5	7.67	1.612	26940920	0.09878	2661224.0776	0.0333333333333333	0.0481327905372495
AY08.0.3	AY08	YEL	76	7.932355556	1.46	1660427	0.076445	126931.342015	0.0416666666666667	0.00298219607333382
AY08.0.4	AY08	YEL	57.6	7.354933333	1.48	2499041	0.085075	212605.913075	0.0416666666666667	0.00499508245225115
AY08.0.5	AY08	YEL	65.3	8.324177778	1.46	4611857	0.070545	325343.452065	0.0416666666666667	0.00764380136403549
AY08.0.6	AY08	YEL	81.5	8.0664	1.43	529078	0.08963	47421.26114	0.0416666666666667	0.00111414168100053
AY08.0.8	AY08	YEL	85.1	7.994222222	1.46	2206357	0.08676	191423.53332	0.0416666666666667	0.00449741175306512
AY08.1.2	AY08	YEL	84.9	7.92	1.746	5173415	0.120145	621559.945175	0.0416666666666667	0.0146032776335369
AY08.1.3	AY08	YEL	69.8			1155654	0.087765	101425.97331	0.0416666666666667	0.00238295864943584
AY08.1.4	AY08	YEL	43.5			1534024	0.087185	133743.88244	0.0416666666666667	0.00314225371538145
AY08.1.5	AY08	YEL	63.5	8.15		4356823	0.08685	378390.07755	0.0416666666666667	0.0088901085070442
AY08.1.6	AY08	YEL	58.5	8.22		790622	0.112	88549.664	0.0416666666666667	0.00208043542346399
AY08.2.1	AY08	YEL	92.3	7.82	1.756	18864235	0.129725	2447162.885375	0.0416666666666667	0.0574950160592421
AY08.2.2	AY08	YEL	65.1	8.02		19062372	0.10131	1931208.90732	0.0416666666666667	0.0453729041919087
AY08.2.3	AY08	YEL	65.1	8.16	1.782	25021734	0.078885	1973839.48659	0.0416666666666667	0.0463744909086703
AY08.2.4	AY08	YEL	81.7	7.91	1.744	24263172	0.277035	6721747.85502	0.0416666666666667	0.1579245105343
AY08.2.5	AY08	YEL	69.7	8.02		22773061	0.077095	1755689.137795	0.0416666666666667	0.0412491443768738
AY08.2.6	AY08	YEL	61.8	7.51		24006501	0.10192	2446742.58192	0.0416666666666667	0.0574851412143597
AY08.2.7	AY08	YEL	57.4	7.48	1.635	22966840	0.11781	2705723.4204	0.0416666666666667	0.0635697821495551
AY08.3.1	AY08	YEL	90.8	7.98	1.722	48622839	0.138715	6744717.111885	0.0416666666666667	0.158464163125557
AY08.3.2	AY08	YEL	70	8.36	1.73	20401553	0.093205	1901526.747365	0.0416666666666667	0.0446755348939823
AY08.3.3	AY08	YEL	70.6	8.2		25026646	0.07531	1884756.71026	0.0416666666666667	0.0442815302454039
AY08.3.4	AY08	YEL	71.8	8.19		20330605	0.08112	1649218.6776	0.0416666666666667	0.0387476677259608
AY08.3.5	AY08	YEL	71.5	8.21	1.719	29925532	0.07546	2258180.64472	0.0416666666666667	0.0530549614039895
AY08.3.6	AY08	YEL	62	8.26	1.721	32330969	0.111435	3602801.530515	0.0416666666666667	0.0846462379325762
AY08.3.7	AY08	YEL	62.8	8.24	1.723	24980641	0.092565	2312333.034165	0.0416666666666667	0.0543272479850723
AY10.3.1	AY10	YEL	88.8	3.14	0.3076	56789540	0.597195	33914429.3403	1	1
AY11.0.1	AY11	YEL	65.5	3.220177778	0.02	736429	0.518065	381518.089885	0.0714285714285714	0.00554006108101472
AY11.1.2	AY11	YEL	43.3	3.84	0.2634	1863090	0.447895	834468.69555	0.0714285714285714	0.0121174006321304
AY11.1.3	AY11	YEL	51.2	3.51	0.3058	8050001	0.1711	1377355.1711	0.0714285714285714	0.0200007076478223
AY11.1.5	AY11	YEL	51.8	3.36	0.3284	595842	0.107205	63877.24161	0.0714285714285714	0.000927567603184439
AY11.1.6	AY11	YEL	33.7	6.36		464241	0.03393	15751.69713	0.0714285714285714	0.000228731917420085
AY11.2.1	AY11	YEL	83	2.88	0.594	3103456	0.35668	1106940.68608	0.0714285714285714	0.0160739927582256
AY11.2.2	AY11	YEL	47.5	3.67	0.276	32149228	0.375925	12085698.5359	0.0714285714285714	0.175497597285094
AY11.2.3	AY11	YEL	65.1	3.26	0.3774	20243493	0.41211	8342545.90023	0.0714285714285714	0.12114291585066
AY11.2.5	AY11	YEL	65.7	3.93	0.255	19161470	0.24826	4757026.5422	0.0714285714285714	0.0690772424860382
AY11.3.1	AY11	YEL	84.4	3.41		25411075	0.46593	11839782.17475	0.0714285714285714	0.171926622021503
AY11.3.2	AY11	YEL	48.5	4.7	0.2759	22677113	0.3221	7304298.0973	0.0714285714285714	0.106066419092157
AY11.3.3	AY11	YEL	79.9	3.94	0.1366	26798033	0.39571	10604249.63843	0.0714285714285714	0.153985334569427
AY11.3.4	AY11	YEL	33.9	3.61		21234810	0.11491	2440092.0171	0.0714285714285714	0.0354328121691561
AY11.3.5	AY11	YEL	47.5	3.65	0.2976	25710867	0.29994	7711717.44798	0.0714285714285714	0.111982594886167
AY12.1.2	AY12	YEL	66.2	7.11	1.883	838699	0.0977	81940.8923	0.5	0.466413209609071
AY12.1.3	AY12	YEL	68.9	7.06	1.869	915406	0.102405	93742.15143	0.5	0.533586790390929
LB01.3.1	LB01	GBD	63.9	6.78	1.644	27954109	0.11444	3199068.23396	1	1
LB02.3.1	LB02	GBD	56.3	7.13	1.035	25208327	0.272255	6863093.067385	1	1
LB04.3.1	LB04	GBD	61.8	7.02	1.623	32336651	0.09597	3103348.39647	1	1
LB07.3.1	LB07	GBD	52.7	6.78	1.595	15958527	0.09446	1507442.46042	1	1
LC02.3.1	LC02	GBD	56.8	7.94	0.8284	18504665	0.18536	3430024.7044	1	1
LC04.3.1	LC04	GBD	69	8.03	0.82	28273669	0.20073	5675373.57837	1	1
LC05.3.1	LC05	GBD	55.2	9.02		22061251	0.080205	1769422.636455	1	1
LD01.3.1	LD01	GBD	68.8	8.06	1.166	26732826	0.182575	4880745.70695	0.5	0.557883867749817
LD01.3.2	LD01	GBD	65.9	8.33	1.101	29099693	0.13292	3867931.19356	0.5	0.442116132250183
LE01.3.1	LE01	GBD	47.8	6.95	0.5694	22805075	0.192715	4394880.028625	0.333333333333333	0.564136790475545
LE01.3.2	LE01	GBD	44	7.29	0.5278	6639166	0.056975	378266.48285	0.333333333333333	0.0485551455761205
LE01.3.3	LE01	GBD	47	7.07	0.5692	17779703	0.169705	3017304.497615	0.333333333333333	0.387308063948335
LH02.3.1	LH02	GBD	54.8	7.02	1.758	23490298	0.16272	3822341.29056	0.5	0.522199594415779
LH02.3.2	LH02	GBD	55	7.81	1.763	30732450	0.1138	3497352.81	0.5	0.477800405584221
LH03.3.1	LH03	GBD	63.2	6.53	1.781	24097187	0.14991	3612409.30317	0.333333333333333	0.421206718813245
LH03.3.2	LH03	GBD	62.2	6.51	1.787	22589729	0.12147	2743974.38163	0.333333333333333	0.319947256469455
LH03.3.3	LH03	GBD	47.1	6.95	1.773	23369123	0.094995	2219949.839385	0.333333333333333	0.2588460247173
LP01.3.1	LP01	GBD	41.3	7.03	0.5217	19597933	0.03778	740409.90874	1	1
