Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results	Substrate
megahit-co__c005929_7	2.4.1.18:14	GH13_9(1-227)	GH13_e200(1-227)	CBM48+GH13_9	3	GH13_9	alpha-glucan
megahit-co__c005944_2	-	GH179(25-181)	GH179_e0(26-181)	-	2	GH179_e0	chitin
megahit-co__c005945_3	-	CBM85(720-840)+GH10(909-1230)	GH10_e150(930-1225)	GH10	3	CBM85|GH10_e150	-
megahit-co__c005954_2	-	-	-	GT2	1	-	-
megahit-co__c005959_16	-	GH5(53-378)	GH39_e1(98-388)	GH0	3	GH39_e1	-
megahit-co__c005959_17	-	-	-	GT2	1	-	-
megahit-co__c005959_54	-	GT4(207-362)	GT4_e2146(222-360)	GT4	3	GT4_e2146	-
megahit-co__c005959_61	-	-	-	CBM50	1	-	-
megahit-co__c005961_2	-	CBM67(160-325)	CBM67_e28(161-326)	GH78	3	CBM67_e28	rhamnose
megahit-co__c005961_3	3.1.1.73:2;3.2.1.40:8	GH78(61-594)	GH78_e80(63-594)	GH78	3	GH78_e80	-;alpha-rhamnoside
megahit-co__c005961_4	-	-	-	CE20	1	-	-
megahit-co__c005976_3	-	GT9(69-277)	GT9_e74(68-281)	GT9	3	GT9_e74	-
megahit-co__c005979_18	-	-	-	GT22	1	-	-
megahit-co__c005984_2	-	-	-	GT2	1	-	-
megahit-co__c005986_4	-	GH177(71-437)	GH177_e11(71-437)	GH177	3	GH177_e11	host glycan
megahit-co__c005991_1	-	GT51(1-80)	GT51_e106(1-79)	GT51	3	GT51_e106	-
megahit-co__c006009_1	-	-	GH23_e1281(1-103)	-	1	-	-
megahit-co__c006010_1	-	-	-	GT0	1	-	-
megahit-co__c006018_1	-	-	GT2(7-127)	-	1	-	-
megahit-co__c006021_2	-	-	GH32_e229(166-287)	CBM0	2	GH32_e229	fructan
megahit-co__c006024_2	-	GT26(60-232)	GT26_e105(61-232)	GT26	3	GT26_e105	-
megahit-co__c006025_1	-	GT2(87-339)	GT2(87-339)	AAN66911.1+GT2	3	GT2	-
megahit-co__c006037_1	-	-	-	GH38	1	-	-
megahit-co__c006051_2	-	-	-	GT4	1	-	-
megahit-co__c006054_1	-	-	-	GH5_11	1	-	-
megahit-co__c006080_2	-	-	-	GT0	1	-	-
megahit-co__c006084_4	-|-	GT4(649-779)	GT4_e1037(252-379)+GT4_e1037(653-787)	GT4	3	GT4_e1037|GT4_e1037	-
megahit-co__c006092_1	3.2.1.52:18	GH20(93-419)	GH20_e12(91-419)	GH20	3	GH20_e12	host glycan
megahit-co__c006093_1	3.2.1.52:18	GH20(14-264)	GH20_e12(11-264)	GH20	3	GH20_e12	host glycan
megahit-co__c006111_2	-	GH66(2-557)	GH66_e4(1-557)	GH66	3	GH66_e4	alpha-glucan
megahit-co__c006111_3	-	GH15(8-349)	GH15_e23(9-350)	GH15	3	GH15_e23	-
megahit-co__c006115_27	-	-	-	GT106	1	-	-
megahit-co__c006137_1	-	GT5(3-450)	GT5_e4(2-450)	AAM73230.1+GT5	3	GT5_e4	-
megahit-co__c006137_4	-	GT117(15-230)	GT117_e5(17-218)	-	2	GT117_e5	-
megahit-co__c006138_132	-	GH38(6-261)	GH38_e13(7-258)	GH38	3	GH38_e13	-
megahit-co__c006138_45	-	-	-	GT4	1	-	-
megahit-co__c006139_1	-	-	-	GT51	1	-	-
megahit-co__c006146_1	-	-	-	GT2	1	-	-
megahit-co__c006169_9	-	-	-	GT50	1	-	-
megahit-co__c006174_48	-	-	-	GT33	1	-	-
megahit-co__c006178_1	-	-	-	GH23	1	-	-
megahit-co__c006179_15	-	AA1(143-340)	AA1_e90(120-340)	-	2	AA1_e90	lignin
megahit-co__c006179_5	-	-	-	CBM50+CE4	1	-	-
megahit-co__c006189_14	-	GH179(17-266)	GH179_e1(17-213)	-	2	GH179_e1	chitin
megahit-co__c006189_8	-	-	-	GH13_11	1	-	-
megahit-co__c006195_27	-	GH13_48(40-347)	GH13_e116(38-347)	GH13	3	GH13_48	-
megahit-co__c006195_4	-	-	-	GH13_23	1	-	-
megahit-co__c006195_58	-	-	-	GT2	1	-	-
megahit-co__c006207_3	-	-	GT4_e7206(191-316)	GT0	2	GT4_e7206	-
megahit-co__c006213_6	-	-	-	GT1	1	-	-
megahit-co__c006214_1	-	-	GT1_e6(1-260)	GT1	2	GT1_e6	-
megahit-co__c006229_9	-	-	GT2(1-142)	GT2	2	GT2	-
megahit-co__c006231_1	-	CBM2(1-84)	CBM2_e244(2-84)	-	2	CBM2_e244	cellulose
megahit-co__c006231_2	-|3.2.1.4:3;3.2.1.151:2;3.2.1.176:20;3.2.1.-:3	CBM2(37-136)+GH48(228-852)	CBM2_e244(37-136)+GH48_e1(228-852)	CBM2+GH48	3	CBM2_e244|GH48_e1	-;cellulose
megahit-co__c006231_3	-|-	GH8(54-415)+CBM2(506-605)	GH8_e61(54-414)+CBM2_e6(506-605)	CBM2+GH8	3	GH8_e61|CBM2_e6	cellulose
megahit-co__c006231_4	-	GH8(54-415)	GH8_e61(54-414)	GH8	3	GH8_e61	-
megahit-co__c006238_1	-	-	-	GT4	1	-	-
megahit-co__c006274_3	-	GH179(24-174)	GH179_e0(24-173)	-	2	GH179_e0	chitin
megahit-co__c006289_5	-	-	-	GH28	1	-	-
megahit-co__c006303_3	-	-	GT2(1-108)	GT2	2	GT2	-
megahit-co__c006318_1	-	-	-	GT1	1	-	-
megahit-co__c006325_36	-	-	-	GT119	1	-	-
megahit-co__c006327_3	-	GT2(4-119)	GT2(4-123)	GT2	3	GT2	-
megahit-co__c006345_3	-	GT2(16-152)	GT2(16-171)	GT2	3	GT2	-
megahit-co__c006349_1	-	-	-	GH1	1	-	-
megahit-co__c006377_3	-	GT4(195-342)	GT4_e7117(195-342)	AAM73101.1+GT4	3	GT4_e7117	-
megahit-co__c006379_1	-	-	-	GT2	1	-	-
megahit-co__c006381_2	-	GT4(193-329)	GT4_e1943(195-329)	GT4	3	GT4_e1943	-
megahit-co__c006388_20	-	GT2(45-161)	GT2(43-326)	GT2	3	GT2	-
megahit-co__c006388_7	-	GT2(20-185)	GT2(20-184)	GT2	3	GT2	-
megahit-co__c006404_1	-	-	-	GT0	1	-	-
megahit-co__c006406_2	-	-	-	GT50	1	-	-
megahit-co__c006415_3	-	GH130_8(125-241)	GH130_e14(125-241)	GH130_8	3	GH130_8	beta-mannan
megahit-co__c006417_1	5.4.99.16:7	GH13_16(39-394)	GH13_e0(39-394)	GH13_16	3	GH13_16	alpha-glucan
megahit-co__c006437_1	-	PL5_1(24-336)	PL5_e12(24-335)	PL5_1	3	PL5_1	-
megahit-co__c006440_7	-	GT105(92-221)	GT105_e10(92-221)	GT105	3	GT105_e10	-
megahit-co__c006440_8	-	-	-	CBM35+CBM47	1	-	-
megahit-co__c006444_10	-	-	-	GT2	1	-	-
megahit-co__c006444_11	-	-	-	GT22	1	-	-
megahit-co__c006446_22	-	-	-	GT2	1	-	-
megahit-co__c006446_44	-	-	-	GH1	1	-	-
megahit-co__c006458_103	-	GH127(2-504)	GH127_e8(2-504)	GH127	3	GH127_e8	-
megahit-co__c006458_104	-	GH51_1(25-501)	GH51_e79(26-499)	GH51_1	3	GH51_1	-
megahit-co__c006458_105	-	-	-	GH43_26	1	-	-
megahit-co__c006458_21	-	-	-	GT4	1	-	-
megahit-co__c006458_95	-	-	-	GT1	1	-	-
megahit-co__c006463_1	-	GH109(63-213)	GH109_e10(64-214)	-	2	GH109_e10	host glycan
megahit-co__c006480_8	-	GT4(196-335)	GT4_e7921(198-334)	GT4	3	GT4_e7921	-
megahit-co__c006491_1	-	-	GH63_e18(37-317)	GH63	2	GH63_e18	-
megahit-co__c006521_2	-	-	-	GT30	1	-	-
megahit-co__c006537_48	-	GH171(23-388)	GH171_e17(23-388)	GH171	3	GH171_e17	peptidoglycan
megahit-co__c006542_1	-	GT2(16-138)	GT2(16-240)	GT2	3	GT2	-
megahit-co__c006556_2	-	GH13_4(153-547)	GH13_e129(153-547)	GH13_4	3	GH13_4	-
megahit-co__c006556_3	-	GT4(257-427)	GT4_e1540(258-424)	GT4	3	GT4_e1540	-
megahit-co__c006556_5	3.2.1.1:4;3.2.1.141:34|3.2.1.141:4	GH13_10(443-764)	CBM48_e0(308-416)+GH13_e92(443-764)	CBM48+GH13_10	3	CBM48_e0|GH13_10	alpha-glucan
megahit-co__c006566_2	-	GH179(59-185)	GH177_e4(39-187)	-	2	GH177_e4	host glycan
megahit-co__c006570_1	-	-	-	GH1	1	-	-
megahit-co__c006575_15	-	-	-	GT33	1	-	-
megahit-co__c006575_16	-	CE1(11-257)	-	-	1	-	-
megahit-co__c006579_2	-	GH103(66-359)	GH103_e54(66-359)	GH103	3	GH103_e54	peptidoglycan
megahit-co__c006615_5	-	-	-	GT2	1	-	-
megahit-co__c006618_1	-	GH57_3(6-225)	GH57_e4(6-225)	GH57_3	3	GH57_3	-
megahit-co__c006618_2	-	GT4(308-452)	GT4_e4120(308-450)	GT4	3	GT4_e4120	-
megahit-co__c006618_3	-	GH133(25-381)	GH133_e2(26-381)	GH133	3	GH133_e2	alpha-glucan
megahit-co__c006619_18	-	-	-	CBM13	1	-	-
megahit-co__c006625_1	-	-	-	GH1	1	-	-
megahit-co__c006626_2	-	-	-	GH65	1	-	-
megahit-co__c006643_5	-	-	CBM40_e8(1256-1415)	-	1	-	host glycan
megahit-co__c006648_1	-	AA3_2(9-375)	-	-	1	-	-
megahit-co__c006667_12	-	-	-	GH1	1	-	-
megahit-co__c006674_10	-	-	-	CBM35	1	-	-
megahit-co__c006674_5	-	-	-	CE4	1	-	-
megahit-co__c006676_42	-	-	-	GH0	1	-	-
megahit-co__c006679_1	-	-	-	GT2	1	-	-
megahit-co__c006693_1	-	GT30(59-237)	GT30_e10(59-237)	GT30	3	GT30_e10	-
megahit-co__c006703_1	-	-	-	GT1	1	-	-
megahit-co__c006706_1	-	GH24(9-150)	GH24_e238(9-150)	GH24	3	GH24_e238	peptidoglycan
megahit-co__c006712_12	-	CE1(39-250)	-	-	1	-	-
megahit-co__c006719_1	-	CE13(67-250)	-	-	1	-	-
megahit-co__c006721_3	-	GH179(19-344)	GH179_e0(19-274)	-	2	GH179_e0	chitin
megahit-co__c006722_1	-	-	-	GT4	1	-	-
megahit-co__c006723_4	-	GH103(66-361)	GH103_e85(66-361)	GH103	3	GH103_e85	peptidoglycan
megahit-co__c006732_1	-	-	CBM35_e177(126-225)	CBM35+PL1_5+PL9_1	2	CBM35_e177	xylan
megahit-co__c006748_5	-	-	-	GT30	1	-	-
megahit-co__c006805_1	-	-	-	GT4	1	-	-
megahit-co__c006806_2	-	GT2(2-218)	GT2(1-218)	GT2	3	GT2	-
megahit-co__c006810_1	-	-	-	GH39	1	-	-
megahit-co__c006814_2	-	-	GH17_e51(1-230)	GH17	2	GH17_e51	-
megahit-co__c006822_5	-	GT115(4-250)	GT115_e1(4-250)	GT115	3	GT115_e1	-
megahit-co__c006825_7	-	-	-	GT31	1	-	-
megahit-co__c006835_2	3.2.1.177:4	GH31_4(1-210)	GH31_e94(1-210)	GH31_4	3	GH31_4	xyloglucan
megahit-co__c006837_1	-	-	-	GH3	1	-	-
megahit-co__c006853_9	-	-	-	GT2	1	-	-
megahit-co__c006861_1	-	-	GH33_e127(1-150)	GH33	2	GH33_e127	host glycan
megahit-co__c006862_1	-	-	-	GH3	1	-	-
megahit-co__c006867_4	-	-	-	GT1	1	-	-
megahit-co__c006867_5	-	GT2(7-167)	GT2(7-125)	GT2	3	GT2	-
megahit-co__c006870_5	-	-	-	GT2	1	-	-
megahit-co__c006880_11	-	-	-	GH1	1	-	-
megahit-co__c006880_16	-	-	-	CBM50	1	-	-
megahit-co__c006880_7	-	-	CE14_e91(20-111)	-	1	-	-
megahit-co__c006880_9	-|-	CBM50(30-72)	CBM50_e2038(30-72)+CBM50_e2038(78-120)	CBM50	3	CBM50_e2038|CBM50_e2038	chitin
megahit-co__c006901_20	-	AA3_2(19-639)	AA3_e86(13-643)	AA3	3	AA3_2	-
megahit-co__c006923_1	-	GT66(11-513)	GT66_e38(2-554)	GT66	3	GT66_e38	-
megahit-co__c006924_13	-	-	-	GT4	1	-	-
megahit-co__c006935_2	-	AA1(43-240)	AA1_e65(52-259)	-	2	AA1_e65	lignin
megahit-co__c006942_1	-	-	-	GT1	1	-	-
megahit-co__c006944_1	-	-	-	GH23	1	-	-
megahit-co__c006957_109	2.4.1.1:9	GT35(114-610)	GT35_e7(114-632)	GT35	3	GT35_e7	-
megahit-co__c006957_129	-	GH36(50-449)	GH36_e80(94-438)	GH36	3	GH36_e80	-
megahit-co__c006957_130	-	-	-	GH2_10	1	-	-
megahit-co__c006957_32	-	-	-	GH84	1	-	-
megahit-co__c006957_8	-|-	CBM67(115-292)+GH78(319-835)	CBM67_e35(134-294)+GH78_e58(319-835)	GH78	3	CBM67_e35|GH78_e58	rhamnose
megahit-co__c006967_1	-	CE3(36-223)	CE3_e24(36-223)	CE3	3	CE3_e24	-
megahit-co__c006972_16	3.2.1.18:6	GH33(34-381)	GH33_e121(41-381)	GH33	3	GH33_e121	host glycan
megahit-co__c006972_17	-	-	-	CBM47	1	-	-
megahit-co__c006972_7	-	-	-	GT4	1	-	-
megahit-co__c006974_4	-	-	-	GT119	1	-	-
megahit-co__c006985_2	-	GT4(2-71)	GT4_e907(2-82)	-	2	GT4_e907	-
megahit-co__c006996_1	-	GH78(1-228)	GH78_e82(1-226)	GH78	3	GH78_e82	-
megahit-co__c006996_2	-	CBM67(270-419)	CBM67_e9(270-419)	CBM67	3	CBM67_e9	rhamnose
megahit-co__c006999_9	-	-	-	GH23	1	-	-
megahit-co__c007031_11	-	-	CBM50_e135(286-330)	CBM50	2	CBM50_e135	chitin
megahit-co__c007032_1	-	-	-	AAM73306.1+GH13_3	1	-	-
megahit-co__c007032_2	5.4.99.16:7	GH13_16(39-392)	GH13_e0(39-392)	AAM73305.1+GH13_16	3	GH13_16	alpha-glucan
megahit-co__c007033_1	-	-	-	GH57	1	-	-
megahit-co__c007033_2	-	-	-	CBM38	1	-	-
megahit-co__c007033_4	-	CE6(112-218)	CE20_e8(45-284)	CE0	3	CE20_e8	xyloglucan
megahit-co__c007046_11	-	-	-	GH28	1	-	-
megahit-co__c007067_3	-	-	-	GH29	1	-	-
megahit-co__c007070_1	-	-	-	GH13	1	-	-
megahit-co__c007076_2	-	-	-	GH0	1	-	-
megahit-co__c007089_9	-	GH3(100-323)	GH3_e195(101-324)	GH3	3	GH3_e195	-
megahit-co__c007097_1	-	GH103(45-183)	GH103_e29(46-183)	GH103	3	GH103_e29	peptidoglycan
megahit-co__c007097_2	2.4.1.129:2	GT119(34-375)	GT119_e146(37-374)	GT119	3	GT119_e146	peptidoglycan
megahit-co__c007100_2	-	-	-	GT2	1	-	-
megahit-co__c007119_1	-	-	-	GT22	1	-	-
megahit-co__c007121_13	-	GH191(71-337)	GH191_e19(71-337)	AAB99489.1+GH191	3	GH191_e19	-
megahit-co__c007121_66	-	GT66(36-845)	GT66_e24(37-829)	AAB99543.1+GT66	3	GT66_e24	-
megahit-co__c007128_14	-	GT28(205-355)	GT28_e14(205-355)	GT28	3	GT28_e14	-
megahit-co__c007128_27	-	GT81(3-121)	GT2(7-127)	GT0	3	GT2	-
megahit-co__c007128_48	-	CE4(112-218)	CE4_e220(112-218)	CE4	3	CE4_e220	-
megahit-co__c007128_50	-	-	-	CE4	1	-	-
megahit-co__c007132_2	-	-	-	GT1	1	-	-
megahit-co__c007148_2	-	-	-	GT51	1	-	-
megahit-co__c007163_3	-	CE4(37-165)	-	-	1	-	-
megahit-co__c007163_31	-	PL31(51-192)	-	-	1	-	-
megahit-co__c007163_7	-	CBM57(45-153)	CBM57_e31(49-153)	-	2	CBM57_e31	host glycan
megahit-co__c007177_1	-	-	-	GT51	1	-	-
megahit-co__c007181_37	-	-	-	GH23	1	-	-
megahit-co__c007181_64	-	-	-	GT121	1	-	-
megahit-co__c007187_1	3.2.1.18:2	GH181(27-382)	GH181_e0(28-382)	GH181	3	GH181_e0	host glycan
megahit-co__c007190_2	-	-	-	GH28	1	-	-
megahit-co__c007194_2	-	GH177(24-223)	-	-	1	-	-
megahit-co__c007199_42	3.1.1.72:4	CE7(1-314)	CE7_e23(1-313)	CE7	3	CE7_e23	xylan
megahit-co__c007199_44	3.2.1.32:2	GH26(100-252)	GH26_e74(100-254)	AAB70868.1+GH26	3	GH26_e74	xylan
megahit-co__c007201_1	-	GT2(12-192)	GT2(13-235)	GT2	3	GT2	-
megahit-co__c007214_5	-	CE1(39-242)	CE1_e69(46-240)	-	2	CE1_e69	-
megahit-co__c007244_2	-	CE11(4-275)	CE11_e43(4-274)	CE11	3	CE11_e43	exo-polysaccharide
megahit-co__c007272_3	-	-	-	GH13	1	-	-
megahit-co__c007274_2	-	GT4(52-200)	GT4_e1515(52-197)	GT4	3	GT4_e1515	-
megahit-co__c007276_2	3.2.1.68:15	GH13_11(1-190)	GH13_e48(1-191)	CBM48+GH13_11	3	GH13_11	alpha-glucan
megahit-co__c007289_19	-	-	-	CBM50	1	-	-
megahit-co__c007290_5	-	-	GT4_e655(188-305)	GT4	2	GT4_e655	-
megahit-co__c007292_2	-	GT4(14-119)	GT4_e1818(1-120)	GT4	3	GT4_e1818	-
megahit-co__c007294_8	-	GT4(249-383)	GT4_e3993(248-381)	GT4	3	GT4_e3993	-
megahit-co__c007294_9	-	-	GT4_e3951(202-337)	GT4	2	GT4_e3951	-
megahit-co__c007306_25	3.2.1.1:2|-	GH13_32(66-336)+CBM20(502-589)	GH13_e23(66-336)+CBM20_e66(503-588)	CBM20+GH13_32	3	GH13_32|CBM20_e66	alpha-glucan
megahit-co__c007306_42	-	GH188(4-180)	GH179_e0(35-193)	-	2	GH179_e0	chitin
megahit-co__c007306_50	-	GT119(22-372)	GT119_e171(22-371)	GT119	3	GT119_e171	peptidoglycan
megahit-co__c007306_6	-	GT4(209-360)	GT4_e1648(210-359)	GT4	3	GT4_e1648	-
megahit-co__c007306_64	-	-	-	CBM50	1	-	-
megahit-co__c007307_19	-	GH77(9-492)	GH77_e5(9-493)	GH77	3	GH77_e5	alpha-glucan
megahit-co__c007307_20	2.4.1.1:156	GT35(117-809)	GT35_e0(117-809)	GT35	3	GT35_e0	-
megahit-co__c007307_21	-|2.4.1.18:42	CBM48(22-102)+GH13_9(169-329)	CBM48_e169(23-101)+GH13_e442(169-328)	CBM48+GH13_9	3	CBM48_e169|GH13_9	alpha-glucan
megahit-co__c007314_1	-	-	GH33_e127(58-179)	GH33	2	GH33_e127	host glycan
megahit-co__c007317_3	-	-	-	CBM73	1	-	-
megahit-co__c007321_1	-	GT119(60-313)	GT119_e44(33-315)	GT119	3	GT119_e44	peptidoglycan
megahit-co__c007327_2	-	-	-	GT2	1	-	-
megahit-co__c007343_2	-	GH105(77-296)	GH105_e22(71-296)	GH105	3	GH105_e22	-
megahit-co__c007344_2	-	-	-	GT4	1	-	-
megahit-co__c007345_2	-	GT4(190-341)	GT4_e1968(190-340)	GT4	3	GT4_e1968	-
megahit-co__c007348_10	-	-	-	GT4	1	-	-
megahit-co__c007348_8	-	-	-	GT9	1	-	-
megahit-co__c007406_18	-	-	GT4_e7521(229-355)	GT4	2	GT4_e7521	-
megahit-co__c007411_13	-	GT4(193-339)	GT4_e596(196-339)	GT4	3	GT4_e596	-
megahit-co__c007411_2	-	-	GT4_e3818(163-311)	GT4	2	GT4_e3818	-
megahit-co__c007411_3	-	GT2(3-185)	GT2(24-170)	-	2	GT2	-
megahit-co__c007411_4	-	GT4(243-328)	GT4_e245(244-328)	GT4	3	GT4_e245	-
megahit-co__c007411_7	-	GT2(6-153)	GT2(6-153)	GT2	3	GT2	-
megahit-co__c007447_21	-	GH13(338-705)	GH13_e270(343-705)	GH13	3	GH13_e270	-
megahit-co__c007447_26	-	-	-	GT50	1	-	-
megahit-co__c007447_33	-	GT119(3-363)	GT119_e135(5-359)	GT119	3	GT119_e135	peptidoglycan
megahit-co__c007463_5	-	GT25(9-178)	GT25_e28(10-179)	GT25	3	GT25_e28	-
megahit-co__c007463_8	-	GH5(48-343)	GH5_e110(73-341)	GH5	3	GH5_e110	-
megahit-co__c007463_9	-	CE6(105-203)	CE6_e10(105-202)	CE6	3	CE6_e10	xylan
megahit-co__c007473_85	-	-	-	CBM13	1	-	-
megahit-co__c007480_1	-	GH23(101-207)	GH23_e732(101-205)	GH23	3	GH23_e732	-
megahit-co__c007494_2	-	-	-	GT4	1	-	-
megahit-co__c007505_4	-	-	-	CE12	1	-	-
megahit-co__c007505_5	3.2.1.132:15	GH8(74-418)	GH8_e23(74-418)	CBM12+GH8	3	GH8_e23	chitosan
megahit-co__c007511_2	-	-	GT4_e6210(236-379)	GT4	2	GT4_e6210	-
megahit-co__c007525_1	-	GH20(2-232)	GH20_e44(1-232)	GH20	3	GH20_e44	-
megahit-co__c007561_2	-	-	-	GH6	1	-	-
megahit-co__c007571_1	3.2.1.23:35	GH2_10(38-840)	GH2_e1(39-840)	GH2_10	3	GH2_10	beta-galactan
megahit-co__c007571_3	3.2.1.23:13	GH42(5-390)	GH42_e1(5-389)	AAC24217.1+GH42	3	GH42_e1	arabinogalactan
megahit-co__c007571_36	2.4.1.319:4;2.4.1.320:2	GH130_2(26-324)	GH130_e13(26-324)	GH130_2	3	GH130_2	beta-mannan
megahit-co__c007571_37	3.2.1.78:15|3.2.1.78:14	GH5_7(54-351)+CBM27(504-661)	GH5_e4(54-351)+CBM27_e4(504-661)	CBM27+GH5_7	3	GH5_7|CBM27_e4	beta-mannan
megahit-co__c007571_39	-	GT81(2-244)	GT81_e37(2-244)	GT81	3	GT81_e37	-
megahit-co__c007571_41	-	GH38(5-220)	GH38_e2(4-239)	GH38	3	GH38_e2	-
megahit-co__c007571_79	3.2.1.4:5;3.2.1.8:29|-|-	GH10(1-246)+CBM9(284-422)+CBM9(437-612)	GH10_e141(1-245)+CBM9_e31(268-422)+CBM9_e31(437-612)	CBM22+CBM9+GH10	3	GH10_e141|CBM9_e31|CBM9_e31	beta-glucan;cellulose;xylan
megahit-co__c007574_3	-	-	-	GH57_6	1	-	-
megahit-co__c007575_1	-	-	-	GH15	1	-	-
megahit-co__c007581_2	-	GT83(30-362)	GT83_e5(67-225)	-	2	GT83_e5	-
megahit-co__c007593_26	-	-	-	CE8	1	-	-
megahit-co__c007593_39	-	GT5(2-454)	GT5_e58(2-454)	GT5	3	GT5_e58	-
megahit-co__c007597_1	-	GH13_38(2-239)	GH13_e269(2-239)	GH13_38	3	GH13_38	-
megahit-co__c007624_1	-	-	-	GH13_30	1	-	-
megahit-co__c007624_9	-|-	GH16_13(42-285)+CBM16(298-408)	GH16_e203(42-285)+CBM16_e23(298-408)	CBM16+GH16_13	3	GH16_13|CBM16_e23	cellulose
megahit-co__c007632_1	-	-	-	GH13_16	1	-	-
megahit-co__c007634_2	-	GT5(1-529)	GT5_e62(1-529)	GT5	3	GT5_e62	-
megahit-co__c007634_3	-	-	-	GH13_11	1	-	-
megahit-co__c007635_1	-	GT119(21-363)	GT119_e82(23-361)	GT119	3	GT119_e82	peptidoglycan
megahit-co__c007636_30	-	-	GT4_e2185(228-369)	GT4	2	GT4_e2185	-
megahit-co__c007636_36	-	-	-	GT4	1	-	-
megahit-co__c007661_1	-	GT4(1-140)	GT4_e3800(1-142)	GT4	3	GT4_e3800	-
megahit-co__c007661_3	-	-	GT2(8-128)	GT2	2	GT2	-
megahit-co__c007702_1	-	GT119(33-258)	GT119_e47(36-261)	GT119	3	GT119_e47	peptidoglycan
megahit-co__c007705_6	-	-	GT2(3-224)	GT2	2	GT2	-
megahit-co__c007713_30	-	-	-	CE4	1	-	-
megahit-co__c007713_41	-	-	-	CE8	1	-	-
megahit-co__c007715_1	-	-	-	GH71	1	-	-
megahit-co__c007722_1	-	GT83(94-416)	-	-	1	-	-
megahit-co__c007755_15	-	-	-	GT66	1	-	-
megahit-co__c007758_1	-	CE1(62-300)	CE1_e74(64-227)	-	2	CE1_e74	-
megahit-co__c007763_3	-	-	-	GT57	1	-	-
megahit-co__c007775_5	-	-	-	GT2	1	-	-
megahit-co__c007777_1	-	GT119(18-246)	GT119_e64(19-246)	GT119	3	GT119_e64	peptidoglycan
megahit-co__c007810_25	-	-	-	GH36	1	-	-
megahit-co__c007827_7	-	GH191(70-195)	GH191_e21(68-197)	GH191	3	GH191_e21	-
megahit-co__c007831_2	-	-	-	CBM50	1	-	-
megahit-co__c007846_1	-	GT4(189-337)	GT4_e5612(188-335)	GT4	3	GT4_e5612	-
megahit-co__c007849_1	-	GT9(67-281)	GT9_e48(66-286)	GT9	3	GT9_e48	-
megahit-co__c007850_159	-	GT30(33-202)	GT30_e106(33-201)	GT30	3	GT30_e106	-
megahit-co__c007850_161	-	GT19(5-361)	GT19_e29(5-360)	GT19	3	GT19_e29	-
megahit-co__c007850_166	-|-	GH166(44-256)+CE21(480-734)	GH166_e2(44-256)+CE21_e1(480-734)	CE21+GH166	3	GH166_e2|CE21_e1	galactosaminogalactan
megahit-co__c007850_168	-	GT4(310-469)	GT4_e324(313-470)	GT4	3	GT4_e324	-
megahit-co__c007850_279	-	-	-	GH27	1	-	-
megahit-co__c007850_387	2.4.1.266:2	GT81(119-318)	GT81_e4(115-317)	GT81	3	GT81_e4	-
megahit-co__c007850_441	-	-	-	GH13_31	1	-	-
megahit-co__c007850_47	-	-	-	GH28	1	-	-
megahit-co__c007850_471	-	-	-	GT2	1	-	-
megahit-co__c007850_474	-	-	-	GH39	1	-	-
megahit-co__c007850_483	-	-	-	GH28	1	-	-
megahit-co__c007850_541	-	-	-	GT4	1	-	-
megahit-co__c007850_566	-	AA4(20-242)	AA4_e3(20-251)	-	2	AA4_e3	lignin
megahit-co__c007850_704	-	GH23(459-585)	GH23_e420(461-585)	GH23	3	GH23_e420	-
megahit-co__c007861_1	-|-	-	GT4_e3112(173-295)+GT4_e3112(572-716)	GT4	2	GT4_e3112|GT4_e3112	-
megahit-co__c007864_2	-	-	-	AA3_2+AA3_2	1	-	-
megahit-co__c007869_4	-	CBM50(468-509)	CBM50_e794(468-509)	CBM50	3	CBM50_e794	chitin
megahit-co__c007875_1	-	GT2(64-251)	GT2(1-203)	GH17+GT2	3	GT2	-
megahit-co__c007878_25	-	-	-	GH131	1	-	-
megahit-co__c007881_2	-	GH109(5-370)	GH109_e7(5-370)	-	2	GH109_e7	host glycan
megahit-co__c007883_10	-	GT51(51-213)	GT51_e249(53-200)	GT51	3	GT51_e249	-
megahit-co__c007888_2	-	-	-	GT4	1	-	-
megahit-co__c007905_1	-	-	-	GT1	1	-	-
megahit-co__c007906_10	-	-	-	GT51	1	-	-
megahit-co__c007909_1	-	-	-	CE8	1	-	-
megahit-co__c007938_4	-	-	-	GT2	1	-	-
megahit-co__c007938_5	-	-	-	GT2	1	-	-
megahit-co__c007979_4	-	GT9(5-142)	GT9_e521(1-142)	GT9	3	GT9_e521	-
megahit-co__c007981_4	-	AA6(55-148)	-	-	1	-	-
megahit-co__c007984_1	-	-	-	GH1	1	-	-
megahit-co__c007990_29	-	-	-	GH13	1	-	-
megahit-co__c007997_10	-	PL7_3(27-235)	PL7_e31(27-235)	PL7_3	3	PL7_3	-
megahit-co__c007997_3	-	GT4(171-308)	GT4_e3636(171-306)	GT4	3	GT4_e3636	-
megahit-co__c007997_4	-	CE4(2-115)	-	-	1	-	-
megahit-co__c008002_6	-	-	-	GH39	1	-	-
megahit-co__c008013_4	3.2.1.14:18	GH18(405-864)	GH18_e224(405-866)	CBM5+GH18	3	GH18_e224	chitin
megahit-co__c008015_2	-	CE4(81-186)	CE4_e372(81-180)	CE4	3	CE4_e372	-
megahit-co__c008019_14	-	-	-	GT4	1	-	-
