Standard	WorkbookSheet	SourceRow	ManuscriptSection	ItemNumber	TopLevelItem	Item	Recommendation	ItemSource	AdditionalGuidance
STREAMS	STREAMS_final	26	Methods	4.3	4	Experiments & sample processing	Describe any modifications or experiments performed on the samples (e.g., culturing, flow sorting, size selection, stable-isotope probing, surface sterilization, homogenization, filtering, purification of viral fraction, sub-sampling, density selection).	MIxS (e.g., https://doi.org/10.1093/gigascience/giae071 ); STREAMS	Describe laboratory experiments performed with the samples and include experimental condition information (e.g., pH, temperature, anaerobic vs. aerobic). Indicate if the any culturing was done (and the relevant culturing conditions) or if the experiment was culture-independent. Describe any modifications made to the sample (e.g., for stable-isotope probing [SIP] experiments). Describe in detail how the samples were prepared for omics analysis (e.g., column used for metabolomics). Provide a reference to complete lab protocols if previously published elsewhere such as on protocols.io. Describe any modifications to lab and kit protocols and the reason for protocol modifications. Include instrument and reagent information (catalogue #s, vendor) if applicable.
STREAMS	STREAMS_final	27	Methods	4.4	4	Library preparation	Describe how sequencing libraries were prepared.	STREAMS	Provide a reference to complete lab protocols if previously published elsewhere such as on protocols.io. Describe any modifications to lab and kit protocols and the reason for protocol modifications. Include instrument and reagent information (catalogue #s, vendor) if applicable.
STREAMS	STREAMS_final	28	Methods	4.5	4	Depletion, enrichment, & multiplexing	Describe in detail any methods used for nucleic acid depletion or enrichment (e.g., host depletion, rRNA depletion, polyA selection, sequence-based enrichment, polynucleic acid clamps).	Modified STORMS; MIxS (MIXS:0000038); NCBI SRA library_selection	Provide a reference to complete lab protocols if previously published elsewhere such as on protocols.io. Note any modifications of lab protocols and the reason for protocol modifications. Include nucleic acid sequences for primers or depletion/enrichment strategies if applicable. Include information on barcodes and how samples were multiplexed. Provide pre-sequencing amplification strategy and specific primer information when appropriate (MIXS:0000038). State which samples were and were not subjected to these methods. Include instrument and reagent information (catalogue #s, vendor).
STREAMS	STREAMS_final	29	Methods	4.6	4	Primer selection	Provide primer selection and nucleic acid amplification methods as well as the target variable region (if applicable).	MIxS: PCR primers (MIXS:0000046)	Provide a reference to complete lab protocols if previously published elsewhere such as on protocols.io. Note any modifications of lab protocols and the reason for protocol modifications. Reference the origin of the primers if they were previously developed. Provide the primer sequences in the Methods or Supplementary Information (Item 16.0).
STREAMS	STREAMS_final	30	Methods	5	5	Positive controls	Describe any positive controls (e.g., mock communities, spike-ins, standards) if used. Denote what stage(s) in the experiment these were used.	Modified STORMS	If used, should be deposited under guidance provided in Item 8.2. Indicate if these were processed separately or added directly to the samples and what each standard or positive control was designed to assess. Describe if the positive controls are commercially available or were developed in-house, referencing any relevant protocols, publications, or catalogue/vendor information. Provide justification if no controls were used. Describe the standards used for metabolomics and proteomics. Performance of the controls should be reported throughout the Methods (e.g., Item 7.1).
STREAMS	STREAMS_final	31	Methods	5.1	5	Negative controls	Describe any negative controls that were used throughout the experiment(s). Denote what stage(s) in the experiment these were used.	Modified STORMS	If used, should be deposited under guidance provided in Item 8.2. Negative controls/blanks are recommended to be included for as many steps as possible (e.g., sampling, culturing, extraction, PCR, kit assessment, library preparation, sequencing) to be used in the interpretations of contamination (Item 6.1) and the performance of the controls should be reported on (e.g., Item 7.1). Provide justification if no negative controls were used.
STREAMS	STREAMS_final	32	Methods	6	6	Quantification & quality assessments	Describe the methods used to assess sample quality as well as nucleic acid quantity (via spectrophotometry (e.g. NanoDrop) or fluorescence (e.g. Qubit)). Describe if and how RNA quality and nucleic acid fragment size were measured via e.g., a Bioanalyzer. Provide information on metabolite, and/or protein quantity and quality.	STREAMS	Provide a reference to complete lab protocols if previously published elsewhere such as on protocols.io. Note any modifications of lab protocols and the reason for protocol modifications. Provide any cutoffs used for sample exclusion based on quantity or quality. Include instrument and reagent information (catalogue #s, vendor).
STREAMS	STREAMS_final	33	Methods	6.1	6	Contaminant mitigation & identification	Provide any laboratory methods used to control for or identify contamination from the environment, reagents, or laboratory.	STORMS	Includes filtering of reagents, sterilization protocols, and other steps and laboratory methodologies utilized to minimize contamination. It is relevant to state whether the specimens of interest have low microbial load, which makes contamination especially relevant. Quality control of the data is described in Item 7.1.
STREAMS	STREAMS_final	34	Methods	6.2	6	Replication	Describe any biological or technical replicates included in the experiment, including which specific steps replicates were used for.	STORMS; MIxS: biological sample replicate (MIXS:0001226) & technical sample replicate (MIXS:0001227)	Replication may be biological (redundant biological specimens) or technical (aliquots taken at different stages of analysis) and throughout the study. Describe if and when replicates or their resulting data were pooled. Describe why certain replicates were included and include how they factor in to bioinformatic (Item 7.0) and statistical (Item 7.4) analyses. Provide justification if replicates were not included.
STREAMS	STREAMS_final	35	Methods	6.3	6	Sequencing methods	Describe the sequencing strategy or strategies (e.g., metagenome, metatranscriptome, amplicon sequencing; long-read or short-read); the sequencer(s), and sequencing methods/chemistry used.	MIxS: sequencing method (MIXS:0000050); NCBI SRA library_strategy, library_source, library_layout, platform, instrument_model	State the model(s) of sequencer(s) used (NCBI SRA platform & instrument_model). Include information on read length, sequencing depth per sample (average, standard deviation, and minimum for all samples), whether reads are paired (NCBI SRA library_layout), flow cell information (including version if applicable), and other parameters. For amplicon sequencing, state the region and primers selected (Item 4.6). Include instrument and reagent information (catalogue #s, vendor) and provide information on the institution or company that performed the sequencing (can be Acknowledged in Item 14.0).
STREAMS	STREAMS_final	36	Methods	6.4	6	Metabolomics, metaproteomics, & other omics methods	Provide information about metabolomics, proteomics, and other omics methods and platforms.	Modified STORMS; Chemical Analysis Working Group (CAWG) of the Metabolomics Standards Initiative (MSI)	For proteomics, provide details on proteomic methods and platforms (e.g. LC-MS/MS, instrument type, column type, mass range, resolution, scan speed, maximum injection time, isolation window, normalized collision energy, and resolution). If applicable, detail which protease was used for digestion. For metabolomics, specify the analytic method used (such as nuclear magnetic resonance spectroscopy or mass spectrometry). For mass spectrometry, detail which fractions were obtained (polar and/or non polar) and how these were analyzed. Provide details on metabolomics methods and platforms (e.g. derivatization, instrument type, injection type, column type, column information, operating parameters, and instrument settings). For LC-MS, note which ion mode (+/-) the instrument was run on. Include all instrument and reagent information (catalogue #s, vendor) and provide information on the institution or company that performed these analyses (can be Acknowledge in Item 14.0). State the method of data acquisition: Data Dependent Acquisition (DDA) or Data Independent Acquisition (DIA). Discuss standards (e.g., reference standards) that were utilized. State if any samples were pooled for analysis. Metabolomics and other chemical analysis metadata should be reported in a standardized manner: https://doi.org/10.1007/s11306-007-0082-2
STREAMS	STREAMS_final	37	Methods	6.5	6	Contextual & linked datasets	For other data and metadata generated, state how it was defined, how it was measured or collected, and any transformations applied to the variable prior to analysis. Provide any contextual data or other data linked or relevant to the study.	Modified STORMS	Describe any linked or contextual data (e.g., geochemical) data and describe the techniques for obtaining and analyzing this data. Describe any other data types generated (e.g., imaging data). Describe how these other data types can be linked with the sample metadata and omics data (e.g., spreadsheets organized by sample ID). Refer to Item 3.5 for guidance on reporting indigenous land/water/sample use and for guidance on how to adhere to the CARE principles ( https://doi.org/10.5334/dsj-2020-043 ). Information on how to access these datasets should also be provided (Item 8.0). Note any linked sample(s) from an herbarium, museum collection, or repository.
STREAMS	STREAMS_final	38	Methods	6.6	6	Batch effects	Discuss any likely sources of batch effects, if known, and any methods employed to minimize and correct them.	Modified STORMS	Potential sources of batch effects include sample collection, storage, technician, library preparation, or sequencing and are commonly unavoidable in all but the smallest of studies. Describe how batch effects were evaluated and potentially corrected computationally or in the lab, including references to any software and code along with citations and repository links. Describe laboratory procedures used to minimize batch effects, (e.g., for performing extractions for a large number of samples, when working with long-term studies or samples from different continents). Detail any blocking or randomization used in study design to avoid confounding of batches with exposures or outcomes.
STREAMS	STREAMS_final	39	Methods	7	7	Bioinformatics analyses	Describe all bioinformatics steps including taxonomic, functional profiling, or other analyses performed.	STREAMS	Describe the methods, code and/or software (including versions, parameters, repository links, and citations), databases (Item 7.3), and protocols used for data analysis. Include this information for all steps performed (e.g., metagenome assembly, annotation, metagenome assembled genome (MAG) generation [can use MIMAG standards], taxonomic classification). Indicate if all data was processed in the same standardized manner, or provide a justification if there was variability. Include criteria and cutoffs for analyses e.g., ASV similarity clustering % and criteria for confident taxonomic assignments (including what tool/database/standard was used for taxonomic hierarchy classification (e.g., ICTV for viral classification), the taxonomy version number, the taxonomic level(s) used for classification, and any previously known taxonomic names if applicable). In cases the host genome was used (e.g., functional annotation, gene expression), provide information on the source and version of genomic data and licenses, if available (e.g., Phytozome, Setaria viridis version 2.1). Provide information on any references used for analyses (e.g., reference-based assembly) or indicate if assemblies were de novo. Indicate if the analyses performed were inclusive of all microbes or if biases or restrictions were added e.g., only used a database that contains bacterial genomes for taxonomy classification. Describe all computational steps performed for metabolite and protein identification including the databases used (Item 7.3) and the criteria for confident assignments. Metabolomic identifications should conform to community standards: https://pubs.acs.org/doi/10.1021/es5002105
STREAMS	STREAMS_final	40	Methods	7.1	7	Quality control	Describe any methods to identify or filter contamination or low quality reads. Report on results from positive and negative controls.	MIxS: sequence quality check (MIXS:0000051)	If samples or data were excluded based on quality or read depth, list the criteria and thresholds used, the number of samples excluded, and the final sample size after quality control. If applicable, report how host-associated reads were filtered out or any other filtering done to the data (e.g., to remove mitochondrial or chloroplast reads). Raw, unfiltered data should always be provided (Item 8.2). Describe any abundance cutoffs that were applied. Describe how data resulting from suspected contamination was identified and filtered out including how data from sampling, extraction, PCR, library prep, sequencing, and/or other controls were used for quality control. State if and how potential tag jumping was assessed. Include information on if samples or datasets were excluded due to the fact that they could not be identified or classified (e.g., taxonomically classified). If applicable, describe how MAG quality was determined and any relevant quality cutoffs. For metabolomics and metaproteomics, describe the baseline for detection, how alignment between runs was performed, and how low quality data was determined. Describe and cite any existing protocols, software, or code that was used along with the versions, parameters and thresholds, or provide detailed code or methods for how the quality control steps were performed.
STREAMS	STREAMS_final	41	Methods	7.2	7	Normalization	Describe any transformations to quantitative variables used in analyses (e.g. use of percentages instead of counts, normalization, rarefaction, categorization).	Modified STORMS	Describe if and how any normalization was performed on the data. If a variable is analyzed using different transformations, state rationale for the transformation and for each analysis, and which version of the variable is used. Provide details on any rarifying that was performed. In case of any complex or multistep transformations, give enumerated instructions for reproducing those transformations. Provide software, workflow, and code information including links, DOIs, citations, versions, and parameters.
STREAMS	STREAMS_final	42	Methods	7.3	7	Database information	Specify all databases (e.g., the taxonomic database, metabolite database, peptide database) and version(s) used to generate the omics data interpretations.	STREAMS	Did the study attempt to classify bacteria, archaea, eukaryotes, viruses, mobile elements? Describe the taxonomic classification strategy and which databases were used to make those assignments. Describe any omics databases that were used to classify metabolites and proteins and the search criteria. Provide database version information, DOI if applicable, and date(s) of access. If custom databases were used, describe what they contained (e.g., accession numbers), how and when they were constructed, validated, and utilized and how they can be accessed. Note if multiple databases were utilized and how discrepancies were handled. Describe the exact software, tools, and code that were used to query and work with these databases including any relevant search parameters. Provide accession numbers and/or DOIs for specific datasets utilized from these databases for further analysis (e.g., references for phylogenetic tree building).
STREAMS	STREAMS_final	43	Methods	7.4	7	Statistical methods	Describe all statistical methods.	Modified STROBE	Describe any statistical tests used, exploratory data analysis performed, dimension reduction methods/unsupervised analyses, alpha/beta metrics, effect size calculations, and/or methods for adjusting for measurement bias. Provide the code that was utilized or specifics about how calculations were run whenever possible. Provide any formulas that were used. Cite existing software, workflows, packages, or code that were used and include version, repository, and/or citation information along with the parameters that were utilized. Existing guidelines can help with the reporting of these methods: e.g., https://doi.org/10.1038/s41564-025-01944-6 Include why the methods and metric(s) were chosen. If a multiple hypothesis testing correction method was used, describe the type of correction used. Describe any other transformations done to the dataset(s). Describe any subgroups that were used and how these affected statistical analyses (Item 7.7).
STREAMS	STREAMS_final	44	Methods	7.5	7	Missing data	Explain how missing data were addressed.	Modified STROBE	"""Missing data"" refers to sample measurements such as contextual metadata or time points that should have been collected but were not, or data points not applicable to the reported observations. Describe if or how zeroes that are reported are different from N/As."
STREAMS	STREAMS_final	45	Methods	7.6	7	Bias & confounding variables	Discuss potential for bias across your samples and data, if any, and discuss any potential confounding variables that may influence both the outcome and exposure of interest. State any variables controlled for and the rationale for controlling for them. Describe any methods that were used to minimize potential biases.	Modified STORMS	State any sources of potential bias in measurements, for example multiple measurement instruments, multiple people performing extractions, and whether these potential biases were assessed or accounted for in study design. For animal hosts, selection bias can occur when some members of the target study population are more likely to be included in the study/final analytic sample than others. Some examples include survival bias (where part of the target study population is more likely to die before they can be studied), convenience sampling (where members of the target study population are not selected at random), and loss to follow-up (when probability of dropping out is related to one of the things being studied). Describe if and how positive controls or standards (Item 5) were used to evaluate potential biases (e.g., chosen methods are poor at identifying eukaryotes, or the limit of detection is higher than other reported protocols). Can be further discussed in the Discussion. For causal inference (if applicable): describe the assumptions that would be required to draw causal inferences from observational data. See https://doi.org/10.1038/s41586-020-2881-9
STREAMS	STREAMS_final	46	Methods	7.7	7	Subgroup analysis	Describe any methods used to examine subgroups.	Modified STROBE	Provide justifications or reasoning as to why subgroups were separated. Describe how and why certain groups were separated: this can be on an experimental level (e.g., only looked at microbes targeted with stable-isotope probing) or in the analyses or statistics.
STREAMS	STREAMS_final	47	Methods	7.8	7	Sensitivity analyses	Describe any sensitivity analyses.	Modified STROBE	Sensitivity analyses are techniques that examine how changes to variables affect outcomes. Include information on any simulations that were performed.
STREAMS	STREAMS_final	48	Methods	7.9	7	Criteria for significance	State criteria used to select findings for reporting and describe significance threshold(s).	Modified STORMS	Explain methods used for assessing false discovery rate and why these were chosen. Discuss effect size threshold(s), significance threshold(s), and any other relevant metrics for determining significant results.
STREAMS	STREAMS_final	49	Methods	8	8	Metadata access	State where sample metadata such as demographics, environmental conditions, and other covariates may be accessed, and how they can be matched to the microbiome data. State where linked & contextual datasets (Item 6.5) may be accessed.	Modified STORMS	Describe any metadata standards that were followed and where this metadata can be accessed. Describe the naming schemes to match up each sample and dataset with its relevant metadata. If using a private repository, provide rationale (e.g., https://www.science.org/doi/10.1126/science.adr2493 ). Provide accession numbers, DOIs, and/or links whenever applicable.
STREAMS	STREAMS_final	50	Methods	8.1	8	Host data access (if applicable)	State where host data such as host genome(s) may be accessed, and how this data can be matched to the microbiome data.	Modified STORMS	Describe where the host data can be found, and if this data was generated by another group and used for analysis (e.g., used a publicly available genome as the reference for this study's Arabidopsis RNAseq experiment), and/or if a pangenome was used (and describe details of construction). If data for the host was generated in the same experiment as the microbiome data (e.g., metabolome data or a deep metagenomic sequencing run), then indicate this in the repository entry. If using a private repository, provide rationale (e.g., https://www.science.org/doi/10.1126/science.adr2493 ). Describe how host metadata including phenotype information can be accessed and linked with host genome information. Provide accession numbers, DOIs, and/or links whenever applicable.
STREAMS	STREAMS_final	51	Methods	8.2	8	Raw data access	State where raw data may be accessed including demultiplexing information.	Modified STORMS	Report on due diligence performed to ensure data is meaningfully FAIR and adheres to CARE principles. Robust, long-term databases such as NCBI and EMBL-EBI are strongly preferred. If using a private repository, provide rationale (e.g., https://www.science.org/doi/10.1126/science.adr2493 ). Provide accession numbers, DOIs, and/or links whenever applicable.
STREAMS	STREAMS_final	52	Methods	8.3	8	Processed data access	If applicable, state where processed data may be accessed.	STORMS	Data at various stages of processing should be made available whenever possible (e.g., assemblies, MAGs) and the processing 'stage' should be clearly noted in the text and associated with the datasets. Robust, long-term databases such as NCBI and EMBL-EBI (including PRIDE and MetaboLights) are preferred. Repositories like zenodo ( https://zenodo.org/ ) or publisso ( https://www.publisso.de/en/working-for-you/doi-service/ ) can be used to provide a DOI and long-term storage for processed datasets, even those which cannot be published openly. Persistent Unique Identifiers are strongly encouraged. If using a private repository, provide rationale (e.g., https://www.science.org/doi/10.1126/science.adr2493 ). Provide accession numbers, DOIs, and/or links whenever applicable.
STREAMS	STREAMS_final	53	Methods	8.4	8	Software & source code access	Cite all software, workflows, and code that were used and not specifically stated above.	Modified STREGA; STORMS	If a standard or formalized workflow was employed or modified, reference it here and describe how it was modified and state any specific functions used. Installed packages, add-ons, or libraries should also be stated (including versions and run information) and cited in addition to the software used. Links to GitHub or other code repositories should be included when applicable (including specific Git commit hash information if necessary). Citation information, DOIs, and other identifying information should be provided. All versions and parameters should be provided. Provide the actual scripts run whenever possible. Provide computational requirements for running software when applicable. Publish code generated for the study through public repositories and/or within the supplementary information. For code developed for this study, provide the link, DOI, and/or citation and provide information on the version, commit, and/or parameters run for this study and provide additional information needed to successfully run the code and recreate the analyses. Follow citation guidelines for GitHub: https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content Provide links to Docker container images ( https://doi.org/10.1145/2723872.2723882 ), or other containerized versions of tools, software, and processes as well as other information that can increase reproducibility (e.g., Research Object [RO] crates https://www.researchobject.org/ro-crate/ ).
STREAMS	STREAMS_final	54	Methods	8.5	8	Reproducible research	Make a statement about if and how others can reproduce the reported methods and analyses.	STORMS	Consider using a specialized rubric for reproducible research (such as: https://doi.org/10.1128/mbio.00525-18 ). Consider pre-registering the study protocol and consider evaluating based on Open Science Indicators (such as on osf.io or https://plos.org/open-science-practice/ ). eNotebooks, tutorials, effective documentation, and annotated code can all improve reproducibility of analyses. Comments surrounding methodology performance can be reported on in the Methods, Results, or Discussion.
STREAMS	STREAMS_final	56	Results	9	9	Sample characteristics & experimental results	Summarize characteristics of environments, hosts, samples, and information on relevant history (e.g., drought, fire), experiments, and potential confounders. Provide results of phenotyping, culturing, or any other experimental results.	STREAMS	This encapsulates all experimental results other than those resulting from omics analyses (Items 10.0 & 10.1). This includes factors that may affect the relationship between the microbiome and the condition(s) of interest.
STREAMS	STREAMS_final	57	Results	10	10	Microbiome sequencing data	Report findings for microbiome analyses with all applicable outcomes and covariates. If applicable, include information on taxonomy, differential abundance analyses, or other analyses performed.	STORMS	Results of analyses beyond the primary scope of the study can be reported in supplementary materials (Item 16.0). Report on data analyzed and the significant results e.g. functional potential, MAG assemblies, and RNAseq data. Anything shared via an external site (e.g., FigShare, Zenodo) should have the publicly available DOIs reported in the manuscript. Include relevant positive and/or negative control results (from Items 5.0, 5.1, and 7.1). Describe how these omics types were matched or integrated with other omics datasets and how these results can be interpreted.
STREAMS	STREAMS_final	58	Results	10.1	10	Metabolomics, proteomics, & other omics data	Report results of metabolomics, proteomics, and other omics data analyses.	Modified STORMS	Include information on metabolites, proteins identified, results from other omics analyses, and any validations that were employed. Discuss the standards and controls that were utilized and how these results were assessed. Describe how these omics types were matched or integrated with other omics datasets and how these results can be interpreted.
STREAMS	STREAMS_final	59	Results	10.2	10	Statistical analyses	Report the results of statistical data analyses and their significance.	STORMS	This could include results from subgroup analyses, sensitivity analyses, and cluster analyses. Refer to Item 7.4 and the significance thresholds defined above (Item 7.9) for supporting conclusions. Comment on statistical power when applicable.
STREAMS	STREAMS_final	60	Results	10.3	10	Figures, tables, & captions	Include accurate and clear figures, tables, and captions to communicate the results.	STREAMS	Ensure captions clearly communicate the results, key methodological or statistical information, and refer to specific sample ID or accession numbers whenever possible. Ensure information on how the figures were generated is captured in the Methods, and any other relevant figures or tables (e.g., ASV tables) are publicly available and referenced or provided in the supplementary materials (Item 16.0). Photos of the environments, samples, or methodologies can provide important context and can be added to main text or supplemental figures. Visualizations should be easily interpretable and colorblind-friendly. The caption, main text, or supplementary information should provide enough of a description of the visualizations for visually-impaired readers to interpret findings. If software was used to generate figures this should be referenced in the Methods, and if illustrations or figures were generated with tools that need specific citations (e.g., from BioRender) it must be accurately credited in captions.
STREAMS	STREAMS_final	62	Discussion	11	11	Key results	Summarize key results with reference to study objectives.	Modified STROBE	Discuss if the results support the underlying hypotheses or how the results address the research question(s) of interest.
STREAMS	STREAMS_final	63	Discussion	11.1	11	Interpretation	Give a reasonable interpretation of results considering objectives, multiplicity of analyses, results from similar studies and comparisons between datasets, and other relevant evidence.	Modified STROBE	"Define or clarify any subjective terms such as ""dominant,"" ""dysbiosis,"" ""healthy"" ( https://doi.org/10.1038/s41579-024-01107-0 ) and similar words used in interpretation of results. Definitions may also need to be provided in the Introduction or Methods if they are directly used in hypotheses or research questions. When interpreting the findings, consider how the interpretation of the findings may be summarized or quoted for the general public such as in press releases or news articles. If causal language is used in the interpretation (such as ""alters,"" ""affects,"" ""results in,"" ""causes,"" or ""impacts""), assumptions made for causal inference should be explicitly stated. Distinguish between functional potential (e.g., inferred from metagenomic data) and observed activity (e.g., from metatranscriptomic, metabolomic, metaproteomic data) if discussing microbial function."
STREAMS	STREAMS_final	64	Discussion	11.2	11	Limitations	Discuss limitations of the study, taking into account sources of potential bias (Item 7.6) or imprecision.	STROBE	Consider limitations resulting from the methods (especially novel methods), the study design, the spatiotemporal scope, and the sample size.
STREAMS	STREAMS_final	65	Discussion	11.3	11	Generalizability	Discuss the generalizability (external validity) of the study results.	Modified STROBE	To what populations or other settings do you expect the conclusions to generalize? How does this work compare to other publications or datasets in related areas?
STREAMS	STREAMS_final	66	Discussion	12	12	Ongoing & future work	Describe potential future research or ongoing research based on the study's findings.	STORMS	Describe what the next steps are and any limitations or expected challenges associated with future research in this area.
STREAMS	STREAMS_final	67	Discussion	13	13	Conclusions	State the overall conclusions arising from this work.	STREAMS	Describe how the results fit into the broader context of the field. This Conclusions section may be required to be a separate section within the manuscript.
STREAMS	STREAMS_final	69	Other information	14	14	Acknowledgements	Include acknowledgements of those who contributed to the research but did not meet criteria for authorship. Use the CRediT roles ( https://credit.niso.org ) for author contributions and determining authorship vs. an acknowledgement.	Modified STORMS	Review journal guidelines for specific guidance regarding acknowledgements. For general guidelines on authorship, see http://www.icmje.org and https://www.elsevier.com/authors/journal-authors/policies-and-ethics/credit-author-statement Also acknowledge any relevant facilities or institutions e.g., lab space, field station that was used to perform the experiments, facility that was used for computing infrastructure. If applicable (and some journals require a separate data ethics section), provide acknowledgements for use of indigenous/first nation lands and/or samples as well as other information about ethical research practices as described in Item 3.5.
STREAMS	STREAMS_final	70	Other information	14.1	14	Funding	Give the source of funding (award number) and the role of the funders for the present study and, if applicable, for the original study on which the present article is based.	Modified STROBE	Accurate funding information should be provided for each author when applicable. A standardized, machine-readable format should be used whenever possible (e.g., https://www.niso.org/publications/rp-37-2021-jats4r-funding-v1.3 ). Funder IDs from the Research Organization Registry ( https://ror.org ) can also be included if applicable. This information should also be provided with other supplementary information (e.g., in a Zenodo entry) and repository submissions (e.g., in the NCBI SRA Bioproject information).
STREAMS	STREAMS_final	71	Other information	15	15	Conflicts of interest	Include a conflicts of interest statement.	STORMS	Follow journal specific guidelines for the formatting of the conflicts of interest statement. Ensure all potential perceived conflicts of interest are disclosed (e.g., owned licenses, affiliations with companies, journal editorial roles, other funding sources).
STREAMS	STREAMS_final	72	Other information	16	16	Supplementary data & files	Indicate where supplementary data and files may be accessed and what information they contain.	Modified STORMS	Anything shared via an external site (e.g., FigShare, Zenodo) should have the publicly available DOIs reported in the manuscript; Accession numbers should be provided for data deposited into repositories; Depending on the analysis performed, examples of the supplemental results included could be mean relative abundance, differential abundance, raw p-value, multiple hypothesis testing-adjusted p-values, and standard error. Include scripts or links to scripts that were run if applicable to increase reproducibility (Item 8.5). Environment and sample metadata can also be reported in supplementary files: provide linked accession numbers within spreadsheets when possible. Provide keys or data dictionaries for matching up the information in different files. Use a machine-readable, plain-text format such as csv or tsv whenever possible. Include licenses/permissions to utilize figures, images, illustrations, or other products from software, companies, other researchers, or journals.
STREAMS	STREAMS_final	73	Other information	17	17	Sample & data availability	Provide a statement about how and where all data associated with the study can be accessed. Provide a statement on how any associated samples may be accessed.	STREAMS	This is a required field by some journals. Provide all accession numbers, DOIs, and/or links for data in public repositories or in an external site (e.g., FigShare, Zenodo). Ensure data use policies are followed and all data generated by other researchers or groups is cited properly and also included in the references. Describe the naming scheme of the samples and data (and keys for matching names with publicly available datasets). If not all data or samples are publicly available, provide a justification as to why the data or samples cannot be made available (e.g., due to privacy concerns, indigenous data sovereignty, protections for endangered species). Provide information about how samples are stored, how they can be shared, and the process for sharing samples (e.g., contact the corresponding author to arrange for a material transfer agreement). If museum specimens were used, provide the full catalogue numbers along with the museum collection information and/or specific database links.
STREAMS	STREAMS_final	74	Other information	18	18	AI usage	Describe if AI was used, the program and version that was used, and the exact ways it was utilized (e.g. literature review, code generation, data analysis, manuscript drafting, translation assistance).	STREAMS	Ensure that all uses of generative AI (e.g., for text and images) are clearly defined. Refer to specific publisher guidance: https://www.nature.com/nature-portfolio/editorial-policies/ai and/or guidance from funding agencies e.g., https://www.energy.gov/sites/default/files/2024-06/Generative%20AI%20Reference%20Guide%20v2%206-14-24.pdf for the kinds of AI usage that should be reported on and their specific reporting requirements. Guidelines for AI usage are still rather dynamic, so ensure up-to-date guidance has been followed. This information may also need to be reported on within the Methods.
