	CCMD34381688ST-21-0	G78505	G88884	G88970	G89027	H2M514903	H3M518116	HD-1	HD-5	HV-6	LD-48	M1.48.ST	M2.48.ST	M2.58.ST	N021	S353	SID530054	SZAXPI003417-4	T2D-025	T2D-063	T2D-105	YSZC12003_36795
UniRef90_A0A174Z312	-3	-3	-2	1	-2	-3	-3	1	-3	-3	1	-3	-3	-3	-2	-2	1	-3	-3	-1	-3	1
UniRef90_A0A174Z3P7	-2	-3	1	-3	-3	-3	-3	1	1	-2	-1	-3	-3	-3	-3	1	-3	1	-3	-3	-2	1
UniRef90_A0A174Z407	1	-2	-1	-2	-2	1	-1	-1	1	1	1	-3	-2	-2	-1	1	-1	1	1	1	1	-1
UniRef90_A0A174Z481	-2	-3	-2	-2	-2	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-2	1	1	-3	1	-3	-2
UniRef90_A0A174Z4L1	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-2	-2
UniRef90_A0A174Z629	1	1	-1	-2	-2	1	-1	-1	1	1	-1	-3	-2	1	-1	-1	-2	-1	-1	-2	-2	1
UniRef90_A0A174Z671	-3	1	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1
UniRef90_A0A174Z6W2	1	1	1	-2	1	-1	-1	-1	-1	-1	-1	-2	-2	1	-1	1	-1	-1	1	1	1	-1
UniRef90_A0A174ZB62	-3	-3	-3	1	-2	-3	1	-1	1	1	-2	1	-2	1	-2	-2	-3	1	-1	-3	-3	1
UniRef90_A0A174ZE38	-3	-3	-3	1	-3	-3	-1	1	-3	-3	1	-3	-3	-3	-1	-3	1	-1	-1	-3	-2	-2
UniRef90_A0A174ZER3	-2	1	-3	-3	-2	1	1	-1	-1	1	-1	1	-2	-3	-1	-3	-3	-1	-1	1	1	-3
UniRef90_A0A174ZHE4	-2	-2	1	-1	1	-1	-1	-1	-1	1	-1	-2	-3	-2	-1	1	-1	1	-1	-1	-1	-1
UniRef90_A0A174ZJF4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
UniRef90_A0A174ZLH0	-3	-3	-3	-3	-3	-2	1	-1	-2	1	-1	-3	-3	-2	-2	-2	1	-2	-1	-3	-2	-3
UniRef90_A0A174ZS82	-3	-3	-3	-3	-3	-3	-3	1	1	-2	-1	-3	-3	1	-3	-3	-3	-1	1	-3	1	-3
UniRef90_A0A174ZSN8	-1	-3	-2	-2	1	1	-3	-2	-3	-3	-3	-3	1	-1	1	1	-1	-3	-3	1	-3	1
UniRef90_A0A174ZVB4	-3	-3	1	-3	-3	-3	-3	-3	-2	-3	1	-3	-3	-3	-3	-3	-2	-3	-3	-3	1	-3
UniRef90_A0A174ZXJ1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1
UniRef90_A0A174ZZ50	-1	1	-2	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-3	-3	-1	1	1	1	-3
UniRef90_A0A175A2H7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A175A576	-3	-2	1	1	-3	-3	-1	-3	-3	-3	-3	-3	-2	-3	1	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A175A5X1	-2	-3	1	1	1	-3	-1	1	-1	1	-1	-3	-2	-3	1	-2	1	-2	-2	1	-3	1
UniRef90_A0A175A5Y0	-1	-3	-3	1	-3	-3	-3	1	-3	-3	-1	-3	-3	1	-1	-3	-3	-1	1	-3	-3	-3
UniRef90_A0A175A5Y7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A175AA32	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A175ABW1	-3	-3	-3	1	-3	-2	1	1	-2	-3	-3	-3	-3	-3	1	-3	-2	-3	-2	-1	-3	1
UniRef90_A0A176U110	-3	-3	-3	-3	-3	-3	1	-3	-3	1	-3	-3	-3	-3	-1	-3	-3	1	1	-3	-3	-3
UniRef90_A0A176U130	-3	-3	-3	-3	-3	-3	-1	-3	-3	1	-3	-3	-3	-3	-1	-3	-3	1	1	-3	-3	-3
UniRef90_A0A176U3W9	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	1	1
UniRef90_A0A176U4A7	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	1	-3	-3	-3	-2	-3	-3	-2	-3	-3	-3	-3
UniRef90_A0A176U6R4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A176U7G8	-2	-3	-2	1	-3	1	-3	-3	1	-3	-1	-2	-3	-3	-1	-1	1	-3	-3	-3	-2	-1
UniRef90_A0A176U7V8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A176U8T2	1	-3	1	-2	-2	-3	-3	-2	-3	-3	-2	-3	-3	-3	-2	1	-1	-3	-3	-3	-2	1
UniRef90_A0A176U927	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
UniRef90_A0A176U9N3	1	-3	1	-3	-2	-3	1	-1	1	1	-1	-3	-3	-3	1	1	1	1	-1	-3	-2	1
UniRef90_A0A176UA43	-1	-1	-3	1	-3	-1	-1	-1	-1	-1	-1	-3	-3	-3	-1	-2	-3	-1	-1	1	-1	-1
UniRef90_A0A176UAD5	-1	1	-1	-1	-1	-2	-1	-2	1	1	1	1	-3	1	-1	1	1	1	-1	-2	-2	1
UniRef90_A0A176UAE5	-1	1	-1	1	-1	-2	1	-2	1	1	1	1	-3	1	1	1	1	1	-1	-2	-2	1
UniRef90_A0A176UAS5	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A176UAT8	1	-2	-3	1	-3	-3	-3	-2	1	-2	-3	-3	-3	-3	-2	-1	1	1	1	-3	-3	-1
UniRef90_A0A176UBZ7	1	-3	-2	1	1	-3	-3	1	1	-2	-3	1	-3	-3	1	-1	1	1	1	-3	-3	-1
UniRef90_A0A1B0FC93	-3	-3	-1	-3	-3	-3	-3	-1	-3	-3	-2	-3	-3	-3	-1	-2	1	1	-3	-3	-3	1
UniRef90_A0A1C0BJR0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_A0A1C5VWW6	1	-3	1	-2	-3	1	-1	-2	-1	1	-1	-3	-2	-3	-1	1	1	1	1	-2	-2	1
UniRef90_A0A1C5XW61	-2	-2	-2	1	-3	1	-1	-2	-1	1	1	-3	-2	-2	-1	1	1	1	1	1	-2	1
UniRef90_A0A1C6GBE0	-1	-2	1	1	-2	-1	-1	1	-1	1	-1	-2	-2	-2	-1	1	-1	1	1	1	1	1
UniRef90_A0A1C7G6H0	-2	-3	1	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-1	1	-3	-2	-3	-3	-1
UniRef90_A0A1C7GKY5	-3	-3	-3	-3	-3	1	-3	-3	-1	-2	-3	-2	-3	1	-3	-2	-2	-3	-2	-3	-3	1
UniRef90_A0A1E3A9M3	-2	-2	1	-3	-3	1	-1	1	1	1	1	-3	-3	1	1	1	-1	1	-2	-2	1	-1
UniRef90_A0A1E3AIV3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	-1
UniRef90_A0A1E3AQN5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3
UniRef90_A0A1E3U6T8	1	-3	-2	-3	-3	-3	-1	-3	1	-3	-1	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3
UniRef90_A0A1E3U6T9	1	-3	-2	-3	-3	-3	1	-3	1	-3	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1E3U6U3	1	-3	-2	-3	-3	-3	1	1	1	-2	-1	-3	-3	-3	-2	-3	-3	-2	-3	-3	-3	-3
UniRef90_A0A1E3U6U4	1	-3	-3	-3	1	1	1	1	1	-3	-1	1	1	1	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1E3U6V8	-2	-3	-2	-3	-3	-3	1	-3	1	-2	-1	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-2
UniRef90_A0A1E3U6W4	1	-3	-3	-3	-3	-3	1	-3	1	-3	-1	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-2
UniRef90_A0A1E3U6W9	1	-3	-3	-3	-3	-3	1	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2
UniRef90_A0A1E3U700	-3	-3	-1	-3	-3	-2	-3	1	-2	-3	-1	-3	-3	-3	-2	-3	-3	-3	1	-3	-3	-2
UniRef90_A0A1E3U755	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
UniRef90_A0A1E3U8B5	-3	-3	-2	-3	-3	-2	-3	-3	-3	-3	-3	-3	-2	1	-3	-2	-2	-3	-3	1	-3	1
UniRef90_A0A1E3UFT6	1	1	-1	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	1
UniRef90_A0A1E3UFX7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3
UniRef90_A0A1E3UG00	-3	1	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-2
UniRef90_A0A1E3UGS6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1L5KG17	-1	1	-1	-1	1	1	1	-1	-3	1	1	-3	-2	1	-1	-1	-1	-1	-1	-3	1	1
UniRef90_A0A1L5KHI6	1	-3	-3	-2	-1	-3	-1	1	-2	-2	-2	-3	-3	-2	1	-2	-1	1	1	-3	1	-1
UniRef90_A0A1L5KKB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1L5KKC1	1	1	-2	1	1	-3	-2	1	1	-2	1	1	1	1	1	-2	-3	-2	-2	-2	1	-3
UniRef90_A0A1L5KLC7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1L5KPI5	-3	-3	-3	-3	-2	-3	-1	-2	-2	-3	1	-3	-3	-3	1	-3	-2	-3	1	-3	1	-1
UniRef90_A0A1L5KPP5	1	-3	1	-2	-2	-3	-3	-2	-3	-3	-3	-3	-3	-3	-2	1	-1	-2	1	-3	-3	-3
UniRef90_A0A1L5KQG6	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-2	-3	1	-1	1	1	-1	-1	1	1	-1
UniRef90_A0A1L5KWC4	-2	-2	1	-2	-2	-3	-3	-2	-3	-3	1	-3	1	-2	-3	-2	-2	-2	-2	-2	-3	1
UniRef90_A0A1L5KWS6	-3	-2	-2	-3	-1	-3	-1	-2	-2	-3	-2	-3	-3	1	-2	-2	-1	-3	1	-3	1	-1
UniRef90_A0A1L5KWZ6	-2	-3	1	-3	1	-3	-3	1	-3	-2	-3	-3	-3	-3	1	-1	-1	-3	1	-3	-3	-2
UniRef90_A0A1L5KXA0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1L5KXQ2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1L5L421	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-3	-3	1	-1	1	-1	-1	-1	1	1	-1
UniRef90_A0A1Q2C5Y4	1	1	-1	1	1	-2	-3	-3	-1	1	1	-3	-2	-2	-2	1	-1	-3	-2	-3	-3	-1
UniRef90_A0A1Q2C605	-2	-3	-3	-3	-3	1	-3	1	1	1	1	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	1
UniRef90_A0A1Q2C635	-3	-2	1	-3	-3	1	-1	-1	1	1	-1	-3	-1	1	1	-2	-2	1	-1	-3	1	-2
UniRef90_A0A1Q2C652	-3	-2	-2	-2	-3	1	-1	-1	1	-1	-1	-3	-1	1	-2	1	1	1	-1	-3	-2	1
UniRef90_A0A1Q2C6B4	-3	-3	-3	-3	-2	-2	-3	-1	-2	-2	-2	-3	-3	-3	-3	-3	1	1	-2	-3	-3	-3
UniRef90_A0A1Q6KBD1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1Q6PH87	-1	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-2	1	-2	-3	-3	-3
UniRef90_A0A1Q6PHC7	1	-3	-3	-3	1	-3	-3	1	-3	-3	-3	-3	-3	1	-3	-3	1	-3	1	-3	-3	-3
UniRef90_A0A1Q6PHK9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3
UniRef90_A0A1Q6PI11	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1Q6PII6	-3	-3	-3	-3	-3	-3	1	-3	-3	1	1	-3	-3	-3	1	-3	-3	-3	1	-3	1	-3
UniRef90_A0A1Q6PIL3	-2	-3	-3	-3	-3	-3	-3	-3	1	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1Q6PIN2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	1
UniRef90_A0A1Q6PIN7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A1Q6PIN8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A1Q6PIQ6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A1Q6PIU2	1	-3	-3	-3	1	1	-3	1	-3	-3	-3	-3	1	-3	-3	-3	-3	1	1	1	1	-3
UniRef90_A0A1Q6PIV2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1Q6PIV8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A1Q6PIW9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1
UniRef90_A0A1Q6PIX8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1Q6PJ08	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1Q6PJ09	1	1	1	1	1	-2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1Q6PJ18	1	1	1	1	1	-2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1Q6PJ42	1	-3	-3	-3	-3	-3	-3	-3	1	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2
UniRef90_A0A1Q6PJ77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1Q6PJ99	1	1	1	1	1	-2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1Q6PJK0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A1Q6PKL3	-3	-2	-3	-2	-3	-2	-3	-2	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1Q6PR27	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	1
UniRef90_A0A1Q6QDB7	1	-3	-3	-3	-3	-3	1	-3	1	1	-3	-3	-2	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1Q6QQ58	-2	-3	-2	-3	-3	-3	-2	-3	-2	-3	1	-3	-3	-3	-2	1	-2	-3	-3	-3	-3	1
UniRef90_A0A1Q6T9B8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1Q6T9Q4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A1Q6TFB4	-3	-3	-3	-3	-3	-3	-3	-2	-3	1	-3	-3	-3	-2	1	-3	-3	1	1	-3	-3	1
UniRef90_A0A1R7JGV1	-1	-2	-3	1	-1	-2	-1	1	1	1	1	-3	-3	1	-1	-2	-1	-1	-1	1	-1	-1
UniRef90_A0A1T4IYP2	-1	-3	-2	-2	-3	-3	1	-3	-2	-3	-3	-2	-3	-3	-3	-2	-2	-3	-2	-3	-3	1
UniRef90_A0A1T4IYP4	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1T4IYQ1	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1T4IYQ5	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1T4IYR2	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1T4IYR6	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1T4IYS9	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1T4IYT5	-3	-3	-3	-2	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1T4IYU2	-3	1	-3	1	1	-3	-3	-3	1	1	1	1	1	1	1	-3	-3	1	1	-3	1	-3
UniRef90_A0A1T4IYU7	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1T4IYW1	1	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	1	1	-3	-3	-3	-3	-3	-3	-3	1	-3
UniRef90_A0A1T4IYW2	1	-3	-3	-3	-3	-3	-3	-3	1	1	-2	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1T4IYW3	-3	1	-3	1	-1	-2	-3	-3	-3	1	1	1	-1	-1	-2	-3	-3	1	1	-3	1	-3
UniRef90_A0A1T4IYY1	-3	1	-3	1	1	-3	-3	-3	1	-1	1	1	1	1	-2	-3	-3	1	1	-3	1	-3
UniRef90_A0A1T4IYZ1	-3	-3	-3	1	1	-3	-3	-3	-3	1	1	-3	1	-3	-3	-3	-3	1	1	-3	1	-3
UniRef90_A0A1V0P653	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A1Y4MKN9	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-2	-3	-2	-1	-3	-3	1	-3	-1
UniRef90_A0A1Y4MUD3	-1	-2	1	1	-2	-1	1	1	1	-1	-1	-3	-2	-3	1	1	-1	-2	-1	-2	-2	1
UniRef90_A0A227LKQ5	-3	-2	-3	1	-2	-3	-3	-2	-3	-3	-2	-3	-3	-3	-1	-3	-2	-3	-2	-3	1	-3
UniRef90_A0A285PPJ6	1	-3	-2	1	-2	1	1	-1	-1	1	-1	-3	-3	-3	-1	-2	1	1	1	-2	1	1
UniRef90_A0A285PPQ3	1	-2	1	1	-2	-1	-1	-1	-1	1	1	-3	-2	-2	-1	1	-1	1	1	-2	1	-1
UniRef90_A0A285PRD6	-1	-3	-2	1	-2	-3	-3	-3	-2	-3	-2	-3	-3	-3	-3	1	1	-1	1	-3	-3	1
UniRef90_A0A285PS72	1	-3	1	1	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-1	-1	-3	-3	1
UniRef90_A0A285PSJ2	1	-3	-2	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-2	-3	1	1	1	-3	-3	-3
UniRef90_A0A285PTY8	1	-1	1	-3	-1	1	-1	-1	-2	1	-3	1	1	1	-3	1	1	-3	-3	-3	-3	1
UniRef90_A0A285PU16	1	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A285PU60	-2	-3	-3	-3	1	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A285PUD9	-3	-3	-3	-2	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_A0A285PUH3	-3	-2	-3	-3	1	-3	-3	-2	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A285PUH6	-3	-3	-3	-2	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-2	-3	-2	-3	1	-3	-3	-3
UniRef90_A0A285PVK1	-3	-3	-3	-2	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A285PVQ3	-3	-3	-3	-2	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-2	-3	-2	-2	1	-3	-3	-3
UniRef90_A0A288WFV6	-1	-1	-3	1	-3	-3	-1	-1	-1	-1	-1	-3	-3	-3	-1	-3	-3	-1	-1	1	-1	-3
UniRef90_A0A291TAF8	-2	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3	-3	1	-1	1	-3	-3	-3	-2
UniRef90_A0A2A3K9G0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A2A3KBP9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A2A6ZSN0	1	-3	-2	-1	-2	-3	-3	-3	-1	1	-1	-3	-3	-3	-1	-3	1	-3	-3	1	1	1
UniRef90_A0A2A7A3R9	1	-2	1	-1	-2	-2	1	-1	1	1	-1	-3	-1	-2	1	1	1	1	-1	1	1	-1
UniRef90_A0A2A7AA09	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A2A7AB72	-3	-3	-3	-3	-3	1	-3	-3	-1	1	-3	-2	-2	1	-2	-3	1	-3	-2	-3	-3	1
UniRef90_A0A2A7ABD3	-2	-3	-3	-3	-2	1	-3	-3	-1	-3	-2	-2	1	1	1	-2	1	-2	-2	-3	-3	1
UniRef90_A0A2A7ABF4	-3	-3	-3	-3	-3	-2	-3	-3	-1	-3	-3	-2	-2	1	-3	-2	-2	-3	-2	-3	-3	1
UniRef90_A0A2A7ABN9	-3	-3	-3	-3	-3	-2	-3	-3	-1	-3	-2	-2	1	1	-3	-2	1	-2	-2	-3	-3	1
UniRef90_A0A2A7ABQ6	-3	-3	-3	-3	-3	1	-3	-3	-1	1	-2	-2	1	1	-3	-2	1	-2	-2	-3	-3	-2
UniRef90_A0A2A7ABY3	-3	-3	-3	-3	-3	-2	-3	-3	1	-3	-3	-2	-3	1	-3	-2	-2	-3	-3	-3	-3	1
UniRef90_A0A2A7AC15	1	-3	1	-3	-2	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_A0A2A7ACZ7	1	-3	-3	1	-2	-2	-2	1	-1	-1	1	-3	-2	-3	-1	-3	-2	-2	1	1	-3	-2
UniRef90_A0A2A7ADF2	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-3	1	-2	-1	1	-1	-1	-1	-1	1	-1
UniRef90_A0A2A7B1F9	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A2A7B4K8	-2	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3	-3	1
UniRef90_A0A2A7BGF0	-3	-3	-3	-3	-3	-3	-3	1	-3	-2	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A2A7BHU0	1	-3	-1	1	-2	-1	1	1	-1	1	-1	-2	1	1	1	1	-1	-2	1	-3	1	-1
UniRef90_A0A2I7ZEY3	1	-1	1	1	-1	-1	-1	1	1	-1	-1	-2	-3	1	-1	1	-1	-1	-1	-2	1	1
UniRef90_A0A2J4JQN7	-3	-3	-2	1	-3	-3	-3	-3	-2	1	-3	-3	-3	-3	-1	-2	1	-2	-3	-3	-3	-2
UniRef90_A0A2K9JGM9	-3	-1	-3	-3	1	-3	-3	-1	1	1	-1	-3	-3	-3	-1	-3	-3	-1	-1	-3	-2	-2
UniRef90_A0A2N5NEU8	-3	-2	-3	1	-3	-2	-1	1	-2	1	-2	-3	-3	-3	-1	-2	-3	-1	1	-2	-2	-3
UniRef90_A0A2N5NJQ6	-2	-2	-2	-3	-3	-3	-1	1	-3	-3	-3	-3	-3	-3	-2	-2	-3	1	1	-3	-3	1
UniRef90_A0A2N5NP30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A2N5NQ44	-2	-3	-3	-3	-3	-2	-3	1	-3	-3	-2	-3	-3	-3	-3	-3	-2	-2	-2	-3	-3	-3
UniRef90_A0A2N5NQ45	-3	-3	-2	-3	-3	-3	-3	1	-3	-3	-2	-3	-3	-3	-3	-3	-2	-2	-3	-3	-3	-3
UniRef90_A0A2N5NWD5	-1	-2	1	-1	-1	1	-1	-1	-1	-1	-1	-3	-3	1	-1	1	-1	-1	-1	1	-1	-1
UniRef90_A0A2N5NXI3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3
UniRef90_A0A2N5NXW5	-1	-2	-1	1	-1	-1	-1	-1	1	1	1	1	-3	1	-1	1	-1	-1	-1	-2	-3	-1
