Branch	Sequence	Gene	Accession	VirulenceFactor	VFCCategory	ReferenceCoveragePercent	IdentityPercent	AlignedBp
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8D	WP_000940793	Capsule	Immune modulation	100.00	99.84	1825
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8E	WP_000459062	Capsule	Immune modulation	100.00	99.03	1029
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8F	WP_001028293	Capsule	Immune modulation	100.00	99.55	1110
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8G	WP_000413169	Capsule	Immune modulation	100.00	99.56	1125
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8L	WP_001291010	Capsule	Immune modulation	100.00	99.75	1206
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8M	WP_000825101	Capsule	Immune modulation	100.00	99.82	558
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	capN	WP_001230668	Capsule	Immune modulation	100.00	98.65	888
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8O	WP_000779494	Capsule	Immune modulation	100.00	98.73	1263
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8P	WP_000723452	Capsule	Immune modulation	100.00	99.39	1146
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	isdI	WP_000480603	Isd	Nutritional/Metabolic factor	100.00	100.00	327
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esxA	WP_001240826	Type VII secretion system	Effector delivery system	100.00	100.00	294
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esaA	WP_000728972	Type VII secretion system	Effector delivery system	100.00	99.14	3030
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	essA	WP_000928935	Type VII secretion system	Effector delivery system	100.00	99.78	459
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esaB	WP_001071606	Type VII secretion system	Effector delivery system	100.00	100.00	243
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	essB	WP_000240338	Type VII secretion system	Effector delivery system	100.00	99.92	1335
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	essC	WP_000549274	Type VII secretion system	Effector delivery system	100.00	98.69	4440
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esxC	WP_001010291	Type VII secretion system	Effector delivery system	100.00	98.73	393
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esxB	WP_000509667	Type VII secretion system	Effector delivery system	100.00	99.36	315
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esaE	WP_000655877	Type VII secretion system	Effector delivery system	100.00	98.37	675
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esxD	WP_000175723	Type VII secretion system	Effector delivery system	100.00	98.43	318
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esaD	WP_000159026	Type VII secretion system	Effector delivery system	98.32	95.75	1814
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esaG	WP_000142122	Type VII secretion system	Effector delivery system	98.99	91.63	490
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esaG	WP_000141966	Type VII secretion system	Effector delivery system	99.00	92.81	496
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esaG	WP_000141964	Type VII secretion system	Effector delivery system	97.60	91.00	489
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esaG	WP_000142136	Type VII secretion system	Effector delivery system	100.00	94.21	501
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	esaG	WP_000141966	Type VII secretion system	Effector delivery system	100.00	91.82	501
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	geh	WP_000943814	Lipase	Enzyme	100.00	99.61	2073
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	set17	WP_000782839	SSLs	Exotoxin	100.00	97.84	696
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	set18	WP_000784029	SSLs	Exotoxin	98.88	98.23	1059
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	set19	WP_000705630	SSLs	Exotoxin	97.47	92.22	927
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	set20	WP_000781345	SSLs	Exotoxin	100.00	98.30	705
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	set22	WP_000769837	SSLs	Exotoxin	100.00	95.83	696
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	set23	WP_000673035	SSLs	Exotoxin	100.00	98.14	699
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	set24	WP_000673059	SSLs	Exotoxin	99.86	95.70	698
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	set25	WP_000778477	SSLs	Exotoxin	100.00	97.95	684
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	sdrC	WP_001060526	SDr	Adherence	98.95	94.54	2844
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	sdrD	WP_000934435	SDr	Adherence	95.13	96.97	3854
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	sdrE	WP_000610231	SDr	Adherence	99.82	96.66	3465
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	clfA	WP_001056172	Clumping factor	Adherence	98.10	95.55	2802
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	vWbp	WP_000791729	VWbp	Enzyme	100.00	100.00	1527
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	selk	WP_000733771	SE	Exotoxin	100.00	96.57	729
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	selq	WP_001033320	SE	Exotoxin	100.00	97.81	729
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	sspC	WP_000284457	Staphopain	Enzyme	100.00	99.70	330
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	sspB	WP_001089097	Staphopain	Enzyme	100.00	99.07	1182
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	sspA	WP_000676533	V8 protease	Enzyme	100.00	96.44	1011
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	isdB	WP_001041586	Isd	Nutritional/Metabolic factor	100.00	100.00	1938
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	isdA	WP_000160859	Isd	Nutritional/Metabolic factor	100.00	100.00	1053
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	isdC	WP_000789821	Isd	Nutritional/Metabolic factor	100.00	100.00	684
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	isdD	WP_001246698	Isd	Nutritional/Metabolic factor	100.00	100.00	1077
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	isdE	WP_001220199	Isd	Nutritional/Metabolic factor	100.00	100.00	879
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	isdF	WP_000594530	Isd	Nutritional/Metabolic factor	100.00	100.00	966
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	srtB	WP_001242429	Isd	Nutritional/Metabolic factor	100.00	100.00	735
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	isdG	WP_000670950	Isd	Nutritional/Metabolic factor	100.00	100.00	324
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	hly/hla	WP_000857485	Alpha-hemolysin	Exotoxin	100.00	99.48	960
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	ebp	WP_000069296	EbpS	Adherence	100.00	98.02	1461
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	lukF-PV	WP_024937002	PVL	Exotoxin	100.00	99.90	984
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	lukS-PV	WP_000239545	PVL	Exotoxin	100.00	100.00	939
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	harA	WP_001032773	Isd	Nutritional/Metabolic factor	100.00	99.96	2688
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	eap/map	WP_001793419	Eap/Map	Adherence	99.71	91.59	1748
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	scn	WP_000702263	SCIN	Immune modulation	100.00	99.72	351
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	chp	WP_000727649	CHIPS	Immune modulation	100.00	100.00	450
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	sak	WP_000920039	Staphylokinase	Enzyme	100.00	99.39	492
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	hlb	WP_000239607	Beta-hemolysin	Exotoxin	82.98	100.00	824
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	hld	WP_001823225	Delta-hemolysin	Exotoxin	100.00	99.26	135
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	hysA	WP_000222233	Hyaluronate lyase	Enzyme	98.53	90.58	2415
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	ureA	WP_000545928	Urease	Enzyme	100.00	100.00	303
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	ureB	WP_000612128	Urease	Enzyme	100.00	99.27	411
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	ureC	WP_000008673	Urease	Enzyme	100.00	99.83	1716
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	ureE	WP_000634589	Urease	Enzyme	100.00	100.00	453
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	ureF	WP_000565255	Urease	Enzyme	100.00	100.00	690
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	ureG	WP_000002969	Urease	Enzyme	100.00	99.51	615
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	ureD	WP_000344351	Urease	Enzyme	100.00	99.28	837
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	sbi	WP_000792571	Sbi	Immune modulation	99.77	97.87	1311
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	hlgA	WP_000594519	Gamma-hemolysin	Exotoxin	100.00	99.46	930
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	hlgC	WP_000916704	Gamma-hemolysin	Exotoxin	100.00	99.47	948
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	hlgB	WP_000783428	Gamma-hemolysin	Exotoxin	100.00	99.90	978
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	clfB	WP_000745817	Clumping factor	Adherence	99.01	91.75	2700
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	aur	WP_001225025	Aureolysin	Enzyme	100.00	99.61	1530
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	icaR	WP_000653261	Intercellular adhesion proteins	Biofilm	100.00	100.00	561
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	icaA	WP_001159427	Intercellular adhesion proteins	Biofilm	100.00	99.92	1239
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	icaD	WP_000240580	Intercellular adhesion proteins	Biofilm	100.00	100.00	306
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	icaB	WP_000877317	Intercellular adhesion proteins	Biofilm	100.00	100.00	873
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	icaC	WP_000723836	Intercellular adhesion proteins	Biofilm	100.00	100.00	1053
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	lip	WP_000842036	Lipase	Enzyme	100.00	100.00	2043
